date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,9266,8122,53495,64342,0.02,,1715,,,364,,,70235,2013年01月01日至2013年03月31日,5507,59002,7924,60881,-10040,17262,711956,844224,132268,132268,142308,20337,,,,51736,5507,7222,,10847.0,,490,711956,711956,,844224,-2417,-1879
2013-08-12,2,2013,,-4558,8544,23585,28745,-0.14,,-831,-206.0,-206.0,46,,,69734,2013年04月01日至2013年06月30日,-33600,-10015,-27341,-3151,-37945,3514,834384,957263,122879,122879,160824,20616,,,,70474,-33600,-34431,,4954.0,,518,834384,834384,,957263,-6259,-6864
2013-11-13,3,2013,,25840,10509,-23377,-28230,4.71,,3976,48.0,48.0,212,,,49247,2013年07月01日至2013年09月30日,1642277,1618900,1125381,1101922,1610236,36017,1675572,3506093,1830521,1830521,220285,38673,,,4.69,132365,1642277,1646253,,-4805.0,,544,1675572,1675572,,3506093,516896,516978
2014-03-19,4,2013,,15631,83888,84531,98418,4.58,,-2534,-1294.0,-1294.0,5263,,,293135,2013年01月01日至2013年12月31日,1603207,1687738,1094427,1178656,1498518,102155,4317233,6480442,2163209,2163209,664691,87096,,4095.0,4.56,284460,1603207,1600673,,16688.0,,2627,4317233,4317233,,6480442,508780,509082
2014-05-13,1,2014,,-9350,37393,14392,16453,-0.04,,-605,165.0,165.0,1431,,,51117,2014年01月01日至2014年03月31日,-3584,10808,-8840,2029,-32670,28481,701696,790963,89267,89267,121937,18309,,,-0.04,52511,-3584,-4189,,2226.0,,993,701696,701696,,790963,5256,8779
2014-08-13,2,2014,,-3057,35433,-79402,-91394,-0.2,,10250,219.0,219.0,-411,,,67055,2014年第2季,-42784,-122186,-47139,-104621,-63517,30983,763139,838269,75130,75130,138647,17019,,,-0.2,54573,-42784,-32534,,-11773.0,,982,763139,763139,,838269,4355,-17565
2014-11-10,3,2014,,-154986,39791,44758,54387,-0.4,,12655,-834.0,-834.0,-88,,,42211,2014年第3季,-140839,-96081,-94735,-51793,-11782,-116402,941505,1035588,94083,94083,105865,15958,,,-0.4,47696,-140839,-128184,,8795.0,,1119,941505,941505,,1035588,-46104,-44288
2015-03-30,4,2014,,-162284,139755,78330,92994,-0.76,,-4585,-706.0,-706.0,-220,,,239713,2014年度,-218277,-139947,-180595,-101274,-195402,-27460,3429471,3753713,324242,324242,519644,69359,,2289.0,0.0,210572,-218277,-222862,,16247.0,,4711,3429471,3429471,,3753713,-37682,-38673
2015-05-12,1,2015,,-18596,57577,-68932,-77635,0.14,-68932.0,6850,,,-167,-67.0,-67.0,47937,2015年01月01日至2015年03月31日,33175,-35757,34250,-8569,7399,32626,714641,831945,117304,117304,109905,15955,,,0.14,46013,33175,40025,,,-8770.0,6188,714641,714641,,831945,-1075,-27188
2015-08-11,2,2015,,-5194,-763,-52295,-60246,0.05,-52295.0,3037,,,-900,-39.0,-39.0,48268,2015年第2季,13248,-39047,11945,-27062,23938,-7653,803188,940729,137541,137541,113603,17403,,,0.05,47932,13248,16285,,,-7990.0,796,803188,803188,940729.0,940729,1303,-11985
