date,season,year,不動產重估增值,不重分類至損益之項目總額(稅後),以成本衡量之金融資產淨損益,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產之已實現利益合計,備供出售金融資產之已實現損失合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,兌換利益合計,兌換損失合計,兌換損益,其他不重分類至損益之項目,其他什項損益,其他利息以外淨損益,其他利息收入,其他利息費用,其他可能重分類至損益之項目,其他業務及管理費用合計,其他綜合損益（稅後）淨額,出售承受擔保品淨損益,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,央行及同業存款利息費用,央行及同業融資利息費用,存放及拆放同業利息收入（銀行存款利息收入）,存款利息費用,後續可能重分類至損益之項目總額(稅後),所得稅（費用）利益,手續費收入合計,手續費淨收益,手續費費用合計,投資有價證券利息收入（持有票債券利息收入）,折舊及攤銷費用合計,折舊費用,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額合計,採用權益法認列之關聯企業及合資損失之份額合計,採用權益法認列之關聯企業及合資損益之份額,攤銷費用,會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於共同控制下前手權益,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（損）歸屬於非控制權益,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於共同控制下前手權益,本期稅後綜合損益總額歸屬於母公司業主,本期稅後綜合損益總額歸屬於非控制權益,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,淨收益,減：重分類調整數─國外營運機構淨投資避險屬有效避險部分之避險損益,減：重分類調整數─現金流量避險中屬有效避險之避險工具損益,減：重分類調整數─處分國外營運機構財務報表換算之兌換差額,減：重分類調整數─除列備供出售金融資產未實現損益,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益（損失）,發行債券利息費用,短期員工福利,確定福利計畫之再衡量數,確定福利計畫精算損益,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,結構型商品利息費用,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,財產交易淨損益,貼現及放款利息收入,資產減損損失合計,資產減損迴轉利益合計,資產減損（損失）迴轉利益淨額,退職後福利,透過損益按公允價值衡量之金融資產及負債利益合計,透過損益按公允價值衡量之金融資產及負債損失合計,透過損益按公允價值衡量之金融資產及負債損益,附買回票債券負債利息費用
2013-05-10,1,2013,,,,,,129508,5346,124162,-336186,1963161,775488,1187673,,166989,388892,225706,73540,,1192786,-264933.0,,2162903,11574692,6272680,5302012,840753,3465413,,98905,0.33,0.33,127350,108061,1373368,4498526,,-423936,1346706,1097273,249433,548548,292442,,,,,0.0,,,1786,0,1786,,2013年01月01日至2013年03月31日,,,,2217816,2437,2220253,,1953548,1772,2406908,,8435583,,,,,4950641,,494535,,,,,,,1955320.0,2220253,2644189,,-27652.0,,-423936,-451588,221903,9427070,0,20831,20831,,5957581,6615295,-657714,
2013-08-28,2,2013,,,207235.0,,,117513,32382,85131,-386221,1992269,1141959,850310,,201637,412766,255336,110175,,1195975,-336174.0,4063.0,2014903,11614789,6268223,5346566,626698,3679833,,49436,0.31,0.31,123531,150346,1440146,4494128,,-343382,1456253,1170590,285663,569122,301319,,,,,0.0,,,2206,0,2206,,2013年04月01日至2013年06月30日,,,,2133297,2622,2135919,,1793414,6331,2142516,,8283126,,,,,5177127,,468386,,,,0.0,0.0,,1799745.0,2135919,2479301,,611.0,,-343382,-342771,-169,9350185,0,24948,24948,,2271176,2802224,-531048,
2013-10-25,3,2013,,,51817.0,,0.0,158960,83844,75116,-622998,1212307,1222110,-9803,,102156,185215,295884,129003,,1275444,-643642.0,12037.0,1672706,11783989,6414013,5369976,417934,3522889,,-20790,0.32,0.32,117652,191911,1452203,4479616,,-408154,1345216,1049669,295547,617664,295935,,,,,0.0,,,2736,0,2736,,2013年07月01日至2013年09月30日,,2574517.0,,2163379,2984,2166363,,1516048,6673,1930729,,8086719,,,,,5094268,,451794,,,,,,,1522721.0,2166363,2574517,,146.0,,-408154,-408008,19205,9418238,0,9774,9774,,2653857,2293858,359999,
2014-03-28,4,2013,,,260061.0,,0.0,489749,161168,328581,-1022452,6349624,4388253,1961371,,461948,1016553,1103023,10736,,5063989,-516904.0,53605.0,7751407,47055185,25514596,21540589,3237123,14354190,,218958,1.17,1.17,478064,700187,5748352,18080890,,-1378709,5829900,4716942,1112958,2379020,1195362,916792.0,,,,0.0,,,11402,0,11402,278570.0,2013年01月01日至2013年12月31日,,9415339.0,,8022060,14570,8036630,,7492507,27219,8940140,,33266003,,,,,20613541,,1862298,,,328295.0,,,198339.0,7519726.0,8036630,9415339,,-41705.0,,-1378709,-1420414,240939,37824790,9687,58521,48834,,13268795,13601071,-332276,210075.0
2014-04-28,1,2014,,,,0.0,0.0,129209,12326,116883,180742,786718,1027579,-240861,,92897,829502,202450,2859,,1143711,276916.0,,3022808,12366123,6632637,5733486,2001462,3428114,,116275,0.35,0.35,109829,378230,1572003,4705199,,-380327,1490930,1310521,180409,640881,304131,240118.0,,,,0.0,,,1574,0,1574,64013.0,2014年01月01日至2014年03月31日,,2778027.0,0.0,2396352,1348,2397700,0.0,2669356,5260,3075044,,9655445,,,,,4875956,,438214,2999767.0,,0.0,,,65073.0,2674616.0,2397700,2778027,,-20101.0,,-380327,-400428,736605,9950789,23835,144,-23691,428347.0,8323484,7294604,1028880,34082.0
2014-08-25,2,2014,,,208809.0,,,219346,3469,215877,-162799,501336,428269,73067,,88539,413432,281817,2250,,1246240,-293081.0,0.0,2369752,12772322,6908330,5863992,779040,3658059,,-156720,0.41,0.41,97555,316948,1818570,4911182,,-450329,1548435,1381283,167152,665609,300390,,,,,-223.0,,,3269,0,3269,,2014年第2季,,3294353.0,,2843749,275,2844024,,2556507,-5564,2974611,,9278082,,,,,5204689,,450859,,,,0.0,0.0,53001.0,2550943.0,2844024,3294353,,26661.0,,-450329,-423668,116084,10006326,3960,3910,-50,,920640,637766,282874,32197.0
2014-10-27,3,2014,,,43562.0,,0.0,198162,10341,187821,-851900,827119,139078,688041,,72853,2253884,255439,84257,,1738028,-838186.0,0.0,4551291,12876302,7101757,5774545,2544148,3840534,,12823,0.41,0.41,102095,284608,1807758,4838325,,-353543,1723220,1554784,168436,725181,306694,,,,,0.0,,,5001,0,5001,,2014年第3季,,3223644.0,,2864496,5605,2870101,,2036860,-4945,2384567,,11653048,,,,,5885256,,465260,,,,,,,2031915.0,2870101,3223644,,891.0,,-353543,-352652,2137469,10087924,3901,3946,45,,2766525,2904810,-138285,
2015-03-23,4,2014,,,252294.0,,0.0,649223,99219,550004,-243609,3246202,3340107,-93905,,-35950,3322963,956605,9525,,5965347,-91593.0,0.0,11994823,50720752,27768202,22952550,6248353,14657194,,217839,1.45,1.45,415662,1159813,6856762,19249289,,-1540207,6250988,5558893,692095,2774368,1214726,964768.0,,,,-591.0,,,15018,0,15018,249958.0,2014年度,,11677405.0,,10127487,9711,10137198,,10048878,-3273,11616854,,39763025,,,,,21837267,,1767858,,,-34190.0,,,225607.0,10045605.0,10137198,11677405,,-31042.0,,-1540207,-1571249,3106619,40133017,31746,10510,-21236,,20362793,17699707,2663086,124796.0
2015-04-27,1,2015,0.0,0.0,,0.0,0.0,169091,43968,125123,263789,2238393,673138,1565255,0.0,86668,202753,199200,4042,0.0,1595783,,,2145106,12595664,7186753,5408911,650291,3776234,0.0,-418373,0.36,0.36,110978,122977,1712975,4730182,-88115.0,-424362,1647977,1470733,177244,759883,302489,237555.0,0.0,0.0,0.0,,0.0,0.0,3013,0,3013,64934.0,2015年01月01日至2015年03月31日,-88115.0,3007062.0,0.0,2579285,3415,2582700,0.0,2515158,-20573,2852478,2494585.0,9331859,0.0,0.0,0.0,0.0,5674506,0.0,390188,3043288.0,0.0,,,,24213.0,,2582700,3007062,0.0,,66469.0,-424362,-357893,116085,9923606,1892,0,-1892,732946.0,5258144,6478023,-1219879,26331.0
2015-08-24,2,2015,,50809.0,188158.0,,,120638,43539,77099,-136584,1792561,1282722,509839,,276970,503822,203594,5078,,1625809,,,2497683,12636528,7331340,5305188,414372,3951547,,-19672,0.37,0.37,94558,128544,1589752,4734184,-147688.0,-505284,1781554,1586905,194649,819930,303472,,50809.0,,,,,-17.0,4332,0,4332,,2015年第2季,-96879.0,3533823.0,,3026133,2406,3028539,,2925392,6268,3428359,2931660.0,9829023,,,,,5880828,,300837,,,,0.0,0.0,16417.0,,3028539,3533823,,,8585.0,-505284,-496699,38694,10023252,-21,2127,2148,,5918768,6105230,-186462,25570.0
