date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,-85,3153,2861,,68857,81313,0.2,0.2,,15646,,1359.0,1359.0,4402,,966664,2013年01月01日至2013年03月31日,49582,118439,43291,110244,63688,1540,1285834,2512028,1226194,1226194,1162506,,,0.19,0.19,195842,49582,65228,,13730.0,,8876,6291,8195
2013-08-08,2,2013,,269,8610,3047,3047.0,31231,36660,-0.57,-0.57,,-63981,,706.0,706.0,17,,884184,2013年04月01日至2013年06月30日,-120563,-89332,-120054,-88336,-176754,-7790,1028843,1934648,905805,905805,1082559,,,-0.57,-0.57,198375,-120563,-184544,,6404.0,,19464,-509,-996
2013-11-07,3,2013,,163,-17737,13810,13810.0,-32248,-38707,-0.3,-0.3,,-22931,,-642.0,-642.0,1376,,877012,2013年07月01日至2013年09月30日,-58963,-91211,-62358,-96136,-59767,-22127,1191102,2205526,1014424,1014424,1074191,,,-0.3,-0.3,197179,-58963,-81894,,-6938.0,,19576,3395,4925
2014-03-20,4,2013,,-250,-20820,35822,,110607,126284,-0.34,-0.34,,-52936,,2382.0,,5017,,3773587,2013年01月01日至2013年12月31日,-58611,51996,-72304,36266,-64842,-46705,4803135,9305249,4502114,4502114,4566956,,4390.0,-0.34,-0.34,793369,-58611,-111547,,22199.0,,66724,13693,15730
2014-05-06,1,2014,,-244,-25314,14267,,3346,3964,-0.26,-0.26,,-46736,,-13.0,,-2183,,1011043,2014年01月01日至2014年03月31日,-49919,-46573,-54226,-52715,-67502,-29153,1269771,2410618,1140847,1140847,1208349,,,-0.26,-0.26,197306,-49919,-96655,,361.0,,15923,4307,6142
2014-08-07,2,2014,,-51,-7385,16103,16103.0,-50595,-58496,-0.51,-0.51,,-58741,,-792.0,,-6675,,879030,2014年第2季,-107083,-157678,-107670,-150496,-153429,-12395,972534,1903549,931015,931015,1084444,,,,,205414,-107083,-165824,,-8744.0,,14438,587,-7182
2014-11-13,3,2014,,7,-23230,20513,20513.0,63534,74162,-0.1,-0.1,,6610,,832.0,,-3561,,876249,2014年第3季,-20168,43366,-20742,35367,6959,-20517,1166420,2246751,1080331,1080331,1073372,,,,,197123,-20168,-13558,,11467.0,,14239,574,7999
2015-03-26,4,2014,,-525,-68756,83143,,116863,109821,-0.5,-0.5,,-48264,,48.0,,-12433,,3851349,2014年度,-94264,22599,-105293,8361,-83506,-59022,4741060,9329927,4588867,4588867,4672373,,30889.0,,,821024,-94264,-142528,,23370.0,,60976,11029,14238
2015-05-13,1,2015,,26,-9719,26023,,-22825,-27003,0.15,0.15,-22825.0,23596,,,,-3398,-442.0,990645,2015年01月01日至2015年03月31日,34817,11992,31540,9090,60473,-2060,1294444,2560237,1265793,1265793,1205320,,,0.14,0.14,214675,34817,58413,,,-4594.0,14966,3277,2902
2015-08-13,2,2015,,-102,-18026,30991,,-37682,-44193,-0.51,-0.51,-37682.0,-47697,,,,-11060,-608.0,881909,2015年第2季,-103241,-140923,-108503,-143927,-140628,-10310,1028875,1986126,957251,957251,1097879,,,,,215970,-103241,-150938,,,-7221.0,12215,5262,3004
2015-11-12,3,2015,,-470,18908,38431,,81259,102078,-0.02,-0.02,81259.0,2995,,,,-8028,-3739.0,822631,2015年第3季,-6107,75152,-4615,76210,-41798,38686,1117965,2123915,1005950,1005950,1047748,,,,,225117,-6107,-3112,,,16610.0,10625,-1492,-1058
2016-03-17,4,2015,-33100.0,-550,-23914,133042,,-87999,-59936,-0.32,-0.32,-54899.0,-6491,-315.0,,,-20028,-4836.0,3687651,2015年度,-52191,-140190,-65922,-149661,-93456,34774,4742430,9232626,4490196,4490196,4583652,-39500.0,,,,896001,-52191,-58682,-6715.0,,-10423.0,54326,13731,9471
2016-05-12,1,2016,,1065,-13808,42220,,-8360,-11350,0.06,0.06,-8360.0,-236,,,,2976,0.0,884193,2016年01月01日至2016年03月31日,17251,8891,12483,4129,803,16212,1222033,2327212,1105179,1105179,1104376,,,0.0,0.0,220183,17251,17015,,,-1925.0,15176,4768,4762
2016-08-11,2,2016,,8,-13138,37282,,-52804,-63504,-0.54,-0.54,-52804.0,-24640,,,,1854,0.0,760733,2016年第2季,-107047,-159851,-111182,-163515,-142563,10876,951389,1782599,831210,831210,973773,,,,,213040,-107047,-131687,,,-10692.0,15122,4135,3664
2016-11-10,3,2016,,-66,-15792,32204,,-64200,-76940,-0.3,-0.3,-64200.0,-36801,,,,3774,0.0,699236,2016年第3季,-59436,-123636,-62112,-124867,-103201,6964,981608,1789208,807600,807600,910801,,,,,211565,-59436,-96237,,,-12806.0,13222,2676,1231
