date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,停業單位稅後損益,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,其他費用,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,0.0,,,180883,95608,1215,,416119,0.0,,137945,0.28,,,,6910,,53933,,97291.0,-2853,,,79781,2013年01月01日至2013年03月31日,1136.0,91570,507689,91032,504985,29629,68851,1509637,1792639,283002,281866,252237,61565,,,0.27,110891,91570,98480,,25119,27931,1766637,1738706,0.0,538,2704
2013-08-09,2,2013,,,,,74915,-33907,27953,0.0,155318,,,45558,0.32,,,,7044,,54968,,34845.0,-9805,,,79361,2013年04月01日至2013年06月30日,3379.0,108652,263970,107214,261702,157218,-41522,1573057,2010474,437417,434038,276820,75547,,,0.32,121912,108652,115696,,25763,37421,1992927,1955506,,1438,2268
2013-11-08,3,2013,,,,,69461,-14884,1109,,-48265,,,-73223,0.11,,,,-8892,37556.0,37556,,-44503.0,-1713,,,71223,2013年07月01日至2013年09月30日,5359.0,37486,-10779,37395,-10688,71846,-43252,1387018,1734680,347662,342303,270457,62861,,,0.11,136373,37486,28594,,27764,32184,1729308,1697124,,91,-91
2014-03-26,4,2013,,,0.0,,374916,68716,33787,,701580,,,162671,0.63,0.63,,,9758,,177073,,163017.0,648,,,330085,2013年01月01日至2013年12月31日,4845.0,209374,910954,207121,916161,220445,-1313,5806481,7102587,1296106,1291261,1070816,254465,,976.0,,486266,209374,219132,,104464,92159,7017673,6925514,,2253,-5207
2014-05-09,1,2014,,,0.0,,61883,82972,2389,,251992,,24253.0,100437,0.53,0.53,,,14521,,46880,,89672.0,9442,,,87043,2014年01月01日至2014年03月31日,336.0,164430,416422,170584,422006,108401,70550,1522534,1911075,388541,388205,279804,54627,,,,138134,164430,178951,,24253,13111,1877306,1864195,,-6154,-5584
2014-08-12,2,2014,,,,,55585,-14355,33051,0.0,-172114,,,-102374,0.4,,706.0,,12013,,18945,,-125325.0,-8964,,,76084,2014年第2季,0.0,128646,-43468,128772,-42470,154736,-14077,1603016,2051669,448653,449359,294623,56662,,,0.4,161877,128646,140659,,23809,16815,2049539,2032724,,-126,-998
2014-11-06,3,2014,,,,,-158462,8372,42498,,-130475,,,97619,0.88,,-130.0,,35388,-7218.0,-7218,,-69632.0,-13929,,,61522,2014年第3季,,282935,152460,282982,151721,308265,10058,2090186,2620759,530573,530443,222178,59894,,,0.87,100762,282935,318323,,26883,98467,2726444,2627977,,-47,739
2015-03-27,4,2014,,,0.0,,234845,-166413,57900,,563753,,,321749,1.21,1.21,,,65371,,18119,,5320.0,15848,,,340620,2014年度,727.0,372743,936496,386608,948058,635536,-197422,7171280,9027651,1856371,1855644,1220108,226994,,1839.0,,652494,372743,438114,,104757,199630,9209162,9009532,,-13865,-11562
2015-05-08,1,2015,,,0.0,,-88340,-30422,5434,,-166620,,30070.0,-76370,0.2,0.2,,-166620.0,7486,,3375,,,7673,-1910.0,,72290,2015年01月01日至2015年03月31日,475.0,63095,-103525,62982,-103007,117966,-47385,1922848,2327692,404844,404369,286403,65958,,,,148155,63095,70581,,30070,50870,2375187,2324317,,113,-518
2015-08-07,2,2015,5577.0,,,,-164268,15373,61637,0.0,-228948,,,-70257,0.2,,182.0,-234525.0,-7493,,14115,5577.0,,-14068,,,53160,2015年第2季,0.0,64131,-164817,63981,-164597,24500,32138,1924478,2227967,303489,303671,279171,59026,,,0.2,166985,64131,56638,,30804,64154,2278006,2213852,,150,-220
