date,season,year,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）
2013-08-13,2,2013,,371,1825,5390,5390,1.03,1.03,,39719,4432,2013年04月01日至2013年06月30日,61732,67122,61732,67122,100948,503,310926,441969,131043,131043,30095,5283,1.02,1.02,20380,61732,101451,1693,
2014-03-27,4,2013,,4463,5964,16124,16124,6.24,6.24,,146874,18989,2013年01月01日至2013年12月31日,378317,394441,378317,394441,521224,3967,1365297,2013227,647930,647930,126706,28937,6.18,6.18,78780,378317,525191,6460,
2014-05-06,1,2014,0,-1138,5871,-3680,-3680,1.16,1.16,,27323,4281,2014年01月01日至2014年03月31日,76553,72873,76553,72873,100530,3346,326022,458765,132743,132743,32213,8886,1.15,1.15,19046,76553,103876,1387,0
2014-08-04,2,2014,,-2823,1964,-7358,-7358,1.67,1.67,,51042,5186,2014年第2季,109747,102389,109747,102389,163013,-2224,338254,532495,194241,194241,31228,6953,1.66,1.66,19089,109747,160789,1365,
2014-11-11,3,2014,,6761,2702,10310,10310,1.66,1.66,,29382,4682,2014年第3季,109532,119842,109532,119842,130793,8121,324828,488113,163285,163285,32492,8615,1.66,1.66,19195,109532,138914,1342,
2015-03-20,4,2014,,9113,16566,11291,11291,5.54,5.54,,138505,18475,2014年度,364644,375935,364644,375935,482886,20263,1293357,1904335,610978,610978,128092,33091,5.50,5.50,76526,364644,503149,5416,
2015-05-04,1,2015,,-1981,2584,-3837,-3837,0.22,0.22,-3837,15570,3572,2015年01月01日至2015年03月31日,14265,10428,14265,10428,30515,-680,241131,303162,62031,62031,31516,7495,0.21,0.21,20449,14265,29835,1283,
2015-07-31,2,2015,,720,2768,-4601,-4601,0.12,0.12,-4601,30651,4358,2015年第2季,7925,3324,7925,3324,36365,2211,260380,324812,64432,64432,28067,7405,0.12,0.12,16304,7925,38576,1277,
2015-11-05,3,2015,,17053,1411,13459,13459,0.49,0.49,13459,11124,4552,2015年第3季,32438,45897,32438,45897,26546,17016,278877,336313,57436,57436,30890,8598,0.49,0.49,17740,32438,43562,1448,
2016-03-25,4,2015,,-58016,9540,-23553,-23553,0.16,0.16,-23553,43979,16969,2015年度,10400,-13153,10400,-13153,108070,-53691,1000397,1247505,247108,247108,139038,40781,0.16,0.16,81288,10400,54379,5215,
2016-04-28,1,2016,,-13492,1373,0,0,-0.29,-0.29,0,-3907,3638,2016年01月01日至2016年03月31日,-19073,-19073,-19073,-19073,-7920,-15060,164890,181273,16383,16383,24303,8965,-0.29,-0.29,11700,-19073,-22980,2941,
2016-08-01,2,2016,,3816,6697,0,0,-0.21,-0.21,0,9781,4615,2016年第2季,-13881,-13881,-13881,-13881,-11825,7725,216233,233603,17370,17370,29195,12997,-0.21,-0.21,11583,-13881,-4100,2788,
2016-11-04,3,2016,,-14744,1971,0,0,-0.15,-0.15,0,-2069,4357,2016年第3季,-10104,-10104,-10104,-10104,3251,-15424,186552,213217,26665,26665,23414,8153,-0.15,-0.15,10904,-10104,-12173,2651,
