date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,處分投資性不動產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,金融資產減損損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,5117,15348,1910,1857.0,0.0,16691,53.0,11574,0.2,,,2136,,,19196,2013年01月01日至2013年03月31日,22462,39153,21824,38515,,7341,17257,284700,355705,71005,71005,63664,16518,,,0.2,27950,22462,24598,,,,,,,1.0,,,638,638
2013-08-09,2,2013,,,-1188,4154,5246,,,6094,,7282,0.21,,,11695,,5150.0,22959,2013年04月01日至2013年06月30日,24397,30491,24383,30477,,21544,14548,336240,429154,92914,92914,71370,18936,,,0.21,29475,24397,36092,,,,,,,2.0,,,14,14
2013-11-11,3,2013,,,3701,-3396,7313,,,2108,,-1593,0.26,,,3466,,0.0,21372,2013年07月01日至2013年09月30日,29675,31783,28804,30912,,29398,3743,330316,428839,98523,98523,69125,18665,,,0.26,29088,29675,33141,,,,,,,174.0,,,871,871
2014-03-20,4,2013,,,16670,65621,24072,,,38470,,21651,1.1,,,28021,,10867.0,81133,2013年01月01日至2013年12月31日,125023,163493,122282,160752,,52724,100320,1259400,1592380,332980,332980,280256,74385,,149.0,1.1,124738,125023,153044,,,,,,,240.0,,,2741,2741
2014-05-09,1,2014,,1119.0,1575,20135,5025,5025.0,0.0,11193,,11594,0.34,9809.0,,2400,3789.0,3789.0,19956,2014年01月01日至2014年03月31日,38552,49745,37635,48856,,12003,28949,297699,376698,78999,78999,66996,17638,,,0.34,29402,38552,40952,,,1976.0,,3989.0,,,7456.0,,917,889
2014-08-08,2,2014,,539.0,904,8430,2027,2027.0,,-13736,,-16616,0.46,-7034.0,,3072,3554.0,3554.0,23479,2014年第2季,51135,37399,50919,37142,,40196,14011,332515,446809,114294,114294,74098,19650,,,0.46,30969,51135,54207,,,-1976.0,,1150.0,12770.0,,2083.0,,216,257
2014-11-07,3,2014,,306.0,-4722,3848,10861,,,3180,,7902,0.5,3525.0,,5898,,3294.0,24985,2014年第3季,55799,58979,55801,60763,,43694,18003,320739,438908,118169,118169,74475,18872,,,0.5,30618,55799,61697,,,,,-615.0,0.0,,1244.0,,-2,-1784
2015-03-18,4,2014,,6172.0,3633,50533,20866,,,28961,,29044,1.63,18034.0,,13506,,12967.0,94804,2014年度,183129,212090,181319,210465,,112269,84366,1231539,1634356,402817,402817,290548,76039,,-4477.0,1.62,119705,183129,196635,,,-761.0,,4524.0,12770.0,,21377.0,,1810,1625
2015-05-08,1,2015,,1753.0,69826,-7376,4951,4951.0,0.0,62373,,-7453,0.2,-14243.0,62373.0,2975,2297.0,2297.0,21284,2015年01月01日至2015年03月31日,22990,85363,22737,85073,,26093,-128,268307,365585,97278,97278,71185,19281,,,0.2,30620,22990,25965,,,,0.0,4170.0,,,4450.0,,253,290
2015-08-07,2,2015,,2013.0,-9208,56468,743,743.0,,-16188,,-6980,0.71,-1699.0,-16188.0,11201,2613.0,2613.0,24704,2015年第2季,78331,62143,79066,62854,11240.0,29708,59824,299360,407783,108423,108423,78715,21350,,,0.71,32661,78331,89532,,,,0.0,3050.0,74848.0,,-6478.0,11240.0,-735,-711
