date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,53133,-9976,20896,,242958,189825,0.38,0.38,,242170,,93099,2013年01月01日至2013年03月31日,200511,443469,203455,426933,517493,-74812,4511686,5423737,912051,912051,394558,116409,,0.38,0.38,185050,200511,442681,,,85732,,-2944,16536
2013-08-13,2,2013,,,-62573,-17406,20651,,-44633,17940,0.14,0.14,,318536,,99706,2013年04月01日至2013年06月30日,20299,-24334,76233,39730,438672,-99837,4820019,5689677,869658,869658,430986,119871,,0.14,0.14,211409,20299,338835,,,103082,,-55934,-64064
2013-11-12,3,2013,,,904572,-76129,333522,,783357,-121215,0.75,0.75,,262464,,93706,2013年07月01日至2013年09月30日,346934,1130291,405866,1206298,453383,156015,4421233,5287540,866307,866307,412924,109245,,0.75,0.75,209973,346934,609398,,,101378,,-58932,-76007
2014-03-27,4,2013,,,1116487,-217850,406052,42768.0,1324042,164787,1.5,1.5,,1194834,,418973,2013年01月01日至2013年12月31日,657128,1981170,810387,2119088,2036631,-184669,17867605,21538510,3670905,3670905,1634274,445837,,1.5,1.5,769464,657128,1851962,,,372871,,-153259,-137918
2014-05-09,1,2014,,,202380,-18130,21471,,319534,117154,0.37,0.37,,257646,,105395,2014年01月01日至2014年03月31日,196007,515541,199241,510373,540500,-86847,4540512,5467591,927079,927079,386579,101127,,0.37,0.37,180057,196007,453653,,,90188,,-3234,5168
2014-08-13,2,2014,,,44814,-4324,20662,,-93024,-137838,0.35,0.35,,325587,,115305,2014年第2季,192195,99171,189446,108767,594926,-77144,4809440,5841345,1031905,1031905,436979,109926,,0.35,0.35,211748,192195,517782,,,93482,,2749,-9596
2014-11-13,3,2014,,,-164441,1845793,373779,,-38927,125514,3.92,3.92,,336711,,114382,2014年第3季,2131268,2092341,2114053,2063268,341427,2126552,4778561,5564009,785448,785448,444021,107408,,3.92,3.92,222231,2131268,2467979,,,93020,,17215,29073
2015-03-27,4,2014,,,-387510,1784647,433024,-58928.0,-57741,388697,4.76,4.76,,1289134,,446124,2014年度,2525999,2468258,2565452,2489350,1959364,1855769,18288151,22004569,3716418,3716418,1757054,443353,,4.76,4.76,867577,2525999,3815133,,,361902,,-39453,-21092
2015-05-13,1,2015,,,11631,-45050,26335,,-71193,-82824,0.4,0.4,-71193.0,326003,,101746,2015年01月01日至2015年03月31日,179036,107843,213599,148510,612422,-107383,3612382,4628019,1015637,1015637,403215,109333,,0.4,0.4,192136,179036,505039,,,88668,,-34563,-40667
2015-08-12,2,2015,0.0,0.0,-645690,6374,27131,,-736569,-90879,0.18,0.18,-736569.0,276770,0.0,111654,2015年第2季,99894,-636675,100125,-625693,430740,-54076,3420489,4256717,836228,836228,405488,113467,0.0,0.18,0.18,180367,99894,376664,0.0,0.0,87581,0.0,-231,-10982
2015-11-11,3,2015,,,-1008685,-212982,372071,,-618669,390016,0.58,0.58,-618669.0,334178,,127522,2015年第3季,286425,-332244,338108,-334605,542475,78128,3307026,4263582,956556,956556,414081,100607,,0.58,0.58,185952,286425,620603,,,80961,,-51683,2361
2016-03-29,4,2015,,23006.0,-2200225,-322814,493520,,-2005683,171536,1.45,1.45,-2028689.0,1189715,,415686,2015年度,726564,-1279119,850638,-1198157,2086792,-170513,13196142,16851463,3655321,3655321,1568529,422142,23006.0,1.45,1.45,730701,726564,1916279,,,341219,,-124074,-80962
2016-05-11,1,2016,,,526883,15099,59947,,384855,-142028,0.51,0.51,384855.0,358683,,119230,2016年01月01日至2016年03月31日,289676,674531,302001,701637,655965,-7606,2682914,3728202,1045288,1045288,389323,70596,,0.51,0.51,199497,289676,648359,,,82652,,-12325,-27106
2016-08-10,2,2016,,,-25736,-116520,30285,,-45411,-19675,0.43,0.43,-45411.0,203657,,125108,2016年第2季,228277,182866,248098,202806,595723,-163789,2982938,3970254,987316,987316,391593,73378,,0.43,0.43,193107,228277,431934,,,77554,,-19821,-19940
2016-11-11,3,2016,,,321497,-137308,228965,,101732,-219765,0.91,0.91,101732.0,342864,,127408,2016年第3季,503470,605202,535938,658140,827987,18347,2930202,4139911,1209709,1209709,381722,71353,,0.91,0.91,182961,503470,846334,,,73310,,-32468,-52938
