date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,-59912,29,975,,,,0.0,-59184,2020,8611,,728,-0.21,,0.0,0,,6597,337,1739,2013年01月01日至2013年03月31日,-57079,-116263,-54837,-114021,0,0,-37389,-13093,55170,63335,8165,8165,45554,10486,27060,-0.21,,43815,-57079,-50482,,,14434,42664,27664,-2242,-2242
2013-08-08,2,2013,55633,-16041,1169,,,,,56188,2569,8283,,648,-0.24,-0.24,10353.0,10759,,8350,306,1342,2013年04月01日至2013年06月30日,-64726,-8538,-63430,-7242,10353,10759,-25336,-31040,25795,53284,27489,27489,52825,11335,32967,-0.24,-0.24,51483,-64726,-56376,93.0,,16474,1538,1275,-1296,-1296
2013-11-05,3,2013,286720,29,91996,,,,,286425,2487,8693,8693.0,-360,0.08,0.08,162780.0,165466,,25821,1112,1447,2013年07月01日至2013年09月30日,18486,304911,20427,306852,162780,165466,-34324,78631,197568,216344,18776,18776,53100,12994,31939,0.08,0.08,51653,18486,44307,-65.0,,14506,19307,10246,-1941,-1941
2014-03-25,4,2013,213971,-15872,115011,-78628.0,,,,215320,10474,36583,,1456,1.26,1.26,1120150.0,250534,,32847,2888,11011,2013年01月01日至2013年12月31日,321940,537260,329610,544930,1120150,250534,312805,41982,1770912,2391325,620413,620413,228980,-170042,120041,1.25,1.25,217969,321940,354787,107.0,,60045,810330,1984167,-7670,-7670
2014-05-08,1,2014,522088,46,4270,,,,,522411,3968,8557,,389,0.04,,101840.0,139366,,6422,601,1427,2014年01月01日至2014年03月31日,9395,531806,10807,533218,101840,139366,16132,-315,125777,185965,60188,60188,44056,11196,26666,0.04,,42629,9395,15817,66.0,,5232,8773,11376,-1412,-1412
2014-08-12,2,2014,432221,-307,394,,,,,431723,4117,14581,,-600,-0.22,-0.22,65793.0,63612,,28013,619,1666,2014年第2季,-60099,371624,-57383,374340,65793,63612,-23253,-8833,110499,134831,24332,24332,47585,13029,30335,-0.22,-0.22,45919,-60099,-32086,-102.0,,9539,27560,26303,-2716,-2716
2014-11-11,3,2014,-295279,-809,145792,,,,,-294759,4941,15261,,627,3.79,3.79,9146.0,8862,,34221,555,1301,2014年第3季,991302,696543,992474,697715,9146,8862,897466,128057,3609361,4595729,986368,986368,88902,14144,29793,3.79,3.79,87601,991302,1025523,107.0,,17481,3581130,4541813,-1172,-1172
2015-03-27,4,2014,890118,-15690,157068,0.0,,,,891998,21642,62728,,2265,3.38,3.38,175804.0,214383,,83642,3429,6062,2014年度,870236,1762234,884976,1776974,175804,214383,845764,108114,3883491,4977111,1093620,1093620,247856,68593,114544,3.35,3.35,241794,870236,953878,385.0,,36693,3617452,4585456,-14740,-14740
2015-05-11,1,2015,355191,14765,67675,,,,,354638,9636,17544,,-666,0.19,,26578.0,37321,354638.0,14375,711,1141,2015年01月01日至2015年03月31日,48613,403251,50408,405046,26578,37321,-16001,78989,52047,84324,32277,32277,48278,11236,27884,0.19,,47137,48613,62988,,-113.0,4162,4597,1575,-1795,-1795
2015-08-11,2,2015,-38514,46,1114,,,,,-38842,5570,10557,,-395,1.4,1.4,,127851,-38842.0,116632,96,1065,2015年第2季,364557,325715,367575,328733,106042,127851,484300,-3111,2082128,2637905,555777,555777,71477,12178,29086,1.4,1.4,70412,364557,481189,,-67.0,4367,1958338,2470411,-3018,-3018
