date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利息收入,其他利益及損失淨額,其他收入合計,其他減損損失,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,遞延所得稅費用（利益）,重估增值,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,28111.0,1846.0,29278,13566,,81742,5384.0,62224,0.06,,13118,,,,,,,-3436,,55394,2013年01月01日至2013年03月31日,27730,109472,,33848,109514,,26316,14532,4127897,4358510,230613,230613,204297,15288.0,9048,,0.0,4370.0,0.06,139855,27730,40848,3812.0,,8593.0,,,24876,-2170.0,,0.0,3538.0,4127897.0,4127897.0,4358510.0,0.0,-6118,-42
2013-08-06,2,2013,,,-35597.0,,-37099,43200,,-13030,,28097,-0.22,,-23065,,,,,,,5820,,69025,2013年04月01日至2013年06月30日,-158708,-171738,,-122909,-134769,,-168245,-13528,4009049,4065455,56406,56406,224651,,9189,,0.0,,-0.22,146437,-158708,-181773,,,5530.0,,,25449,,,,,,,,,-35799,-36969
2013-11-05,3,2013,,,19560.0,,94350,59829,,-913,,-22476,0.08,,11155,,,,,,,5672,,62860,2013年07月01日至2013年09月30日,63777,62864,,46628,50544,,-55363,130295,4139607,4305067,165460,165460,220823,,16806,,0.0,,,141157,63777,74932,,,-2003.0,,,29556,,,,,,,,,17149,12320
2014-03-28,4,2013,,,37918.0,,315953,130376,,92692,,93315,0.25,,18080,,,,,,,8182,,295756,2013年01月01日至2013年12月31日,132095,224787,,142613,230398,,-190511,340686,16136289,16904845,768556,768556,959067,,43194,,-19854.0,,,620117,132095,150175,,,18687.0,,,113825,,,,,,,,,-10518,-5611
2014-05-08,1,2014,,,97307.0,,13639,21922,,147479,,63051,-0.09,,-1504,,,,,,,8413,,54966,2014年01月01日至2014年03月31日,-51388,96091,,-49120,92117,,-63143,10251,3579435,3741337,161902,161902,225045,,9666,,,,,160413,-51388,-52892,,,12879.0,,,33723,,,,,,,,,-2268,3974
2014-08-05,2,2014,,,-54533.0,,144844,14651,,-95777,,-51340,0.1,,-3709,,,,,,,2701,,57351,2014年第2季,59457,-36320,,54903,-34926,,-70911,126659,4062871,4181136,118265,118265,189176,,11774,,,,,120051,59457,55748,,,-10096.0,,,35537,,,,,,,,,4554,-1394
2014-11-12,3,2014,,,-65463.0,,28064,83528,,-48883,,12261,-0.04,,21188,,,,,,,4392,,55950,2014年第3季,-4568,-53451,,-24083,-79802,,-65525,82145,3987755,4138166,150411,150411,215936,,9878,,,,,150108,-4568,16620,,,-4319.0,,,33839,,,,,,,,,19515,26351
2015-03-27,4,2014,,,0.0,,289775,143122,,103424,,55702,0.04,,9480,,,83095.0,11995.0,72234.0,-1134.0,11815,,274096,2014年度,57878,161302,,20454,97083,,-236490,303848,15376566,16014756,638190,638190,874680,,43766,,-35410.0,,0.04,556818,57878,67358,,,-37.0,,,140864,,,,,,,,,37424,64219
2015-05-07,1,2015,,,,,52107,12010,,75932,,-23981,-0.15,75932.0,-31010,,,,,,,-4516,98656.0,52657,2015年01月01日至2015年03月31日,-105022,-29090,,-84867,-8191,,-158010,21978,3644819,3712011,67192,67192,225202,,10655,,,,-0.15,161890,-105022,-136032,,,,-1257.0,,37623,,,,,,,,,-20155,-20899
2015-08-11,2,2015,,,,,-17438,26528,,-78476,,-37117,-0.24,-78476.0,-14334,,,,,,,5377,-48117.0,53298,2015年第2季,-131121,-209597,,-136944,-210213,,-117494,-27961,3700735,3791483,90748,90748,208242,,9543,,,,,145401,-131121,-145455,,,,-6758.0,,42428,,,,,,,,,5823,616
