date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,5488,2485,7691,,34367,23649,0.3,,,15190,8299.0,11647,,26202,2013年01月01日至2013年03月31日,,86016,120383,79425,108294,90989,10217,1108865,1267884,159019,159019,68030,0.0,,17.0,0.0,41828,86016,101206,3086.0,,11606,,,6591,12089
2013-08-12,2,2013,,-8786,-30840,18491,,-1313,5437,0.15,,,15980,2952.0,21350,,24323,2013年04月01日至2013年06月30日,,36662,35349,38778,36652,54952,-2310,1111752,1240583,128831,128831,73879,0.0,,-46.0,0.0,49556,36662,52642,870.0,,11311,,1240583.0,-2116,-1303
2013-11-11,3,2013,,4090,-8228,16370,,-10194,-11924,0.18,,,10252,-4046.0,10909,,27005,2013年07月01日至2013年09月30日,,43372,33178,47280,39320,45472,8152,1321228,1437499,116271,116271,70799,0.0,,-45.0,,43794,43372,53624,-1731.0,,10899,,,-3908,-6142
2014-03-28,4,2013,,-4777,-68877,53023,,20525,27319,0.68,,,59618,6818.0,45483,,103988,2013年01月01日至2013年12月31日,,182021,202546,178012,192076,256307,-14668,4794407,5331072,536665,536665,280358,0.0,,-5289.0,,176370,182021,241639,3546.0,,44297,,,4009,10470
2014-05-09,1,2014,,-28346,-79475,7971,,2730,25830,-0.13,,,13093,9135.0,10666,,26732,2014年01月01日至2014年03月31日,,-27887,-25157,-34962,-38552,54054,-68848,1214804,1334173,119369,119369,65315,,,0.0,,38583,-27887,-14794,3889.0,,8010,,,7075,13395
2014-08-11,2,2014,,-3472,-15990,20866,,-32298,-25464,0.78,,,18067,-7172.0,13125,,44767,2014年第2季,,211533,179235,204859,178776,219175,10425,1295959,1622699,326740,326740,107565,,,0.0,,62798,211533,229600,-3810.0,,7576,,,6674,459
2014-11-10,3,2014,,-39571,-16296,22373,26404.0,-12618,21106,0.33,,,9747,9227.0,52368,,25267,2014年第3季,,93510,80892,85875,68059,52746,50511,1212763,1339351,126588,126588,73842,,,0.0,,48575,93510,103257,3380.0,,7934,,1312947.0,7635,12833
2015-03-24,4,2014,,-65521,-121748,58274,,16166,62872,0.92,,,55082,24320.0,85169,,123979,2014年度,355.0,266979,283145,239729,240722,333989,-11928,5029774,5678691,648917,648562,314573,,,4160.0,,190594,266979,322061,9665.0,,33623,5029774.0,5678691.0,27250,42423
2015-05-12,1,2015,115.0,9347,-774,9915,,-20041,-26176,0.06,355.0,-20156.0,4882,,14324,-6871.0,27134,2015年01月01日至2015年03月31日,145.0,13249,-6792,15865,3022,2834,15297,1027669,1109285,81616,81826,78992,,115.0,,,51858,13249,18131,,-3544.0,8168,,,-2616,-9814
2015-08-12,2,2015,-92.0,-8391,-11604,22690,,-29356,-9781,0.12,0.0,-29264.0,11399,,7664,-13927.0,25488,2015年第2季,305.0,25823,-3533,30253,3169,25987,11235,1054840,1177430,122590,122285,96298,,-92.0,,,70810,25823,37222,,-2835.0,7515,,,-4430,-6702
2015-11-13,3,2015,-92.0,-119538,-539358,67026,,-95802,38849,-1.84,0.0,-95710.0,14850,,5527,-10405.0,23204,2015年第3季,5.0,-588690,-684492,-473336,-579542,-98920,-474920,928756,1025973,97217,97212,196132,,-92.0,,,172928,-588690,-573840,,4616.0,8115,,,-115354,-104950
2016-03-25,4,2015,-8879.0,-161650,-572372,106978,,-194293,5503,-1.45,355.0,-185414.0,47951,,31329,-30528.0,102896,2015年度,644.0,-487205,-681498,-370435,-565995,26921,-466175,3977222,4436044,458822,458533,431612,,-8879.0,,,328716,-487205,-439254,,-1261.0,32110,3977222.0,4436044.0,-116770,-115503
2016-05-12,1,2016,0.0,43319,-8306,8492,,37096,-7720,0.32,644.0,37096.0,14066,,9005,705.0,23542,2016年01月01日至2016年03月31日,275.0,83438,120534,77607,117060,95925,1579,863542,1022212,158670,159039,63114,,0.0,,,39572,83438,97504,,-792.0,7612,,,5831,3474
2016-08-12,2,2016,0.0,-12579,-2686,14003,,-15599,-3943,0.49,0.0,-15599.0,29608,,8456,542.0,26091,2016年第2季,27.0,132093,116494,117666,103225,149566,12135,893061,1117260,224199,224172,74606,,0.0,,,48515,132093,161701,,-381.0,7638,,,14427,13269
2016-11-09,3,2016,0.0,-18180,-38526,55799,,-35349,-16476,0.48,0.0,-35349.0,26804,,10309,-3148.0,24353,2016年第3季,74.0,128058,92709,114197,84031,135559,19303,940590,1150350,209760,209686,74127,,0.0,,,49774,128058,154862,,-2455.0,8279,,,13861,8678
