date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,-37760,36588,18283,14924,37707.0,37124,0.04,0.04,,14298,,6827.0,22114,,203532,2013年01月01日至2013年03月31日,,12780,27704,17516,29708,-12200,39278,607228,886485,279257,279257,291457,,14298.0,10242,,,0.03,0.03,77683,12780,27078,,-8733.0,,37707,607228,607228,886485,-4736,-2004
2013-08-09,2,2013,,0.0,-19066,-9411,11518,-35434,40566.0,-3735,-0.04,-0.04,,-5048,,-12633.0,10509,,271612,2013年04月01日至2013年06月30日,,-7539,-42973,-17444,-52994,15363,-27950,763922,1130640,366718,366718,351355,,,11263,,,-0.04,-0.04,68480,-7539,-12587,,,,40566,763922,763922,1130640,9905,10021
2013-11-12,3,2013,,0.0,13690,-57661,5851,27366,41964.0,-14979,-0.17,-0.17,,292,,28655.0,-40427,,333554,2013年07月01日至2013年09月30日,,-84557,-57191,-84704,-59355,49936,-134201,1065706,1547667,481961,481961,432025,,,9969,,,-0.17,-0.17,88502,-84557,-84265,,,,41964,1065706,1065706,1547667,147,2164
2014-03-25,4,2013,,,-42695,1180,66014,4354,161913.0,65717,-0.28,-0.28,,4388,,-18940.0,-5817,,1015889,2013年01月01日至2013年12月31日,,-141343,-136989,-134669,-138538,-36419,-100536,3101566,4479802,1378236,1378236,1414655,,,45628,,11119.0,-0.28,-0.28,353138,-141343,-136955,,10847.0,,161913,3101566,3101566,4479802,-6674,1549
2014-05-13,1,2014,,,-841,6900,10003,-1964,41326.0,17100,-0.28,-0.28,,-11582,,-15302.0,4531,,277268,2014年01月01日至2014年03月31日,,-157910,-159874,-136878,-137653,-149600,-19892,634952,853255,218303,218303,367903,,-11582.0,11572,,,-0.28,-0.28,79063,-157910,-169492,,2921.0,,41326,634952,634952,853255,-21032,-22221
2014-08-11,2,2014,,0.0,8576,8742,12765,-24658,44922.0,-30791,-0.29,-0.29,,21373,,-6895.0,3379,,341836,2014年第2季,,-155173,-179831,-140545,-160071,-113764,-20036,770485,1103520,333035,333035,446799,,,9512,,,-0.29,-0.29,95451,-155173,-133800,,-4452.0,,44922,770485,770485,1103520,-14628,-19760
2014-11-11,3,2014,,,-10435,-21046,13139,-20502,42860.0,31217,-0.08,-0.08,,1998,,-36935.0,16494,,374636,2014年第3季,,-38022,-58524,-38369,-61240,-1751,-34273,1070805,1553132,482327,482327,484078,,,9778,,,-0.08,-0.08,99664,-38022,-36024,,4349.0,,42860,1070805,1070805,1553132,347,2716
2015-03-26,4,2014,,,-2390,42612,59778,8444,171248.0,96742,-0.73,-0.73,,13825,,-75785.0,16647,,1080092,2014年度,,-409222,-400778,-357794,-359875,-343186,-52211,3076451,4283751,1207300,1207300,1550486,,,41872,,-1337.0,-0.73,-0.73,428522,-409222,-395397,,8786.0,,171248,3076451,3076451,4283751,-51428,-40903
2015-05-08,1,2015,,,-12356,25220,11991,-2867,42516.0,-4741,-0.13,-0.13,-2867.0,-2836,,,1379,13856.0,277652,2015年第1季,-2836.0,-76615,-79482,-63155,-65913,-75525,-3926,717928,1016187,298259,298259,373784,0.0,,10963,,,-0.15,-0.15,85169,-76615,-79451,,,-374.0,42516,717928,717928,1016187,-13460,-13569
2015-08-10,2,2015,,,-26264,-11536,12847,-60038,40762.0,-15293,-0.13,-0.13,-60038.0,-1201,,,9767,-18093.0,316829,2015年第2季,,-52643,-112681,-63976,-110526,-24160,-29684,755806,1143423,387617,387617,411777,,,10839,,,-0.13,-0.13,84109,-52643,-53844,,,388.0,40762,755806,755806,1143423,11333,-2155
2015-11-10,3,2015,,32430.0,14521,243600,8856,64276,27784.0,69990,0.44,0.37,64276.0,9362,,,-8335,-8829.0,356618,2015年第3季,,226448,290724,212412,272294,-12957,216337,1008888,1481732,472844,472844,485801,,,10148,,,0.42,0.35,119035,194018,203380,,,11406.0,27784,1008888,1008888,1481732,14036,18430
2016-03-25,4,2015,-17044.0,22103.0,-17048,318646,50081,-26753,113806.0,17479,0.09,0.05,-9709.0,19352,15131.0,,-7450,-5948.0,1078977,2015年度,,59728,32975,48394,31189,-190494,247471,2742430,4019258,1276828,1276828,1467322,,,41259,-38765.0,,0.03,-0.01,347086,37625,56977,-6590.0,,4192.0,113806,2742430,2742430,4019258,11334,1786
2016-05-10,1,2016,,0.0,-9531,-5073,18349,-31369,,-24663,-0.07,-0.07,-31369.0,2058,,,-7121,-850.0,200519,2016年01月01日至2016年03月31日,2058.0,-32326,-63695,-34193,-65212,-7030,-23238,630021,906830,276809,276809,283839,0.0,,10591,,,-0.07,-0.07,72729,-32326,-30268,,,-3675.0,29393,630021,630021,906830,1867,1517
2016-08-12,2,2016,,0.0,-3206,-46668,16132,-23959,25146.0,-17933,-0.12,-0.12,-23959.0,1261,,,11426,-4204.0,262607,2016年第2季,,-51696,-75655,-56392,-80100,-6179,-44256,655579,1015603,360024,360024,366203,,,10606,,,-0.12,-0.12,92990,-51696,-50435,,,-1384.0,25146,655579,655579,1015603,4696,4445
2016-11-09,3,2016,,0.0,-15028,-17585,27018,-62605,42537.0,-59918,0.06,0.06,-62605.0,4575,,,24878,5688.0,302802,2016年第3季,,31771,-30834,28544,-32467,44572,-8226,947275,1390846,443571,443571,398999,,,10310,,,0.06,0.06,85887,31771,36346,,,-6653.0,42537,947275,947275,1390846,3227,1633
