date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,51218,47986,29851,103422,52204,0.05,,4447,,950.0,-950,217911,2013年01月01日至2013年03月31日,,17951,121373,19061,121319,-32924,55322,929327,1234885,305558,305558,338482,4447.0,28206,,,0.05,92365,17951,22398,,0.0,,21565,12156.0,1283307.0,1234885.0,36266.0,-1110,54
2013-08-12,2,2013,,-103809,-29815,63423,-106012,-2203,0.04,,-5512,,561.0,-561,226469,2013年04月01日至2013年06月30日,,10896,-95116,13735,-91153,-4767,10151,1104235,1464638,360403,360403,365170,-5512.0,33529,,,0.04,105172,10896,5384,,0.0,,22896,11933.0,1528060.0,1464638.0,51489.0,-2839,-3963
2013-11-12,3,2013,,-27859,8603,14942,-52249,-24390,0.2,,23468,0.0,816.0,-816,231236,2013年07月01日至2013年09月30日,,72731,20482,73168,21548,95539,660,1118722,1593193,474471,474471,378932,23468.0,33011,,,0.2,114685,72731,96199,,0.0,,22069,17565.0,1656556.0,1593193.0,45798.0,-437,-1066
2014-03-28,4,2013,,-6367,27391,123684,21757,40968,0.49,,42590,,,-2159,960639,2013年01月01日至2013年12月31日,,176626,198383,179238,200787,157031,62185,4341347,6019017,1677670,1677670,1520639,,131468,,-45823.0,0.49,428532,176626,219216,,-32979.0,,86731,,,,,-2612,-2404
2014-05-12,1,2014,,64782,17383,28615,74592,9810,0.03,,5079,,86.0,-86,208113,2014年01月01日至2014年03月31日,,10059,84651,10297,84445,-10440,25578,1002387,1322733,320346,320346,330786,5079.0,27483,,,0.03,95190,10059,15138,,0.0,,20334,,,1322733.0,,-238,206
2014-08-12,2,2014,,21268,42296,60232,-306,-21574,0.42,,41199,,1993.0,-1993,244470,2014年第2季,,156282,155976,154441,153919,116881,80600,1189651,1694037,504386,504386,387505,41199.0,36978,,,0.42,106057,156282,197481,,0.0,,19935,,,1694037.0,,1841,2057
2014-08-12,2,2015,,-121522,-10144,42245,-148378,-26856,0.14,-148378.0,28814,,578.0,-578,264122,2015年第2季,28814.0,51103,-97275,52119,-94526,67271,12646,1101654,1548924,447270,447270,379999,,35319,,,0.14,80558,51103,79917,,,0.0,18877,,,1548924.0,,-1016,-2749
2014-11-12,3,2014,,16705,-2016,28280,42107,25402,0.04,,7251,,56.0,-56,239181,2014年第3季,,15541,57648,13912,56207,16026,6766,1068626,1458162,389536,389536,373510,7251.0,32794,,,0.04,101535,15541,22792,,0.0,,19442,,,1458162.0,,1629,1441
2015-03-27,4,2014,,166211,48120,136956,214993,85474,0.49,,58264,,2190.0,-2190,946998,2014年度,,187277,402270,181562,393930,142192,103349,4367230,5984327,1617097,1617097,1474905,58264.0,132137,,-43589.0,0.49,395770,187277,245541,,-6897.0,,79537,,,5984327.0,,5715,8340
2015-05-12,1,2015,,26820,11649,21153,9236,-17584,0.04,9236.0,8544,,3927.0,-3927,218609,2015年01月01日至2015年03月31日,8544.0,13135,22371,14428,23174,12381,9298,1015200,1377752,362552,362552,350171,,31852,,,0.04,99710,13135,21679,,,0.0,19577,,,1377752.0,,-1293,-803
