date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-2290,52455,25039,161005,153825,0.74,0.74,,26319,9470.0,7476,,210900,2013年01月01日至2013年03月31日,362962,523967,294709,442063,366192,23089,3846998,4577119,730121,730121,363929,7088,,,0.65,0.65,145941,362962,389281,,61881,68253,81904
2013-08-13,2,2013,,-3064,25378,74263,216117,214672,0.73,0.73,,34479,4509.0,18398,,245553,2013年04月01日至2013年06月30日,368582,584699,288662,360810,352805,50256,4285758,5065262,779504,779504,426699,5460,,,0.64,0.64,175686,368582,403061,,67783,79920,223889
2013-11-11,3,2013,,-3116,-26029,59912,-154662,-148538,0.29,0.29,,40837,-3008.0,22050,,236900,2013年07月01日至2013年09月30日,181699,27037,128593,70151,234459,-11923,4284587,4926696,642109,642109,407650,7169,,,0.25,0.25,163581,181699,222536,,67856,53106,-43114
2014-03-28,4,2013,,-5592,72927,220662,357923,343875,1.68,1.68,,184672,-2680.0,55821,,977719,2013年01月01日至2013年12月31日,986170,1344093,740914,993028,1078874,91968,16900091,19618480,2718389,2718389,1639515,36312,,22320.0,1.49,1.49,625484,986170,1170842,,257442,245256,351065
2014-05-12,1,2014,,-6543,7565,31077,-25015,-16698,0.12,0.12,,38339,-1774.0,9080,,210002,2014年01月01日至2014年03月31日,116722,91707,53655,39967,168675,-13614,4260814,4806334,545520,545520,376845,10019,,,0.12,0.12,156824,116722,155061,,61336,63067,51740
2014-08-13,2,2014,,-609,-15651,39134,-135686,-125132,0.02,0.02,,33461,-9945,20932,,224026,2014年第2季,75327,-60359,10219,-76052,134722,-25934,4670911,5210559,539648,539648,404926,10668,,,0.02,0.02,170232,75327,108788,,70349,65108,15693
2014-11-13,3,2014,,-1970,220227,156545,184368,171796,0.23,0.23,,69456,14542.0,23023,,230868,2014年第3季,294132,478500,116774,230336,41509,322079,4606419,5104971,498552,498552,457043,10778,,,0.19,0.19,215397,294132,363588,,77716,177358,248164
2015-03-26,4,2014,,-14710,297676,233353,271311,258463,0.28,0.28,,165579,18957.0,62495,,976215,2014年度,493538,764849,144855,312426,339386,319731,17918341,19994110,2075769,2075769,1736383,45386,,8601.0,0.25,0.25,714782,493538,659117,,273793,348683,452423
2015-05-14,1,2015,,-1865,-39534,24525,-74820,-73859,-0.25,-0.25,-74820.0,26264,,10584,904.0,239629,2015年01月01日至2015年03月31日,-90436,-165256,-128861,-174648,8310,-72482,3647965,4059093,411128,411128,402818,10776,,,-0.27,-0.27,152413,-90436,-64172,,68057,38425,9392
2015-08-13,2,2015,,-1536,301089,37724,-114582,-105090,0.69,0.69,-114582.0,81410,,15135,-7956.0,253234,2015年第2季,384752,270170,353069,286031,185091,281071,4017531,4617324,599793,599793,414702,11262,,,0.63,0.63,150206,384752,466162,,72877,31683,-15861
2015-11-12,3,2015,,-31979,80200,30745,235335,251713,0.09,0.09,235335.0,54817,,12245,15601.0,269473,2015年第3季,101446,336781,44347,157449,102412,53851,3859836,4409764,549928,549928,447516,10754,,,0.08,0.08,167289,101446,156263,,69339,57099,179332
2016-03-29,4,2015,-12337.0,-38326,441044,132999,-168518,-107845,0.73,0.73,-156181.0,256399,,27306,-10010.0,1057449,2015年度,459792,291274,363251,210211,400772,315419,15429894,17558765,2128871,2128871,1728099,49488,-14864.0,,0.67,0.67,621162,459792,716191,-2527.0,285930,96541,81063
2016-05-12,1,2016,,24637,-7635,37816,-29855,-54598,0.15,0.15,-29855.0,22608,,8423,106.0,243645,2016年第1季,112862,83007,66202,51797,162776,-27306,3396288,3967962,571674,571674,408898,10619,,,0.12,0.12,154634,112862,135470,,65910,46660,31210
2016-08-11,2,2016,,-2769,-28030,68096,-160472,-143027,-0.06,-0.06,-160472,48897,,7726,-14676,311842,2016年第2季,-51371,-211843,-29114,-120602,91807,-94281,4030176,4609594,579418,579418,487611,11129,,,-0.08,-0.08,164640,-51371,-2474,,142073,-22257,-91241
2016-11-10,3,2016,,-24534,-219288,67344,-247128,-206706,-0.09,-0.09,-247128.0,52735,,8558,-15888.0,302479,2016年第3季,-118031,-365159,-42350,-191319,185730,-251026,4920810,5575771,654961,654961,469231,22186,,,-0.12,-0.12,144566,-118031,-65296,,107640,-75681,-173840
