date,season,year,不動產重估增值,不重分類至損益之項目總額(稅後),以成本衡量之金融資產淨損益,備供出售金融資產之已實現利益合計,備供出售金融資產之已實現損失合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,兌換利益合計,兌換損失合計,兌換損益,其他不重分類至損益之項目,其他什項損益,其他利息以外損失,其他利息以外收益,其他利息以外淨損益,其他業務及管理費用合計,其他綜合損益（稅後）淨額,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額(稅後),所得稅（費用）利益,手續費收入合計,手續費淨收益,手續費費用合計,折舊及攤銷費用合計,持有至到期日金融資產之已實現利益合計,持有至到期日金融資產之已實現損失合計,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,收益,會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（損）歸屬於非控制權益,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於母公司業主,本期稅後綜合損益總額歸屬於非控制權益,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,淨收益,無活絡市場之債務商品淨投資損益,無活絡市場之債務工具淨投資損益合計,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算損益,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,費損,資產減損損失合計,資產減損迴轉利益合計,資產減損（損失）迴轉利益淨額,透過損益按公允價值衡量之金融資產及負債利益合計,透過損益按公允價值衡量之金融資產及負債損失合計,透過損益按公允價值衡量之金融資產及負債損益
2013-05-09,1,2013,,,,66195.0,8960.0,57235,-61115,19026.0,4501.0,14525,,,329.0,4116.0,3787,140021,-60507.0,177424,970000,522576,447424,60132,348497,732,0.16,,,-22015,165598.0,120791,44807.0,18626,0.0,0.0,0.0,,,,1259702.0,2013年01月01日至2013年03月31日,,,110709,0.0,110709,50202,0.0,72341,,700000,,,507144,,,,,50202.0,110709,132724,,-124.0,,-22015,-22139,1126978.0,18570.0,0.0,-18570,34767.0,35111.0,-344
2013-08-29,2,2013,,,,39169.0,40121.0,-952,-176482,26936.0,33505.0,-6569,,,82.0,92416.0,92334,147952,-168904.0,212513,1042304,574483,467821,172890,345336,9131,0.11,,,-19146,121073.0,113129,7944.0,19216,0.0,0.0,0.0,,,,,2013年04月01日至2013年06月30日,,,82456,0.0,82456,-86448,0.0,-65749,,786996,,,512504,,,,,-86448.0,82456,101602,,-1553.0,,-19146,-20699,,0.0,0.0,0,46955.0,32384.0,14571
2013-11-07,3,2013,,,,5398,5885,-487,43405,21271,52940,-31669,,,110,5971,5861,150915,39580,143185,1064776,582785,481991,90584,342757,-4264,0.15,,,-14679,132195,120800,11395,19107,0,0,0,,,,,2013年07月01日至2013年09月30日,,122607,107928,0,107928,147508,0,161748,,725970,,,512779,,,,,147508,107928,122607,,439,,-14679,-14240,,0,0,0,81550,32870,48680
2014-03-27,4,2013,,,,,,58914,-196294,,,6500,,,,,116298,594104,-211736.0,667938,4159339,2269327,1890012,400838,1388129,9475,0.58,,,-60014,,458309,,75075,,,0.0,,,,,2013年01月01日至2013年12月31日,,479119.0,419105,0.0,419105,207369,0.0,264220,,2937265,,,2057308,,-28080.0,,,207369.0,419105,479119,,3163.0,,-60014,-56851,,,,-27937,,,55854
2014-05-08,1,2014,,,,,,4439,28182,,,18848,,,,,28774,145723,27096.0,178144,1091311,592730,498581,93920,356033,-1308,0.19,,,-21208,,132664,,19208,,,,,,,,2014年01月01日至2014年03月31日,,155990.0,134782,0.0,134782,161878,0.0,182864,,770874,,,520964,,,,,161878.0,134782,155990,,222.0,,-21208,-20986,,,,-9552,,,2971
2014-08-27,2,2014,,,,,,7855,27807,,,-35050,,,,,134927,150084,24408.0,268112,1138338,608839,529499,261929,355391,-4096,0.1,,,-14490,,125847,,18356,,,,,,,,2014年第2季,,91191.0,76701,0.0,76701,101109,0.0,114902,,876951,,,523831,,,,,101109.0,76701,91191,,697.0,,-14490,-13793,,,,-16153,,,50686
2014-11-06,3,2014,,,,,,13050,-19106,,,117600,,,,,40923,192788,-12955.0,188674,1179328,632922,546406,126639,356349,7411,0.19,,,14684,,117350,,17380,,,,,,,,2014年第3季,,128440.0,143124,0.0,143124,130169,0.0,116745,,821596,,,566517,,,,,130169.0,143124,128440,,-1260.0,,14684,13424,,,,-8137,,,-92112
2015-03-26,4,2014,,,52788.0,,,23502,84904,,,227353,,75080.0,,,217367,678897,81131.0,932138,4613680,2467881,2145799,691079,1443924,21592,0.69,,,-1439,,499218,,74789,,,0.0,,,,,2014年度,,511330.0,509891,0.0,509891,591022,0.0,591688,,3400019,89499.0,,2197610,,-26138.0,,,591022.0,509891,511330,,773.0,,-1439,-666,,,,88294,,,-123596
2015-05-07,1,2015,,,,,,-779,30512,,,3077,,,,,14676,186240,,232900,1173546,608795,564751,90456,360486,-23950,0.22,0.22,10633,-17966,,134065,,20403,,,26414,,,,,2015年第1季,10633,184110,166144,0,166144,176777,0,190672,176777,841695,,,567129,,,0.22,0.22,,166144,184110,,,4071,-17966,-13895,,,,-7881,,,63328
2015-08-27,2,2015,0.0,0.0,,,,4318,-6035,,,12268,0.0,,,,61528,174785,,229668,1202201,622132,580069,115302,376841,116,0.19,0.19,-5938.0,-19532,,134893,,20452,,,507.0,0.0,0.0,0.0,,2015年第2季,-5938.0,164420.0,144888,0.0,144888,138950,0.0,158501,138950.0,851800,,,572078,0.0,,0.19,0.19,,144888,164420,0.0,,-19.0,-19532,-19551,,,,-7710,,,23864
