date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-09,1,2013,,488440,258730,11004,661281,208242,-0.59,,-64257,,11604,,171278,2013年01月01日至2013年03月31日,-384460,276821,-384460,276821,-723612,274895,6803736,6542451,-261285,-261285,462327,,,291049,-384460,-448717,,35401.0,,6443,68876.0,6677534.0,6542451.0,66207.0
2013-08-12,2,2013,,888400,167056,47930,1094901,248797,-0.32,,-3034,,885,,189605,2013年04月01日至2013年06月30日,-203015,891886,-203015,891886,-413390,207341,7690756,7769926,79170,79170,492560,,,302955,-203015,-206049,,42296.0,,8530,42162.0,7861654.0,7769926.0,49566.0
2013-11-11,3,2013,,261610,32752,35247,169544,-110924,-0.1,,55916,,12551,,201914,2013年07月01日至2013年09月30日,-65070,104474,-65070,104474,-85089,75935,8838845,9265882,427037,427037,512126,,,310212,-65070,-9154,,-18858.0,,4615,26569.0,9358517.0,9265882.0,66066.0
2014-03-25,4,2013,,2413293,657220,101507,2867062,546709,-1.29,,84318,,33715,,739535,2013年01月01日至2013年12月31日,-836215,2030847,-836215,2030847,-1521679,769782,31942366,32351577,409211,409211,1930890,,,1191355,-836215,-751897,,92940,,22660,192330,32768085,32351577,224178
2014-05-12,1,2014,,15858,234579,28824,107325,110201,0.02,,21003,,10992,,158714,2014年01月01日至2014年03月31日,10039,117364,10039,117364,-236782,267824,7636806,7844438,207632,207632,444414,,,285700,10039,31042,,18734.0,,6571,51732.0,7981587.0,7844438.0,85417.0
2014-08-11,2,2014,,2869851,730736,29522,2679537,-229294,1.29,,247431,,8162,,186969,2014年第2季,835395,3514932,835395,3514932,323720,759106,8725304,9524340,799036,799036,475316,,,288347,835395,1082826,,-38980.0,,9314,42760.0,9598753.0,9524340.0,31653.0
2014-11-11,3,2014,,-1035403,378664,82943,-866887,203032,0.75,,67509,,8550,,195164,2014年第3季,482926,-383961,482926,-383961,85375,465060,8655605,9250677,595072,595072,509697,,0.75,314533,482926,550435,,34516.0,,5097,46488.0,9365788.0,9250677.0,68623.0
2015-03-24,4,2014,,1974048,1898635,187474,2511890,648002,2.5,,382666,,11381,,716852,2014年度,1614771,4126661,1614771,4126661,-72628,2070065,33108171,34967522,1859351,1859351,1931979,,2.5,1215127,1614771,1997437,,110160.0,,27425,197671.0,35430256.0,34967522.0,265063.0
2015-05-11,1,2015,,-801851,359408,31530,-972768,-170937,0.87,-972768.0,85603,,1411,,165193,2015年01月01日至2015年03月31日,563431,-409337,563431,-409337,260202,388832,7308568,8035658,727090,727090,466888,,0.87,301695,563431,649034,,,-20.0,3517,,,,
2015-08-10,2,2015,,-1036660,57598,29963,-1109775,-73132,-0.05,-1109775.0,74886,,30992,,167788,2015年第2季,-31741,-1141516,-31741,-1141516,-72345,115490,7291767,7686102,394335,394335,466680,,-0.05,298892,-31741,43145,,,-17.0,3063,,,,
2015-11-09,3,2015,,-386863,897609,58655,-79243,307741,0.67,-79243.0,65914,,11253,,142862,2015年第3季,433104,353861,433104,353861,-465422,964440,7102398,7091176,-11222,-11222,454200,,0.67,311338,433104,499018,,,121.0,3077,,,,
2016-03-18,4,2015,-25339.0,-1604502,1518181,169623,-1849178,-219261,1.33,-1823839.0,215626,59378.0,59378,,613094,2015年度,862481,-986697,862481,-986697,-656599,1734706,28734310,29902839,1168529,1168529,1825128,-30528.0,1.33,1212034,862481,1078107,-5189.0,,76.0,12476,,,,
2016-05-09,1,2016,,179991,-209017,33286,-51418,-231452,-0.5,-51418.0,317,,13113,,131208,2016年01月01日至2016年03月31日,-321651,-373069,-321651,-373069,-156497,-164837,7383697,7659702,276005,276005,432502,,-0.5,301294,-321651,-321334,,,-43.0,2219,,,,
2016-08-10,2,2016,,-249835,148393,38366,-531977,-304743,-0.35,-531977.0,-284,,39047,22601.0,125171,2016年第2季,-230455,-762432,-230455,-762432,-452698,221959,7427610,7405624,-21986,-21986,430712,,-0.35,305541,-230455,-230739,,,0.0,3847,,,,
2016-11-10,3,2016,,199365,-253121,124632,-60665,-411751,-1.43,-60665.0,-85,,20945,122.0,131228,2016年第3季,-918991,-979656,-918991,-979656,-802731,-116345,7802118,7422743,-379375,-379375,423356,,-1.43,292128,-918991,-919076,,,-151599.0,8801,,,,
