date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,停業單位淨利（淨損）,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,加工收入,加工收入淨額,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,待出售非流動資產減損迴轉利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,投資損失合計,投資支出（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,金融資產減損損失,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,311.0,0,,,-622,259,118,7963,141,7052.0,13656,13656,13656,7963,0.08,,0,326.0,,,0,,0.0,0,0,,15052,2013年01月01日至2013年03月31日,,7589,15552,9132,14623,0,,15004,-7415,427662,472663,45001,45001,29997,,,,,,14945,7589,7589,,,7052,15,,0.0,,0,141.0,427662,427662,1809.0,462335.0,462335,459007,1519.0,0,-1543,929
2013-08-06,2,2013,,279.0,0,,0.0,-412,553,333,4623,220,7439.0,17855,17855,17855,4623,0.23,,0,165.0,,,0,,0.0,0,0,,16409,2013年04月01日至2013年06月30日,,24644,29267,25202,28387,0,,31942,-7298,444459,507244,62785,62785,30843,,,,,,14434,24644,24644,,,7439,32,,0.0,,0,220.0,444459,444459,1779.0,492350.0,492350,489389,1182.0,0,-558,880
2013-11-06,3,2013,,305.0,0,,0.0,-2157,304,74,-2619,230,7261.0,16895,16895,16895,-2619,0.1,,0,1852.0,,,0,,0.0,0,0,,15807,2013年07月01日至2013年09月30日,,8882,6263,10662,8859,0,,17996,-9114,446645,494302,47657,47657,29661,,,,,,13854,8882,8882,,,7261,0,,0.0,,0,230.0,446645,446645,1521.0,480317.0,480317,477407,1389.0,0,-1780,-2596
2014-03-20,4,2013,,,-20537,-0.19,0.0,4179,2354,1272,19846,1082,,67394,67394,67394,14448,0.47,0.66,0,465.0,12501.0,,424,,0.0,0,0,,63552,2013年01月01日至2013年12月31日,,45483,65329,51970,67329,0,12501.0,87133,-20689,1429392,1609950,180558,180558,93425,,,8699.0,,,29873,66020,66444,3301.0,0.0,27222,-7857,,,0.0,0,,1429392,1429392,,,1542556,1542556,,0,-6487,-2000
2014-05-08,1,2014,,1.0,-2314,-0.02,0.0,2849,625,51,-2181,574,5007.0,15576,15576,15576,-2181,0.18,0.2,2931,0.0,,,0,,,0,0,,15401,2014年01月01日至2014年03月31日,,19795,17614,20192,18689,0,0.0,23642,-1533,372864,419787,46923,46923,23281,,,,,,7880,22109,22109,,,5007,-81,,,,0,574.0,372864,372864,,,404211,404211,,0,-397,-1075
2014-08-06,2,2014,,-1.0,41402,,0.0,-2743,2734,1978,-4063,756,4685.0,19305,19305,19305,-4063,0.62,,0,2778.0,,,3006,,0.0,0,0,,18265,2014年第2季,,65972,61909,67726,64924,0,,32270,-4694,396479,455776,59297,59297,27027,3006.0,,,,,8762,24570,27576,,,4685,34,0.0,,,0,756.0,396479,396479,,,436471,436471,,0,-1754,-3015
2014-11-06,3,2014,,1.0,0,,0.0,3406,1738,997,0,741,4655.0,20608,20608,20608,0,0.31,0.31,3234,0.0,,,0,,0.0,0,0,,17126,2014年第3季,,33342,33342,33342,33342,0,,32853,489,393569,451977,58408,58408,25555,0.0,,,0.31,0.31,8429,33342,33342,,,4655,173,0.0,,,0,741.0,393569,393569,,,431369,431369,,0,0,0
2015-03-16,4,2014,,,39088,0.38,0.0,10106,6137,3252,-10414,2885,,73820,73820,73820,-6244,1.26,0.88,10740,0.0,-1020.0,,3649,,0.0,0,0,,66233,2014年度,,132961,122547,135112,126637,0,-1020.0,100187,-2665,1526827,1726353,199526,199526,99339,,,-4170.0,,,33106,93873,97522,0.0,,18908,386,,,,0,,1526827,1526827,,,1652533,1652533,,0,-2151,-4090
2015-05-06,1,2015,0.0,-18.0,0,,,-360,1040,332,0,708,4213.0,14377,14377,14377,0,0.12,0.12,0,378.0,,0.0,0,,,0,0,0.0,13858,2015年01月01日至2015年03月31日,,12739,12739,12739,12739,0,0.0,16272,-3533,318224,356329,38105,38105,21833,,,,0.12,0.12,7975,12739,12739,,,4213,0,,,,0,708.0,318224,318224,,,341952,341952,,0,0,0
2015-08-06,2,2015,0,49,0,,,-1979,1465,625,0,840,4008,14158,14158,14158,0,0.08,0.08,0,1930,,0,0,0,,0,0,0,14539,2015年第2季,0,8024,8024,8024,8024,0,0,12546,-4522,349546,384655,35109,35109,22563,,,,0.08,0.08,8024,8024,8024,,,4008,0,0,,,0,,349546,349546,,,370497,370497,,0,0,0
2015-11-06,3,2015,0.0,50.0,0,,,5416,257,65,0,192,4157.0,13612,13612,13612,0,0.08,0.08,5466,,,0.0,0,0.0,,0,0,0.0,12759,2015年第3季,0.0,8099,8099,8099,8099,0,0.0,6583,1516,284990,311545,26555,26555,19972,,,,0.08,0.08,7213,8099,8099,,,4157,0,,,,0,192.0,284990,284990,,,297933,297933,,0,0,0
2016-03-15,4,2015,298.0,,0,,,2491,4484,2205,298,2279,,55852,55852,55852,0,0.34,0.34,2435,,0.0,0.0,179,,0.0,0,0,0.0,53503,2015年度,,34448,34746,34448,34746,0,0.0,44364,-9737,1252372,1380466,128094,128094,83730,,298.0,,0.34,0.34,30227,34448,34627,,,16712,56,,,,0,,1252372,1252372,,,1324614,1324614,,0,0,0
