date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,共同控制下前手權益（綜合損益）,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,遞延所得稅費用（利益）,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,565.0,,0.0,-834,7873,7169.0,0.0,13853,704.0,,,2.59,,-232.0,,19224,13853.0,13853.0,15183,2013年01月01日至2013年03月31日,,45783,59636,45710,59505,57968,7039,241853,341578,99725,99725,41757,19224.0,2420,2.59,,24154,45783,2.59,65007,-37.0,,,,704.0,241853.0,241853,392,343631.0,343631,341578,1661,73,131
2013-08-09,2,2013,,,227.0,,,596,1364,299.0,,9137,1065.0,425.0,9137.0,3.44,3.44,872.0,,25954,,,22288,2013年04月01日至2013年06月30日,,60805,69942,60721,69823,85224,1535,331967,467750,135783,135783,50559,25954.0,3368,3.44,3.44,24903,60805,,86759,-49.0,425.0,,,1065.0,331967.0,331967,920,470935.0,470935,467750,2265,84,119
2013-11-08,3,2013,,,,,,-792,3609,,,-6289,,,-6289.0,4.06,4.06,,,37637,,,23806,2013年07月01日至2013年09月30日,,71878,65589,71657,65392,107142,2373,390132,558784,168652,168652,61510,30129.0,3420,4.06,4.06,34284,71878,,109515,,444.0,,7508.0,,390132.0,390132,935,562982.0,562982,558784,3263,221,197
2014-03-14,4,2013,,,,,,347,16130,,,27872,,,27872.0,12.27,12.27,,,102261,,,79458,2013年01月01日至2013年12月31日,,216752,244624,216454,244218,304569,14444,1221654,1729641,507987,507987,203418,93831.0,12860,12.27,12.27,111100,216752,,319013,,2033.0,,8430.0,,1221654.0,1221654,2920,1743004.0,1743004,1729641,10443,298,406
2014-05-06,1,2014,,,,,,-483,919,,,-3323,,,-3323.0,3.21,3.21,,,29604,,,17430,2014年01月01日至2014年03月31日,,56727,53404,56591,53278,86471,-140,296450,431753,135303,135303,48832,,3761,3.21,3.21,27641,56727,,86331,,576.0,,,,296450.0,296450,709,,433934,431753,1472,136,126
2014-08-08,2,2014,,,168.0,0.0,,2752,716,46.0,,-13023,670.0,847.0,-13023.0,3.04,3.04,395.0,,53518,,,31689,2014年第2季,,75316,62293,75092,62114,126213,2621,411782,605485,193703,193703,67490,53518.0,4065,3.04,3.04,31736,75316,,128834,8.0,847.0,2517.0,,670.0,411782.0,411782,841,610382.0,610382,605485,4056,224,179
2014-11-07,3,2014,,,188.0,,,2384,970,367.0,,18158,603.0,,18158.0,3.21,3.21,1057.0,,41369,,,32073,2014年第3季,,79405,97563,79306,97397,118365,2409,425444,620809,195365,195365,77000,41369.0,5287,3.21,3.21,39640,79405,,120774,-188.0,945.0,1703.0,,603.0,425444.0,425444,296,627393.0,627393,620809,6288,99,166
2015-03-02,4,2014,,,,,,6214,3815,3815.0,,26769,,,26769.0,9.85,9.85,,,142470,,,108161,2014年度,,243890,270659,243237,269908,379910,6450,1415326,2053572,638246,638246,258336,,17961,9.84,9.84,132214,243890,,386360,,3579.0,,,,1415326.0,1415326,2264,2069678.0,2069678,2053572,13842,653,751
2015-05-08,1,2015,-7792.0,-7792.0,,,,1346,1090,1090.0,,-7792,,,,1.91,1.91,,,24754,,,30173,2015年01月01日至2015年03月31日,,47510,39718,47268,39502,71529,735,358882,506333,147451,147451,75922,,6336,1.91,1.91,39413,47510,,72264,,1701.0,,,,358882.0,358882,528,508415.0,508415,506333,1554,242,216
2015-08-07,2,2015,-12419.0,-12419.0,,,,1848,1366,,,-12419,,,,3.02,3.02,,,39127,,,38340,2015年第2季,,83100,70681,82159,69794,122018,209,492254,701170,208916,208916,86898,,8196,3.02,3.02,40362,83100,,122227,,3005.0,,,,492254.0,492254,567,706220.0,706220,701170,4483,941,887
