date,season,year,不重分類至損益之項目總額(稅後),以成本衡量之金融負債淨損益,以成本衡量之金融資產淨損益,保費收入淨額,信託投資淨損益,停業單位損益合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,儲運業務淨損益,兌換損益,其他不重分類至損益之項目,其他什項損益,其他什項支出,其他什項收入,其他利息以外損失,其他利息以外收益,其他利息以外淨損益,其他業務及管理費用合計,其他營業準備提存合計,其他綜合損益（稅後）淨額,其他金融資產減損損失,出售承受擔保品淨損益,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額(稅後),所得稅（費用）利益,手續費淨收益,承受擔保品減損損失,投資性不動產損益,折舊及攤銷費用合計,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法之投資處分利益,採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額合計,採用權益法認列之關聯企業及合資損益之份額,提存意外損失準備合計,會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於共同控制下前手權益,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（損）歸屬於非控制權益,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於母公司業主,本期稅後綜合損益總額歸屬於非控制權益,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,歸因於所規避風險之被避險項目之淨損益－公允價值避險,淨收益,災害損失合計,無活絡市場之債務商品淨投資損益,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益（損失）,確定福利計畫之再衡量數,確定福利計畫精算損益,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,證券承銷收入淨額,證券經紀收入淨額,財產交易淨損益,資產報廢損失合計,資產減損損失合計,資產減損（損失）迴轉利益淨額,賠償收入合計,透過損益按公允價值衡量之金融資產及負債損益,避險工具之淨損益－公允價值避險,銷貨淨損益,顧問服務收入合計,（提存）收回保費準備淨額,（提存）收回未決賠款準備淨額,（提存）收回輸出保險準備淨額
2013-04-25,1,2013,,,,,,,35578,-1444,,-187006,,,,,,-8292.0,-8292,518441,,12436.0,,,1195583,2246914,1223765,1023149,239877,915424,30234,0.24,0.24,,-109503,676303,0.0,,90648,,,,,,,,2013年01月01日至2013年03月31日,,,,522452,23003.0,545455,520248,37643,574304,,,2419348,,,1524513,59,,,,0.23,0.23,557891.0,545455,654958,,-16413.0,,-109503,-16413.0,,,,,0.0,0.0,,679000,,,,,,
2013-08-27,2,2013,,,,,,,9294,-120550,,-112207,,,,,,22907.0,22907,514175,,-115806.0,188.0,,1761429,2243302,1213668,1029634,240734,892580,-8706,0.5,,,-77035,661360,0.0,,90742,,,,,,,,2013年04月01日至2013年06月30日,,,,1156700,3131.0,1159831,1055701,-11676,1108713,,,2975097,,,1497497,1103,,,,0.26,,1044025.0,1159831,1236866,,12347.0,,-77035,-64688.0,,,,,188.0,-188.0,,1180263,,,,,,
2013-10-30,3,2013,,0.0,13400.0,0.0,0.0,0.0,-1458,117887,0.0,53553,,14387.0,,,13900.0,44481.0,30581,519809,0.0,111972.0,,0.0,1100701,2178408,1172676,1005732,120558,914928,-8560,0.23,,,-84290,666224,,0.0,91501,,,,,,,0.0,2013年07月01日至2013年09月30日,,626581.0,11617.0,530674,,542291,627898,26365,737214,,0.0,2273377,0.0,0.0,1526238,1306,,,8278.0,0.22,,654263.0,542291,626581,,1339.0,,-84290,-82951.0,0.0,0.0,-3116.0,0.0,,-1561.0,-2368.0,353362,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-27,4,2013,,,,,,0.0,43332,86651,,-193310,,50538.0,,,62754.0,113292.0,50538,2103748,0.0,102531.0,,,5095323,8832701,4778987,4053714,721177,3585006,35343,1.15,,,-362376,2704829,5129.0,,362907,,,,,,,,2013年01月01日至2013年12月31日,,3101472.0,,2656315,82781.0,2739096,2735156,106471,3204718,,,9874310,,,6051661,2601,,-21349.0,,0.92,,2841627.0,2739096,3101472,,-715.0,,-362376,-363091.0,,,,,5129.0,-5129.0,,2495063,,,,,,
2014-05-15,1,2014,,,,,,0.0,20253,69995,,43699,,,,,,8553.0,8553,509964,,68415.0,,,1592829,2288873,1256961,1031912,150000,991558,-1925,0.37,,,-147000,685511,,,93063,,,,,,,,2014年01月01日至2014年03月31日,,1105205.0,,869690,88515.0,958205,941140,85480,1026620,,,2849790,,,1594585,21,,,,0.3,,1026620.0,958205,1105205,,324.0,,-147000,,,,,,,,,834813,,,,,,
2014-08-21,2,2014,,,,,,0.0,62839,-5977,,41239,,,,,,29719.0,29719,524992,,-15884.0,,,1182425,2374140,1299780,1074360,150156,971041,-12573,0.22,,,-111502,710977,-10240.0,,94817,0.0,,,,,,,2014年第2季,,741199.0,,564550,65147.0,629697,558490,55323,613813,,,2482205,,,1590850,605,,,,0.22,,613813.0,629697,741199,,2061.0,,-111502,,,,,,-10240.0,10240.0,,327411,,,,,,
2014-11-13,3,2014,,,,,,0.0,47850,-13404,,49299,,-98675.0,127182.0,28507.0,127182.0,28507.0,-98675,607772,,2319.0,,,1108475,2423444,1411350,1012094,89742,947053,18397,0.27,,,-127019,799468,1765.0,,92917,,,,,,,,2014年第3季,,782341.0,,689973,-34651.0,655322,689975,-32334,657641,,,2519825,,,1647742,639,,,,0.23,,657641.0,655322,782341,,-3313.0,,-127019,,,,,,1765.0,-1765.0,,312298,,,,,,
2015-03-26,4,2014,,,,,,0.0,131933,49979,,193280,,-45116.0,127182.0,82066.0,127182.0,82066.0,-45116,2309384,,56453.0,,,4905247,9483766,5386143,4097623,481951,3847453,54139,1.04,,,-505519,2902314,-8475.0,,380144,,,,,,,,2014年度,,3272458.0,,2635095,131844.0,2766939,2698162,125230,3330264,,,10291390,,,6536981,1270,,-47582.0,,0.89,,2823392.0,2766939,3272458,,-1353.0,,-505519,-506872.0,,,,,-8475.0,8475.0,,1714361,,,,,,
2015-05-14,1,2015,444.0,,,,,0.0,25983,80983,,54836,,,,,,7635.0,7635,602774,,,,,1131936,2350009,1405007,945002,61291,964622,-64549,0.26,,27693.0,-130722,760882,,,94328,,444.0,5561.0,,5561.0,5561.0,,2015年第1季,28137.0,813928.0,,655590,27616.0,683206,679309,32034,831126,711343.0,,2536943,,,1661724,320,,,,0.21,,,683206,813928,,,10939.0,-130722,-119783.0,,,,,,,,277039,,,,,,
2015-08-21,2,2015,80.0,,,,,,27692,-94752,,42304,,,,,,2291.0,2291,595367,,,,,1344409,2320626,1397420,923206,242,969769,-470,0.32,,-94701.0,-169109,814776,0.0,,92949,,80.0,-937.0,,-937.0,-937.0,,2015年第2季,-94621.0,1083502.0,,888804,25589.0,914393,803979,15793,988874,819772.0,,2741829,,,1658085,514,,,,0.25,,,914393,1083502,,,7.0,-169109,-169102.0,,,,,0.0,0.0,,458283,,,,,,
