date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2015-08-10,2,2015,,156,,384,-7645,3412,2371,,-5145,1041,2211,,,-5529,0.68,,0.0,7298.0,-5145,26457,,,35359,2015年第2季,53234,48089,50253,46487,86135,-6444,382419,540043,157624,157624,71489,,8883,,,0.68,,27247,53234,79691,,,,,,,-1878.0,,2211,1687.0,0.0,,,2981,1602
2015-11-09,3,2015,,28,,-442,64872,5641,4494,,41828,1147,4893,,,42270,1.55,,55487.0,,41828,24503,,,37424,2015年第3季,114955,156783,115503,151509,73838,65620,394050,549719,155669,155669,81831,,13021,,,1.54,,31386,114955,139458,,,,,,,0.0,,4893,9413.0,,,,-548,5274
2016-03-21,4,2015,-730.0,243,,26111,51515,16918,14494,,63116,2424,13736,,,37735,4.6,,54222.0,,63846,90195,,,141116,2015年度,348631,411747,343647,377280,384129,54697,1490833,2153843,663010,663010,278881,,37135,-880.0,,4.59,,100630,348631,438826,,-150.0,,,-523.0,,,1878.0,13736,-63.0,,,,4984,34467
2016-05-09,1,2016,,341,,-458,-33675,4779,3879,,-8279,900,7272,,,-7821,0.71,0.71,223.0,,-8279,9171,,,37584,2016年01月01日至2016年03月31日,51077,42798,52369,44516,96416,-36168,414198,581580,167382,167382,70966,,9947,,,0.71,0.71,23435,51077,60248,,,,,-86.0,,,,7272,,33471.0,,,-1292,-1718
2016-08-08,2,2016,,57,0.0,-8692,-373,3881,1787,0.0,-22329,796,8184,0.0,0.0,-13637,0.72,,,24614.0,-22329,27406,0.0,0.0,36960,2016年第2季,48343,26014,53490,35001,80425,-4676,400880,556936,156056,156056,75631,0.0,10639,,1228.0,0.72,,28032,48343,75749,70.0,,0.0,0.0,,2.0,,2.0,8184,24302.0,0.0,0.0,0.0,-5147,-8987
2016-11-03,3,2016,,58,0.0,6405,-59590,9274,3318,0.0,-24921,1233,8975,0.0,0.0,-31326,0.26,,0.0,51510.0,-24921,2933,0.0,0.0,31027,2016年第3季,18051,-6870,19024,1868,80275,-59291,442578,591995,149417,149417,69142,0.0,9966,,0.0,0.26,,28149,18051,20984,4723.0,,0.0,0.0,,143.0,,0.0,8975,0.0,7879.0,0.0,0.0,-973,-8738
