date,season,year,不重分類至損益之項目總額,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-24,1,2013,,,,,114633,137775,30246,625629,625629,2.87,,,400469,160524,2013年01月01日至2013年03月31日,,,1295847,1921476,1295847,1921476,1484368,211948,15123312,17393662,2270350,2270350,816228,324236,,,2.59,331468,1295847,1696316,,,40460,17393662,,
2013-08-08,2,2013,,,,,164478,191665,80101,450955,450955,1.6,,,320622,75268,2013年04月01日至2013年06月30日,,,745727,1196682,745727,1196682,761237,305112,11379396,12790626,1411230,1411230,730094,352819,,,1.08,302007,745727,1066349,0.0,,51031,12790626.0,,
2013-10-24,3,2013,,,,,-52577,155874,50472,-219168,-219168,2.26,,,397214,138930,2013年07月01日至2013年09月30日,,,1051062,831894,1051062,831894,1395043,53233,12576285,14750148,2173863,2173863,829292,408311,,,2.24,282051,1051062,1448276,0.0,,50064,14750148.0,,
2014-03-20,4,2013,,0.0,0.0,0.0,210201,608184,274077,1257820,1259782,10.13,0.0,,1837232,788298,2013年01月01日至2013年12月31日,0.0,,4710551,5968371,4710551,5968371,5911150,636633,54458720,63541967,9083247,9083247,3446174,1433643,,-1962.0,9.22,1224233,4710551,6547783,,,181752,63541967.0,0.0,0.0
2014-04-25,1,2014,,,,,-169875,161096,37376,329083,329083,1.69,,,188481,17619,2014年01月01日至2014年03月31日,,,785252,1114335,785252,1114335,1031883,-58150,10870369,12567840,1697471,1697471,702964,382823,,,1.67,302522,785252,973733,,,49371,12567840.0,,
2014-07-31,2,2014,,,,,50011,224384,65777,-519419,-519419,1.38,,,281056,67262,2014年第2季,,,641941,122522,641941,122522,710277,212720,9319320,10741004,1421684,1421684,777184,438154,,,1.38,271768,641941,922997,,,61675,10741004.0,,
2014-11-06,3,2014,,0.0,,,115568,197970,81833,462473,462473,1.96,,,283534,65417,2014年第3季,,,911751,1374224,911751,1374224,955714,239571,11260011,13031225,1771214,1771214,897333,509412,,,1.82,322504,911751,1195285,0.0,,73967,13031225.0,,
2015-03-19,4,2014,,0.0,0.0,0.0,297447,765054,226236,1463813,1474994,8.01,0.0,,1063910,209922,2014年度,0.0,,3726484,5190297,3726484,5190297,3979401,810993,44365687,51371790,7006103,7006103,3252938,1797209,,-11181.0,7.5,1245807,3726484,4790394,,,251508,51371790.0,0.0,0.0
2015-04-29,1,2015,,,,,113568,160105,77853,-409545,-409545,0.85,,-409545.0,56426,56411,2015年01月01日至2015年03月31日,,,395605,-13940,395605,-13940,239722,212309,8473097,9435962,962865,962865,800996,466379,,,0.73,278206,395605,452031,,,61364,9435962.0,,
2015-07-30,2,2015,,,,,-53264,152078,68055,-255202,-255202,0.03,,-255202.0,87857,59898,2015年第2季,,,14846,-240356,14846,-240356,69352,33351,8502667,9332608,829941,829941,828644,498618,,,0.03,270128,14846,102703,,0.0,65463,9332608.0,,
2015-10-29,3,2015,,0.0,,,73826,191318,56736,645850,645850,2.78,,645850.0,330596,51426,2015年第3季,,,1293690,1939540,1293690,1939540,1430565,193721,13103987,15400025,2296038,2296038,922209,540827,,,2.66,329956,1293690,1624286,,0.0,71423,15400025.0,,
2016-03-17,4,2015,-22336.0,,0.0,0.0,350350,644336,254132,-659135,-636799,6.61,,-636799.0,935635,232085,2015年度,,,3073352,2414217,3073352,2414217,3282141,726846,45436268,51830708,6394440,6394440,3366431,1975132,-22336.0,,6.29,1159214,3073352,4008987,,,267840,,0.0,0.0
2016-04-27,1,2016,,,,,-70178,161104,85815,-412352,-412352,0.94,,-412352.0,112438,51725,2016年01月01日至2016年03月31日,,112438.0,435899,23547,435899,23547,512849,35488,10689989,11875883,1185894,1185894,758860,450072,,,0.77,257063,435899,548337,,,55438,,,
2016-07-28,2,2016,,,,,463198,103873,114384,-649813,-649813,1.21,,-649813.0,171935,51509,2016年第2季,,171935.0,563570,-86243,563570,-86243,224681,510824,8597016,9523556,926540,926540,816243,498930,,,1.18,265804,563570,735505,,0.0,56247,,,
2016-10-27,3,2016,,,,,85689,64355,62308,-999459,-999459,2.32,,-999459.0,260283,49770,2016年第3季,,,1077824,78365,1077824,78365,1213132,124975,8735062,10656263,1921201,1921201,770377,488566,,,2.21,232041,1077824,1338107,,0.0,25069,,,
