date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估增值,金融資產重分類淨損益,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,3,,-15832,12887,63595,,,63592,0.21,,5840,,-1824,,32882,2013年01月01日至2013年03月31日,33517,97112,,33517,97112,46251,-6894,1075104,1279615,204511,204511,158260,,45884,,,0.2,79494,33517,39357,,,2125,,,986,1291909,1279615,11308,,,
2013-08-09,2,2013,,,-82,,-11234,9205,45621,,,45703,0.29,,12436,,-3817,,58072,2013年04月01日至2013年06月30日,49033,94654,,49033,94654,68842,-7373,1302503,1576326,273823,273823,204981,,53844,,,0.29,93065,49033,61469,,,1527,,,1194,1589325,1576326,11805,,,
2013-11-08,3,2013,,,-76,,-1772,9077,-30565,,,-30489,0.45,,5275,,-1747,,65958,2013年07月01日至2013年09月30日,76598,46033,,76589,46015,78000,3873,1472978,1791393,318415,318415,240415,,55266,,,0.45,119191,76598,81873,,,1685,,0.0,1839,1799413,1791393,6181,0.0,9.0,18.0
2014-03-24,4,2013,,,-3855,,-31343,48085,113229,,,116719,0.73,,28515,,-15070,,269387,2013年01月01日至2013年12月31日,122575,235804,,122572,235812,157028,-5938,5179385,6184466,1005081,1005081,848053,,210039,,365.0,0.72,368627,122575,151090,,,7610,,0.0,9288,6231648,6184466,37894,0.0,3.0,-8.0
2014-05-08,1,2015,,,-449,,8605,15996,-30059,,,-29610,0.04,-30059.0,2861,,0,,64630,2015年01月01日至2015年03月31日,6903,-23156,,6902,-23153,-11943,21707,1043158,1221705,178547,178547,190490,,50595,,,0.04,75265,6903,9764,,,2894,,,5321,1228754,1221705,1728,,1.0,-3.0
2014-05-13,1,2014,,,-4159,,-11959,20860,3932,,,8091,0.17,,8210,,-2654,,62233,2014年01月01日至2014年03月31日,28801,32733,,28802,32722,32854,4157,1046631,1266858,220227,220227,187373,,46602,,,0.17,78538,28801,37011,,,2090,,,3713,1283710,1266858,13139,,-1.0,11.0
2014-08-08,2,2014,,,179,,-19272,15580,-46856,,,-47035,-0.13,,519,,-4013,,69191,2014年第2季,-22065,-68921,,-22058,-68912,-10744,-10802,1118779,1312179,193400,193400,204144,,47127,,,-0.13,87826,-22065,-21546,,,3097,,,2775,1318619,1312179,3665,,-7.0,-9.0
2014-10-31,3,2014,,,56,,23652,14943,62757,,,62701,0.22,,9215,,-3782,,78867,2014年第3季,37681,100438,,37666,100439,14392,32504,1176116,1408711,232595,232595,218203,,46172,,,0.22,93164,37681,46896,,,2309,,0.0,7508,1426705,1408711,10486,0.0,15.0,-1.0
2015-03-16,4,2014,,,-4007,,-39245,69671,107161,,,110823,0.11,,23906,,-15917,,294961,2014年度,18579,125740,,18572,125752,37079,5406,4487483,5362764,875281,875281,838202,,189896,,345.0,0.11,353345,18579,42485,,,9103,,0.0,24547,5415547,5362764,28236,0.0,7.0,-12.0
2015-08-11,2,2015,0.0,0.0,449,,1938,7735,-42115,0.0,0.0,-42564,0.16,-42115.0,9531,0.0,0,0.0,62346,2015年第2季,26754,-15361,0.0,26747,-15360,29347,6938,1155703,1382359,226656,226656,197309,0.0,48435,0.0,,0.16,86528,26754,36285,0.0,0.0,2735,0.0,,10081,1396602,1382359,4162,,7.0,-1.0
2015-11-10,3,2015,,,0,,-21993,23418,121573,,,121573,0.07,121573.0,10802,,0,,56345,2015年第3季,11135,132708,,11129,132680,22867,-930,1130556,1363940,233384,233384,210517,,58261,,,0.07,95911,11135,21937,,,2355,,0.0,6645,1374214,1363940,3629,0.0,6.0,28.0
2016-03-10,4,2015,,-679.0,0,0.0,-111162,70231,2405,,,3084,0.09,3084.0,31786,,0,,216229,2015年度,15230,17635,,15223,17620,98261,-51245,4371544,5234359,862815,862815,764554,,212315,-679.0,,0.09,336010,15230,47016,,,10314,,0.0,14809,5251805,5234359,2637,0.0,7.0,15.0
2016-05-11,1,2016,,,0,,8895,10453,-44690,,,-44690,0.12,-44690.0,647,,-1453,,56399,2016年01月01日至2016年03月31日,20259,-24431,,20265,-24439,5267,15639,1085705,1271421,185716,185716,180449,,52966,,,0.12,71084,20259,20906,,,2256,,,4193,1280305,1271421,4691,,-6.0,8.0
2016-08-11,2,2016,0.0,0.0,0,,-11123,20677,-31726,0.0,0.0,-31726,0.13,-31726.0,5335,0.0,150,0.0,50403,2016年第2季,22235,-9491,0.0,22249,-9503,20034,7536,1098332,1293576,195244,195244,175210,0.0,50473,0.0,,0.13,74334,22235,27570,0.0,0.0,2168,0.0,,13631,1311587,1293576,4380,,-14.0,12.0
2016-11-10,3,2016,,,0,,4550,9994,-92454,,,-92454,0.22,-92454.0,1808,,1131,,53817,2016年第3季,37295,-55159,,37297,-55155,25795,13308,1075246,1283681,208435,208435,182640,,54468,,,0.22,74355,37295,39103,,,2367,,0.0,7352,1297366,1283681,6333,0.0,-2.0,-4.0
