date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分投資利益,處分投資損失,處分無形資產損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,52829,701139,107659,669054,612290,1763128,56764,123696,1063802,0.02,0.02,119087,,163914,,,,-186302,,,401690,2013年01月01日至2013年03月31日,,189218,1952346,,71349,1663942,30389,-113583,466715,33386804,34450923,1064119,1064119,1177702,-1813.0,,67788,,,0.02,0.02,708224,189218,353132,0.0,,,-470,,42726.0,,123696,114986,,117869,288404
2013-08-12,2,2013,,,363431,3225991,912353,192008,57971,3865654,107748,178593,637563,0.08,0.08,249906,,242839,,,,54882,,,426362,2013年04月01日至2013年06月30日,,382525,4248179,,291505,3481239,8242,-355286,980650,37602746,38460402,857656,857656,1212942,2100.0,,121489,,,,,665091,382525,625364,26289.0,,,15829,,-890257.0,,178593,128034,,91020,766940
2013-11-13,3,2013,,,64645,-146329,-25275,141203,7083,-518208,131868,137310,-371879,0.12,0.12,76845,,-279106,,,,-10681,,,491814,2013年07月01日至2013年09月30日,,454150,-64058,,415999,-130316,-1717,207107,-32063,34858141,36212529,1354388,1354388,1147281,0.0,,51329,,,,,604138,454150,175044,2252.0,,,33901,,-169786.0,,137310,-242879,,38151,66258
2014-03-05,4,2013,,,669230,2643375,-2680177,1184445,743276,4489965,408334,614601,1760547,-0.77,-0.77,598678,,115285,,,3350.0,-251001,,,1807680,2013年01月01日至2013年12月31日,,-2431422,2058543,,-2688696,1836583,2538030,45197,-2361334,144003799,148634957,4631158,4631158,4585961,287.0,,206852,,82406.0,,,2571429,-2431422,-2316137,32835.0,,,507196,,595820.0,,614601,17029,,257274,221960
2014-05-14,1,2014,,,60341,179475,-498391,201827,64968,717587,136859,154244,462545,-0.05,-0.05,-77018,,-21007,,,75567.0,60455,,,404140,2014年01月01日至2014年03月31日,3781.0,-190972,526615,,-177084,513824,923,178374,-390353,35895086,37069680,1174594,1170813,992439,0.0,,20381,,,,,567918,-190972,-211979,,,,-414,,236763.0,,154244,-122932,,-13888,12791
2014-08-13,2,2014,,,102219,210315,-294151,171631,19997,55292,151588,256600,-656402,0.19,0.19,23929,,248925,,,501379.0,196385,,,476746,2014年第2季,21409.0,803108,858400,,668291,747348,2473,1234768,-182735,40638134,42977875,2339741,2318332,1083564,0.0,,27001,,,,,579817,803108,1052033,46.0,,,-8932,,333199.0,,256600,128743,,134817,111052
2014-10-29,3,2014,,,6514,-842296,167460,274230,133622,-802968,104646,184118,552448,0.45,0.45,21348,,719858,,,-513120.0,224825,,,405303,2014年第3季,-8416.0,1696439,893471,,1596430,797874,889250,1933900,482397,40487061,43303025,2815964,2824380,890480,0.0,,20226,,,,,464951,1696439,2416297,35962.0,,,-823,,-791298.0,,184118,251401,,100009,95597
2015-02-17,4,2014,,,224809,-253751,-489543,794449,286669,1502331,469845,761181,1545667,0.64,0.64,73679,,1125792,,,291960.0,614009,,,1765174,2014年度,6969.0,2535532,4037863,,2264691,3802986,909563,3503590,157734,155417156,162987384,7570228,7563259,4059669,-1865.0,,91736,,-79680.0,,,2202759,2535532,3661324,37935.0,,,-16681,,-564791.0,,761181,23040,,270841,234877
2015-04-29,1,2015,0.0,0.0,150841,-159668,-182538,182547,77790,-1098509,104757,99411,-496907,-0.06,-0.06,15479,-1098509.0,88678,0.0,0.0,,-64543,-266830.0,0.0,372037,2015年01月01日至2015年03月31日,39.0,-196677,-1295186,0.0,-196271,-1261464,-706,55946,-163945,35307126,36241151,934025,933986,878040,,-175104.0,29137,0.0,,,,476866,-196677,-107999,,0.0,0.0,-1755,,14965.0,,99411,-31162,0.0,-406,-33722
2015-07-29,2,2015,,,78353,-623448,-38643,231859,124673,-1684621,107186,115198,-299327,0.2,0.2,122461,-1684621.0,375585,,,,312773,-777600.0,,389790,2015年第2季,-765.0,743420,-941201,,710074,-967895,8951,728214,390791,37972118,39608167,1636049,1636814,908600,,15754.0,22013,,,,,496797,743420,1119005,0.0,,,61944,,5298.0,,115198,-130446,,33346,26694
