date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,重估增值,金融資產重分類淨損益,除列按攤銷後成本衡量之金融資產之利益,除列按攤銷後成本衡量之金融資產之損失,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-23,1,2013,,615,,,,230998,47908,30976,,2981804,16932,157943,2660453,1.31,1.31,123626.0,,,,0,,,,2013年01月01日至2013年03月31日,,,539192,3520996,,516215,3495157,418229,120963,1536732,1985985,449253,449253,31024,323354.0,,,-2003.0,1.25,1.25,539192,539192,,96992,,157943,10995,,,,,,,,22977,25839
2013-07-26,2,2013,,712,,,,107299,33507,14751,,1553526,18756,157916,1353162,0.89,,81194.0,0.0,,,0,,,,2013年04月01日至2013年06月30日,,,368155,1921681,,351844,1904739,385265,-17110,1625973,2053327,427354,427354,42089,200364.0,,,0.0,0.84,,368155,368155,,608,,157916,26209,0.0,,,,,,,16311,16942
2013-10-25,3,2013,,14561,0.0,,0.0,-81256,20748,0,,-507126,20748,177729,-485829,0.33,,0.0,32259.0,,,0,,,0.0,2013年07月01日至2013年09月30日,,,140838,-366288,,136410,-368821,379075,-238237,1707816,2121243,413427,413427,34352,-21297.0,,,0.0,0.33,,140838,140838,,0,12304.0,177729,0,22132.0,,,0.0,,,0.0,4428,2533
2014-03-28,4,2013,,221028,,,,238506,399607,319590,,6194469,80017,678206,5410609,3.43,,325642.0,,,,195,,,,2013年01月01日至2013年12月31日,,,1498521,7692990,,1439155,7630947,1538809,-40093,6640688,8327523,1686835,1686835,148026,785959.0,,,-2099.0,3.29,,1498521,1498716,,82492,,678206,51400,,,,,,,,59366,62043
2014-04-25,1,2014,,497536,,,,-496172,872738,848696,,-96887,24042,191060,-55153,1.26,1.26,0.0,9293.0,,,143,,,,2014年01月01日至2014年03月31日,,,575633,478746,,568113,468163,390270,185506,1703142,2130891,427749,427749,37479,-41734.0,,,0.0,1.14,1.14,575633,575776,,6319,,191060,4338,,,,,,,,7520,10583
2014-07-25,2,2014,,6835,0.0,,,-10210,21829,1936,0.0,-1025736,19893,208873,-778969,0.48,,0.0,649.0,,,12,,,0.0,2014年第2季,,,223300,-802436,,215398,-807501,420566,-197254,1756194,2207017,450823,450823,30257,-246767.0,,,0.0,0.44,,223300,223312,,3391,,208873,0,6117.0,12.0,,0.0,,,0.0,7902,5065
2014-10-24,3,2014,,7886,,,,147568,20811,-1143,0.0,2546441,21954,203912,2253586,0.82,,126776.0,,,,-16,,,,2014年第3季,,,388158,2934599,,377902,2921658,423675,-35533,1824057,2284851,460794,460794,37119,292855.0,,,0.0,0.75,,388158,388142,,0,,203912,28678,,-16.0,,0.0,,,0.0,10256,12941
2015-07-24,2,2015,,1741,,,,5711,181131,166508,0.0,29213,14623,239542,21628,1.19,,19961.0,0.0,,29213.0,-53,,,,2015年第2季,,-53.0,559195,588408,,561254,592629,611842,-52700,2052067,2703903,651836,651836,39994,,7585.0,,,1.05,,559195,559142,,0,1795.0,239542,0,10714.0,,,0.0,,,0.0,-2059,-4221
2015-10-23,3,2015,,729,,,,361913,7905,1447,,1116289,6458,251766,1251375,1.43,,17945.0,,,1116289.0,-359,,,,2015年第3季,,-359.0,726304,1842593,,725569,1832224,607893,118052,2155856,2839461,683605,683605,75712,,-135086.0,,,1.28,,726304,725945,,346074,,251766,0,1377.0,,,,,,,735,10369
2016-02-26,4,2014,,525914,,,,-167446,1051666,969835,,4608381,81831,810103,4417103,3.81,,286088.0,,,,534,,,,2014年度,,,1803393,6411774,,1766657,6365917,1729810,74117,7185367,9056880,1871513,1871513,141703,191769.0,,,-491.0,3.48,,1803393,1803927,,9748,,810103,62632,,,,,,,,36736,45857
2016-02-26,4,2015,-522.0,10847,,,,592030,216546,173779,,450730,42767,957975,1177499,4.53,,121110.0,,,451252.0,494,,,,2015年度,,,2249398,2700128,,2244612,2689993,2439078,-189186,8359014,11011958,2652944,2652944,213866,,-726247.0,-522.0,,4.06,,2249398,2249892,,489936,,957975,-8169,,,,,0.0,39787.0,-39787.0,4786,10135
