date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,33248,1911,,1.75,10423,86863,2013年01月01日至2013年03月31日,572503,572503,572421,572421,617222,-34296,637198,1448665,811467,811467,194245,,,1.75,107382,572503,582926,,69455,82.0,82.0
2013-08-09,2,2013,,36080,4911,0.0,2.51,206049,134169,2013年04月01日至2013年06月30日,822462,822462,822150,822150,1056400,-27889,888847,2212687,1323840,1323840,267440,,,2.5,133271,822462,1028511,0.0,68880,312.0,312.0
2013-11-07,3,2013,,-31626,14794,0.0,1.01,22523,162074,2013年07月01日至2013年09月30日,330751,330751,330587,330587,439557,-86283,542140,1277788,735648,735648,296091,,,1.01,134017,330751,353274,0.0,69451,164.0,164.0
2014-02-20,4,2013,,85973,28349,2837.0,5.04,245051,391573,2013年01月01日至2013年12月31日,1653751,1656588,1651762,1654599,2057845,-159043,2221955,5138420,2916465,2916465,858620,,2837.0,5.03,467047,1653751,1898802,,273365,1989.0,1989.0
2014-05-08,1,2014,,-2995,3998,,-0.52,4317,51866,2014年01月01日至2014年03月31日,-171949,-171949,-171949,-171949,-102857,-64775,42281,87168,44887,44887,147744,,,-0.52,95878,-171949,-167632,,65778,0.0,0.0
2014-08-07,2,2014,,-34351,20142,,2.33,43716,66273,2014年第2季,764570,764570,764570,764570,883453,-75167,384805,1459092,1074287,1074287,190834,,,2.33,124561,764570,808286,,60958,0.0,0.0
2014-11-12,3,2014,,58355,14502,0.0,1.38,43316,52627,2014年第3季,451173,451173,451173,451173,488047,6442,393252,1044281,651029,651029,162982,,,1.38,110355,451173,494489,0.0,66415,0.0,0.0
2015-03-19,4,2014,,88285,60546,-557.0,5.6,79827,240984,2014年度,1835629,1835072,1835629,1835072,2029012,-113556,1894925,4653847,2758922,2758922,729910,,-557.0,5.59,488926,1835629,1915456,,262387,0.0,0.0
2015-04-29,1,2015,,-4286,4983,,0.05,9295,38967,2015年01月01日至2015年03月31日,15898,15898,15898,15898,86782,-61589,312410,521734,209324,209324,122542,,,0.05,83575,15898,25193,,62286,,
2015-08-10,2,2015,,-8850,5099,,-0.41,43042,12800,2015年第2季,-134607,-134607,-134607,-134607,-28039,-63526,168669,265004,96335,96335,124374,,,-0.41,111574,-134607,-91565,,59775,,
2015-11-04,3,2015,,35632,15337,,-0.22,13002,9569,2015年第3季,-71606,-71606,-71606,-71606,-50282,-8322,71414,113139,41725,41725,92007,,,-0.22,82438,-71606,-58604,,59291,0.0,0.0
2016-03-14,4,2015,-647.0,44038,29930,-647.0,0.28,34520,70726,2015年度,90679,90032,90679,90032,303382,-178183,1033896,1786686,752790,752790,449408,-647.0,,0.28,378682,90679,125199,,252151,0.0,
2016-05-09,1,2016,,17,1078,,1.24,49954,30348,2016年01月01日至2016年03月31日,406574,406574,406574,406574,539104,-82576,1947135,2612625,665490,665490,126386,,,1.24,96038,406574,456528,,83671,,
2016-08-09,2,2016,,-3997,945,,5.32,287467,95203,2016年第2季,1745042,1745042,1745042,1745042,2116940,-84431,7075847,9472530,2396683,2396683,279743,,,5.31,184540,1745042,2032509,,81379,,
2016-11-11,3,2016,,39740,11487,,0.6,47445,20792,2016年第3季,196642,196642,196642,196642,240274,3813,557118,923800,366682,366682,126408,,,0.6,105616,196642,244087,,47414,0.0,0.0
