date,season,year,不動產、廠房及設備減損損失,不動產、廠房及設備減損迴轉利益,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,,561,,,,-1189,5544,5441,11813,103,284,,,11813,0.43,,0.0,42.0,,6670,,114457.0,2013年01月01日至2013年03月31日,,23021,34834,23021,34834,,,25620,4071,195826,356563,160737,160737,135117,,3282.0,,,17378.0,23021,29691,0.0,,,,572.0,,284,,14.0,195826,356563,0.0,0.0
2013-08-09,2,2013,,,,0,,0.0,0.0,-1668,6787,3906,8045,178,272,,,8045,0.34,,0.0,1769.0,,7460,,117591.0,2013年04月01日至2013年06月30日,,18115,26160,18115,26160,,,20728,4847,202327,362146,159819,159819,139091,,3423.0,,,18077.0,18115,25575,2703.0,,,,95.0,,272,196.0,0.0,202327,362146,,
2013-11-07,3,2013,,,,19,,0.0,0.0,707,2441,2368,-3554,73,211,,,-3554,0.55,,0.0,173.0,,6316,,116988.0,2013年07月01日至2013年09月30日,,29160,25606,29160,25606,,,32539,2937,201248,374213,172965,172965,140426,,3514.0,,,19924.0,29160,35476,0.0,,,,5.0,189.0,211,715.0,0.0,201248,374213,,
2014-03-25,4,2013,,,,279,,0.0,0.0,101494,25444,23495,21524,646,1448,,,21524,3.72,,,1840.0,,30730,,488187.0,2013年01月01日至2013年12月31日,,198692,220216,198692,220216,,,103932,125490,839628,1521004,681376,681376,577444,,13693.0,,,75564.0,198692,229422,1303.0,,,101235.0,,518.0,1448,1860.0,0.0,839628,1521004,,
2014-05-09,1,2014,,,,837,,0.0,0.0,-3275,8237,7763,5939,474,5,,,5939,0.4,,423.0,0.0,,5789,,111772.0,2014年01月01日至2014年03月31日,,21476,27415,21476,27415,,,22308,4957,193516,350077,156561,156561,134253,,3453.0,,,19028.0,21476,27265,,,,50.0,0.0,547.0,5,,3458.0,193516,350077,,
2014-08-08,2,2014,,,,-768,,0.0,0.0,-1123,5511,4622,-7900,889,10,,,-7900,0.47,,,1357.0,,9001,,124434.0,2014年第2季,,25239,17339,25239,17339,,,29862,4378,194620,370020,175400,175400,145538,,3211.0,,,17893.0,25239,34240,0.0,,,,208.0,44.0,10,0.0,370.0,194620,370020,,
2014-10-31,3,2014,,,,39,,0.0,0.0,764,3908,3063,7884,845,140,,,7884,0.58,,,872.0,,7092,,128015.0,2014年第3季,,31131,39015,31131,39015,,,33691,4532,205724,385275,179551,179551,145860,,2916.0,,,14929.0,31131,38223,0.0,,,,69.0,210.0,140,0.0,-1534.0,205724,385275,,
2015-03-13,4,2014,,,,2267,,0.0,0.0,-3803,27603,24813,24066,2790,316,,,24066,2.14,,,286.0,,31191,,508826.0,2014年度,,119203,143269,114703,138769,,,126910,23484,861747,1595878,734131,734131,607221,,12899.0,,,85496.0,119203,150394,0.0,,,0.0,265.0,943.0,316,0.0,1928.0,861747,1595878,4500.0,4500.0
2015-04-27,1,2015,,,0.0,0,,,,-696,4433,4022,-3282,411,313,,,-3282,0.55,,0.0,648.0,-3282.0,9462,,130932.0,2015年01月01日至2015年03月31日,,35182,31900,29203,25921,,,41220,3424,259221,465529,206308,206308,165088,,2680.0,0.0,,31476.0,35182,44644,,,,0.0,156.0,163.0,313,,55.0,259221,465529,5979.0,5979.0
2015-07-31,2,2015,,,0.0,44,,,,-167,7084,6599,-5545,485,251,,,-5545,0.54,,,879.0,-5545.0,16450,,,2015年第2季,,29708,24163,29124,23552,,,39492,6666,245789,454795,209006,209006,169514,,,0.0,,,29708,46158,,,,532.0,0.0,227.0,251,,3.0,245789,454795,584.0,611.0
