date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,12907,55798,27705,6520.0,65004,52097,-0.07,-0.07,,6871,,-26954,,96589,2013年01月01日至2013年03月31日,-46708,18296,-43950,17900,-86529,46692,1057417,1751874,694457,694457,787506,561196,,,-0.07,-0.07,129721,-46708,-39837,9857,-2758,396
2013-08-14,2,2013,,,26037,64859,15871,,76779,50742,0.15,0.15,,-2275,,55471,,137839,2013年04月01日至2013年06月30日,151027,227806,90283,153706,22528,126224,1425413,2364620,939207,939207,916679,632678,,,0.15,0.15,146162,151027,148752,9977,60744,74100
2013-11-13,3,2013,,,-65453,-14676,52107,,-70330,-4877,0.06,0.06,,18327,,19219,,133694,2013年07月01日至2013年09月30日,74347,4017,37555,-34565,45180,47494,1387141,2314326,927185,927185,882005,601399,,,0.06,0.06,146912,74347,92674,9156,36792,38582
2014-03-24,4,2013,,,-14704,89607,108012,,162015,129434,0.09,0.09,,37197,9505.0,19901,,486706,2013年01月01日至2013年12月31日,128547,290562,52785,195179,-14260,180004,5123400,8521868,3398468,3398468,3412728,2365046,,37780.0,0.09,0.09,560976,128547,165744,37516,75762,95383
2014-05-14,1,2014,,,246736,58927,16384,-5.0,230362,-16374,0.01,0.01,,5410,,37998,,95705,2014年01月01日至2014年03月31日,390,230752,8460,239345,-100009,105809,1038971,1706542,667571,667571,767575,542991,,,0.01,0.01,128879,390,5800,7500,-8070,-8593
2014-08-13,2,2014,,,-150987,83541,22206,-7.0,-199965,-48978,0.34,0.34,,15464,,14702,,109449,2014年第2季,252695,52730,200339,4476,157543,110616,1394133,2405533,1011400,1011400,853850,598738,,,0.34,0.34,145663,252695,268159,9833,52356,48254
2014-11-14,3,2014,,,-81477,78549,49970,-28.0,-3176,78301,0.28,0.28,,18663,,-15792,,108943,2014年第3季,206977,203801,163073,154146,121732,103908,1405145,2398553,993408,993408,871648,610745,,,0.28,0.28,151960,206977,225640,8819,43904,49655
2015-03-23,4,2014,,,7497,277909,130951,-234.0,125036,102578,0.72,0.72,,56614,6112.0,16659,,418855,2014年度,553950,678986,422681,536639,219870,390694,5164262,8709939,3545677,3545677,3325573,2331300,,8849.0,0.72,0.72,575418,553950,610564,34825,131269,142347
2015-05-14,1,2015,1606.0,-27845.0,8040,707049,15353,1.0,-17121,-26170,0.95,0.95,-18727.0,8455,,-289,-597.0,86544,2015年01月01日至2015年03月31日,578150,561029,558049,543848,-99771,714221,1100106,1863803,763697,763697,863469,624164,1606.0,,1.0,1.0,152761,605995,614450,7892,20101,17181
2015-08-12,2,2015,0.0,0.0,-127620,-19237,19429,-860.0,-161519,-37093,0.16,0.16,-161519.0,25613,,-6036,3194.0,99819,2015年第2季,161428,-91,93530,-65013,201183,-14142,1385479,2312432,926953,926953,724910,461381,0.0,,0.16,0.16,163710,161428,187041,8298,67898,64922
2015-11-11,3,2015,0.0,0.0,-114826,-513714,39690,177.0,-7414,109743,-0.51,-0.51,-7414.0,24827,,17352,-2331.0,91810,2015年第3季,-212045,-219459,-298415,-316053,279513,-466731,1331619,2236883,905264,905264,625928,381925,0.0,,-0.51,-0.51,152193,-212045,-187218,10059,86370,96594
2016-03-23,4,2015,-3686.0,-27845.0,53414,28812,125905,-877.0,18282,-26801,1.0,1.05,21968.0,81882,,254379,-4645.0,375719,2015年度,828280,846562,589348,609203,566540,371467,4943208,8465833,3522625,3522625,2955208,1934765,-3686.0,,1.0,1.05,644724,856125,938007,37629,238932,237359
2016-05-11,1,2016,0.0,0.0,-154118,-41158,12210,-462.0,-169824,-15733,0.0,0.0,-169824.0,14521,,14192,27.0,78813,2016年01月01日至2016年03月31日,36388,-133436,2331,-165914,75695,-24786,1024800,1802171,777371,777371,701214,461980,0.0,,0.0,0.0,160421,36388,50909,10030,34057,32478
2016-08-10,2,2016,0.0,0.0,-90611,9187,25382,-19.0,-148593,-53682,0.04,0.04,-148593.0,36861,,12145,-4300.0,105093,2016年第2季,90419,-58174,23345,-119472,88812,38468,1178291,2083739,905448,905448,816617,507901,0.0,,0.04,0.04,203623,90419,127280,8246,67074,61298
2016-11-14,3,2016,0.0,0.0,311314,38187,42845,-8.0,233818,-72727,0.07,0.07,233818.0,22060,,8571,-4769.0,95421,2016年第3季,57264,291082,41122,274353,716,78608,1117960,1876789,758829,758829,758105,505973,0.0,,0.07,0.07,156711,57264,79324,10995,16142,16729
