date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,6792,28311,5491,,9538.0,0.0,28287,21495,0.15,,,8300,,99868,2013年01月01日至2013年03月31日,21604,49891,22394,50681,2145,27759,527894,686061,158167,158167,156022,17614,,,0.15,,38540,21604,29904,,0.0,6043,,1395.0,687660.0,676523.0,9742.0,-790,-790
2013-08-13,2,2013,,,-415,15552,4051,,9373.0,0.0,11556,11971,0.36,,,8815,,182642,2013年04月01日至2013年06月30日,53899,65455,52766,64322,49075,13639,873839,1172990,299151,299151,250076,17410,,,0.36,,50024,53899,62714,,0.0,5964,,1453.0,1187646.0,1163617.0,22576.0,1133,1133
2013-11-12,3,2013,,,-11435,-14510,9053,,18081.0,0.0,-19004,-7569,0.04,,,2601,,92904,2013年07月01日至2013年09月30日,6331,-12673,6270,-12734,21338,-12406,454557,635902,181345,181345,160007,26689,,,0.04,,40414,6331,8932,,0.0,6949,,1049.0,634657.0,617821.0,15787.0,61,61
2014-03-25,4,2013,,,-6762,51238,34859,,,,33226,38535,0.73,,,19835,,494127,2013年01月01日至2013年12月31日,106221,139447,107816,141117,66357,59699,2384041,3164908,780867,780867,714510,73011,,1803.0,0.73,,147372,106221,126056,,350.0,26398,,,,,,-1595,-1670
2014-05-12,1,2014,,,5444,3295,7375,,,,4101,-1343,0.18,,,5018,,121504,2014年01月01日至2014年03月31日,26006,30107,26979,31080,28802,2222,587422,800980,213558,213558,184756,17891,,,0.18,,45361,26006,31024,,,8448,,,800980.0,800980.0,,-973,-973
2014-08-13,2,2014,,0.0,1443,-24214,7932,0.0,,,-11328,-12771,0.05,,,-54,,143878,2014年第2季,7088,-4240,7343,-3985,31761,-24727,684448,937906,253458,253458,221697,19781,,,0.05,,58038,7088,7034,,0.0,8445,,,,,,-255,-255
2014-11-07,3,2014,,,-141,29551,1590,,,0.0,15272,15413,-0.21,,,7653,,116574,2014年第3季,-31008,-15736,-30434,-15162,-45860,22505,614867,757476,142609,142609,188469,29010,,,-0.21,,42885,-31008,-23355,,0.0,8636,,,757476.0,757476.0,,-574,-574
2015-03-26,4,2014,,,6669,39554,67450,,,,29455,16177,0.12,,,26367,,531475,2014年度,16052,45507,17442,46897,-31118,73537,2499581,3268623,769042,769042,800160,90964,,7983.0,0.12,,177721,16052,42419,,1374.0,33467,,,,,,-1390,-1390
2015-05-08,1,2015,,,365,-25493,7313,,,,-22691,-23056,0.0,0.0,-22691.0,-11,,148014,2015年01月01日至2015年03月31日,50,-22641,467,-22254,25295,-25256,542872,782680,239808,239808,214513,19066,,,0.0,0.0,47433,50,39,,,7076,542872.0,,,782680.0,,-417,-387
2015-08-13,2,2015,,,-1192,-7475,16322,,,,-8446,-7254,0.05,0.05,-8446.0,2136,,197831,2015年第2季,7964,-482,8218,-43,6861,3239,659836,922506,262670,262670,255809,18942,,,0.05,0.05,39036,7964,10100,,,5608,659836.0,,,922506.0,,-254,-439
2015-11-10,3,2015,,,-1362,27695,5439,,,,35879,37241,0.01,0.01,35879.0,1737,,178632,2015年第3季,549,36428,829,36205,-25679,27965,478131,688200,210069,210069,235748,19992,,,0.01,0.01,37124,549,2286,,,5169,478131.0,,,688200.0,,-280,223
2016-03-28,4,2015,-10380.0,,-1704,7159,40085,,,,-51440,-39356,-0.24,-0.24,-41060.0,-1048,,591618,2015年度,-42090,-93530,-41201,-92541,-66943,23805,2229556,3136687,907131,907131,974074,76010,-12337.0,,-0.24,-0.24,306446,-42090,-43138,-1957.0,,23439,2229556.0,,,3136687.0,,-889,-989
2016-05-10,1,2016,,,49,-16014,23453,,,,2149,2100,0.15,0.15,2149.0,-1448,,103157,2016年01月01日至2016年03月31日,25299,27448,25803,28010,22209,1642,520815,787190,266375,266375,244166,18180,,,0.15,0.15,122829,25299,23851,,,5797,520815.0,,,787190.0,,-504,-562
2016-08-15,2,2016,,,817,-113,6680,,,,-4280,-5097,0.15,0.15,-4280.0,7198,5552.0,143771,2016年第2季,26229,21949,26485,22744,28349,5078,682382,983886,301504,301504,273155,17825,,,0.15,0.15,111559,26229,33427,,,7041,682382.0,,,983886.0,,-256,-795
2016-11-11,3,2016,,,599,-33131,4512,,,,-29936,-30535,0.05,0.05,-29936.0,-1576,0.0,156611,2016年第3季,8693,-21243,8883,-20678,43027,-35910,685694,1038115,352421,352421,309394,20671,,,0.05,0.05,132112,8693,7117,,,7291,685694.0,,,1038115.0,,-190,-565
