date,season,year,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,531,-1600,3260,794,-2,43140,2352,,43140,0.18,,,1069.0,,2968,2185,6260,2013年01月01日至2013年03月31日,8655,51795,8655,51795,7778,3845,274575,335212,60637,60637,52857,10500,114,0.18,,36097,8655,11623,,,,,,,,,
2013-07-30,2,2013,226,-5105,3712,206,78,27108,2995,,27108,0.14,,0.0,4879.0,,2366,-1051,6106,2013年04月01日至2013年06月30日,7554,34662,7554,34662,12364,-2444,286520,345671,59151,59151,46865,11062,511,0.14,,29697,7554,9920,,,,,,,,,
2013-11-12,3,2013,110,-5024,4622,322,-118,-14551,4078,28.0,-14551,0.42,0.42,,4914.0,,6373,-466,5471,2013年07月01日至2013年09月30日,21794,7243,22835,8290,29063,-896,342103,430200,88097,88097,58916,12754,222,0.42,0.42,40691,21794,28167,,,,28.0,,,,-1041.0,-1047.0
2014-03-24,4,2013,997,-13548,16352,1506,-850,83276,13627,302.0,83276,1.01,1.01,,12551.0,,19490,1191,25363,2013年01月01日至2013年12月31日,52718,135994,54736,137846,68515,3693,1271729,1549663,277934,277934,208569,46359,1219,1.0,1.0,136847,52718,72208,,,,302.0,,,,-2018.0,-1852.0
2014-04-30,1,2014,269,6008,6249,320,-185,18328,5557,185.0,18328,0.51,,1720.0,0.0,,10616,1038,6864,2014年01月01日至2014年03月31日,26802,45130,27882,46111,24308,13110,339939,420697,80758,80758,56265,10966,372,0.51,,38435,26802,37418,,,,185.0,4557.0,,,-1080.0,-981.0
2014-07-31,2,2014,120,12141,6281,795,-141,-30518,5114,176.0,-30518,1.1,,279.0,0.0,,24062,1550,8147,2014年第2季,58771,28253,59719,29406,63037,19796,377435,499362,121927,121927,58749,11139,372,1.09,,39463,58771,82833,,6015.0,,176.0,5967.0,,,-948.0,-1153.0
2014-11-06,3,2014,114,1746,5759,187,-10,29893,4834,163.0,29893,1.45,,2541.0,0.0,,36629,1927,9101,2014年第3季,77304,107197,78554,108235,104664,9269,387866,554940,167074,167074,62400,11439,372,1.44,,41860,77304,113933,366.0,0.0,,163.0,-681.0,,,-1250.0,-1038.0
2015-03-12,4,2014,650,27662,23351,1805,-594,90702,19692,695.0,90702,4.28,4.28,11613.0,0.0,,101097,5071,34410,2014年度,228586,319288,232645,322739,274294,55389,1454549,1978734,524185,524185,249297,44657,1488,4.25,4.25,170230,228586,329683,366.0,14513.0,,695.0,2186.0,,,-4059.0,-3451.0
2015-05-12,1,2015,51,4388,6948,548,56,-27791,6028,248.0,-27791,0.84,,4133.0,,-27791.0,23839,481,9705,2015年01月01日至2015年03月31日,44828,17037,45651,18035,57098,11569,324612,446781,122169,122169,65127,12086,372,0.83,,43336,44828,68667,,2179.0,,248.0,-1873.0,,,-823.0,-998.0
2015-07-30,2,2015,75,-438,6954,383,-1432,-10870,6198,423.0,-10870,1.06,,0.0,89.0,-10870.0,3322,263,10706,2015年第2季,57384,46514,57839,47073,54350,6356,315855,436344,120489,120489,64707,13252,373,1.04,,40749,57384,60706,,0.0,10.0,423.0,-264.0,,,-455.0,-559.0
2015-11-05,3,2015,404,35118,7748,287,-7,40133,6993,1238.0,40133,1.26,,35486.0,,40133.0,33956,1432,11822,2015年第3季,64454,104587,68398,108254,55350,43060,383838,502123,118285,118285,62928,13702,373,1.19,,37404,64454,98410,95.0,-97.0,,1238.0,133.0,383838.0,502123.0,-3944.0,-3667.0
2016-03-09,4,2015,582,52726,28823,2064,-5426,-38951,25143,2987.0,-38951,4.3,,51319.0,,-38951.0,94671,4158,46133,2015年度,227929,188978,233621,194898,239880,82720,1463326,1987118,523792,523792,278486,52954,1491,,,179399,227929,322600,125.0,3077.0,,2987.0,-1088.0,1463326.0,1987118.0,-5692.0,-5920.0
2016-04-28,1,2016,370,-9070,6635,966,-36,-25374,5296,1160.0,-25374,0.08,0.08,0.0,10217.0,-25374.0,6999,785,8596,2016年01月01日至2016年03月31日,4313,-21061,4313,-21061,14122,-2810,244168,314415,70247,70247,56089,12118,373,0.08,0.08,35375,4313,11312,,1487.0,,1160.0,30.0,244168.0,314415.0,0.0,0.0
2016-07-28,2,2016,159,11922,7168,1909,15,-29561,4689,1182.0,-29561,0.26,0.26,11820.0,0.0,-29561.0,4187,345,12131,2016年第2季,14261,-15300,14261,-15300,195,18253,313059,370880,57821,57821,57641,13521,570,0.26,0.26,31989,14261,18448,,86.0,0.0,1182.0,175.0,313059.0,370880.0,0.0,0.0
2016-11-03,3,2016,1418,-10381,5223,231,240,-54130,4208,1140.0,-54130,0.47,0.47,0.0,8291.0,-54130.0,15130,1144,9867,2016年第3季,25645,-28485,25645,-28485,45929,-5154,386812,493075,106263,106263,60574,12916,609,0.45,0.45,37791,25645,40775,175.0,-55.0,,1140.0,-617.0,386812.0,493075.0,0.0,0.0
