date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備損失,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-10-07,4,2013,,,,,,,9059,7661,125164,1398,14214,125164,11.06,11.06,,,,207720,355850,2013年01月01日至2013年12月31日,608069,733233,608069,733233,820944,-5155,2078844,3358500,1279656,1279656,458712,9414,,,93448,608069,815789,,14214,,,,
2015-01-29,4,2014,,,,,,,11195,7864,106657,3331,7005,106657,13.92,13.92,,,,277798,388658,2014年度,765645,872302,765645,872302,1039253,4190,2332545,3943551,1611006,1611006,571753,18257,,,164838,765645,1043443,,7005,,,,
2015-05-13,1,2015,-56576,-56576,,0,0,-746,6563,2017,-56576,4546,0,,3.66,3.66,,746,,72455,93059,2015年01月01日至2015年03月31日,204511,147935,204511,147935,271149,5817,587344,989441,402097,402097,130948,2702,,,35187,204511,276966,,0,587344,989441,,
2015-08-13,2,2015,-69308,-69308,,0,0,5752,9057,1971,-69308,7086,0,,3.50,3.50,9293,,,74929,107072,2015年第2季,224972,155664,224972,155664,285092,14809,633191,1068914,435723,435723,150631,5209,3.50,3.50,38350,224972,299901,3541,0,633191,1068914,,
2015-11-10,3,2015,195176,195176,,0,0,26000,9671,2029,195176,7642,0,,4.03,4.03,26000,,,84233,113834,2015年第3季,257309,452485,257309,452485,305871,35671,663172,1123723,460551,460551,154680,1230,4.03,4.03,39616,257309,341542,0,0,663172,1123723,,
2016-02-24,4,2015,-113188,-113188,,0,0,23854,35071,8046,-113188,27025,0,,16.54,16.54,27986,,,183347,448574,2015年度,1030283,917095,1030283,917095,1154705,58925,2628689,4410116,1781427,1781427,626722,10921,16.52,16.52,167227,1030283,1213630,4132,0,2628689,4410116,,
2016-05-06,1,2016,-28365,-28365,,,,38,11509,2018,-28365,9491,,,3.42,3.42,38,,,41952,97339,2016年01月01日至2016年03月31日,222497,194132,222497,194132,252902,11547,608581,1001287,392706,392706,139804,1412,,,41053,222497,264449,,,608581,1001287,,
2016-08-10,2,2016,-139763,-139763,,,,-8168,6605,1965,-139763,4640,,,3.34,3.34,-8168,,,44509,120308,2016年第2季,217051,77288,217074,77311,263123,-1563,674012,1111801,437789,437789,174666,1370,,,52988,217051,261560,0,,674012,1111801,-23,-23
2016-11-11,3,2016,-162466,-162466,32,,,-16193,7084,1876,-162468,5208,3232,-2,3.34,3.34,-16161,,-2,44892,111552,2016年第3季,215901,53433,216835,54324,273134,-12341,644305,1080203,435898,435898,162764,2522,3.34,3.34,48690,215901,260793,0,3232,644305,1080203,-934,-891
