date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,158612,-919,35515,197182,38570,-0.11,1180,,-836,,123024,,131435,2013年01月01日至2013年03月31日,0.0,-257670,-60488,-246283,-49101,-415600,157094,9204859,9074551,-130308,-129128,286472,70661,,,-0.11,84376,-257670,-258506,526,-11387,-11387
2013-08-13,2,2013,,-107303,-114643,41393,-97589,9714,-0.26,0,,28915,,48554,,127351,2013年04月01日至2013年06月30日,0.0,-615515,-713104,-613696,-711183,-561052,-25548,8196311,7924316,-271995,-271995,289057,60762,,,-0.26,100944,-615515,-586600,852,-1819,-1921
2013-11-13,3,2013,,82757,-6838,46052,52318,-30439,-0.13,0,,12364,,109357,,160590,2013年07月01日至2013年09月30日,518.0,-311655,-259337,-307580,-255696,-443868,144577,9505948,9385650,-120298,-120816,323052,46100,,,-0.13,116362,-311655,-299291,3994,-4075,-3641
2014-03-26,4,2013,,177763,-109514,167199,103050,46511,-0.62,1180,,74594,-59637.0,367613,,636717,2013年01月01日至2013年12月31日,474.0,-1460574,-1357524,-1429922,-1327610,-1797017,411037,35871077,35338541,-532536,-531830,1265187,227201,,-61587.0,-0.62,401269,-1460574,-1385980,14261,-30652,-29914
2014-05-13,1,2014,,-65255,-190739,28834,-45642,-5334,-0.09,474,,16892,24947.0,145338,,141513,2014年01月01日至2014年03月31日,,-210898,-256540,-209913,-255413,-160306,-33700,9004890,9122934,118044,118518,278824,38712,,,-0.09,98599,-210898,-194006,17133,-985,-1127
2014-08-13,2,2014,,-1694,-47589,42010,-44194,-18163,-0.22,0,,7372,-24337.0,132101,,141847,2014年第2季,,-501824,-546018,-500736,-545497,-602271,107819,8331120,8028084,-303036,-303036,299235,47025,,,-0.22,110363,-501824,-494452,18703,-1088,-521
2014-11-13,3,2014,,-61476,44779,80160,-11061,28875,-0.11,0,,23365,21540.0,140541,,143888,2014年第3季,0.0,-268971,-280032,-268243,-279357,-490443,244837,8919633,8732452,-187181,-187181,303262,42037,,,-0.11,117337,-268971,-245606,20643,-728,-675
2015-03-27,4,2014,,11774,1841513,207653,25641,112327,0.13,474,,58059,-39809.0,561268,,588044,2014年度,931.0,294532,320173,304449,329224,-2174632,2527223,34012188,33249482,-762706,-763163,1411469,196090,,-58651.0,0.13,627335,294532,352591,83211,-9917,-9051
2015-05-13,1,2015,,-1948,81410,93790,-35782,-33736,0.08,931,-35782.0,10000,,208802,-98.0,154545,2015年第1季,546.0,182950,147168,183688,147334,-139755,332705,7228836,7398603,169767,170152,309907,38684,,,0.03,116678,182950,192950,51297,-738,-166
2015-08-13,2,2015,,103417,213175,59110,47284,-55979,0.15,0,47284.0,8149,,186044,-154.0,136202,2015年第2季,-7.0,348107,395391,353820,401090,-56904,413160,7403907,7652831,248924,248931,305835,47298,,,0.04,122335,348107,356256,45169,-5713,-5699
2015-11-13,3,2015,,-175187,-118395,176418,15703,191019,-0.17,0,15703.0,14783,,218805,-129.0,149338,2015年第3季,-18.0,-388971,-373268,-386616,-369546,-605854,231666,6703758,6428940,-274818,-274800,331054,52086,,,-0.17,129630,-388971,-374188,45162,-2355,-3722
2016-03-29,4,2015,-15705.0,-208563,948711,411153,-264007,-19570,0.04,931,-248302.0,59461,,764950,-20169.0,618840,2015年度,682.0,82770,-181237,95531,-167715,-1793801,1936032,26598992,26155995,-442997,-442748,1351053,216793,-15705.0,,-0.08,515420,82770,142231,188782,-12761,-13522
2016-05-12,1,2016,,-67239,-58830,56840,-88494,-21490,-0.31,682,-88494.0,10403,,99698,235.0,130661,2016年01月01日至2016年03月31日,567.0,-721949,-810443,-719538,-808722,-758027,46481,5766122,5310386,-455736,-455621,302406,46024,,,-0.31,125721,-721949,-711546,51227,-2411,-1721
2016-08-12,2,2016,,-175484,-284047,78701,-243156,-67663,-0.3,0,-243156.0,16491,,170016,-9.0,116569,2016年第2季,-124.0,-699393,-942549,-697741,-940206,-591084,-91818,6468993,6171458,-297535,-297411,293673,50077,,,-0.3,127027,-699393,-682902,56488,-1652,-2343
2016-11-11,3,2016,,44323,-128040,74015,-69282,-113828,-0.01,0,-69282.0,12769,,176093,223.0,150600,2016年第3季,58.0,-11978,-81260,-9576,-78444,-63345,64136,7355780,7603194,247414,247356,310701,48209,,,-0.03,111892,-11978,791,57932,-2402,-2816
