date,season,year,不重分類至損益之項目總額(稅後),代理手續費收入,以成本衡量之金融資產利益,以成本衡量之金融資產損失,以成本衡量之金融資產淨損益,佣金支出,保管手續費,保證手續費收入,保證責任準備提存,信用卡循環利息收入,信用卡手續費收入,信託手續費,信託業務收入,信託附屬業務手續費收入,備供出售金融資產之已實現利益合計,備供出售金融資產之已實現損失合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,備供出售金融資產股利收入,備供出售金融資產處分利益,備供出售金融資產處分損失,兌換利益,兌換利益合計,兌換損失,兌換損失合計,兌換損益,其他什項損益,其他什項支出,其他什項收入,其他利息以外損失,其他利息以外收益,其他利息以外淨損益,其他利息收入,其他利息費用,其他應收款呆帳費用,其他應收款呆帳費用調整,其他手續費收入,其他手續費費用,其他業務及管理費用,其他業務及管理費用合計,其他綜合損益（稅後）淨額,出售不良債權收入,出售不良債權淨損益,出售承受擔保品利益,出售承受擔保品淨損益,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,匯費支出,匯費收入,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,員工訓練費用,國內信用狀手續費收入,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,央行及同業存款利息費用,央行及同業融資利息費用,存放及拆放同業利息收入（銀行存款利息收入）,存款利息費用,後續可能重分類至損益之項目總額(稅後),應收信用卡帳款呆帳費用,應收信用卡帳款呆帳費用調整,應收承兌票款呆帳費用,應收承購帳款利息收入,應收承購帳款呆帳費用,應收承購帳款呆帳費用調整,所得稅（費用）利益,手續費收入合計,手續費淨收益,手續費費用合計,承兌手續費收入,承購帳款手續費收入,投資性不動產利益,投資性不動產損失,投資性不動產損益,投資有價證券利息收入（持有票債券利息收入）,折舊及攤銷費用合計,折舊費用,攤銷費用,收益,放款呆帳費用,放款呆帳費用調整,放款手續費收入,放款手續費收入(企金),會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（損）歸屬於非控制權益,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於母公司業主,本期稅後綜合損益總額歸屬於非控制權益,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,歸因於所規避風險之被避險項目之利益－公允價值避險,歸因於所規避風險之被避險項目之損失－公允價值避險,歸因於所規避風險之被避險項目之淨損益－公允價值避險,淨收益,災害損失,災害損失合計,無活絡市場之債務商品投資損失,無活絡市場之債務商品淨投資損益,無活絡市場之債務工具投資損失,無活絡市場之債務工具淨投資損益合計,營業費用合計,營業資產出租淨損益,營業資產出租費用,營業資產租金收入,現金運送費,發行債券利息費用,短期員工福利,研究發展費用,確定福利計畫之再衡量數,確定福利計畫精算損益,租賃收入,租賃收入合計,租金,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,結構型商品利息費用,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,證券承銷收入,證券承銷收入淨額,證券承銷費用,證券經紀收入,證券經紀收入淨額,證券經紀費用,證券自營費用,證券自營費用合計,財產交易利益,財產交易淨損益,買入匯款利息收入,費損,貼現及放款利息收入,資產報廢損失,資產報廢損失合計,資產減損損失合計,資產減損（損失）迴轉利益淨額,跨行手續費,跨行手續費收入,退職後福利,透過損益按公允價值衡量之金融負債利息費用,透過損益按公允價值衡量之金融負債處分利益,透過損益按公允價值衡量之金融負債處分損失,透過損益按公允價值衡量之金融負債評價利益,透過損益按公允價值衡量之金融負債評價損失,透過損益按公允價值衡量之金融資產利息收入,透過損益按公允價值衡量之金融資產及負債利益合計,透過損益按公允價值衡量之金融資產及負債損失合計,透過損益按公允價值衡量之金融資產及負債損益,透過損益按公允價值衡量之金融資產股利收入,透過損益按公允價值衡量之金融資產處分利益,透過損益按公允價值衡量之金融資產處分損失,透過損益按公允價值衡量之金融資產評價利益,透過損益按公允價值衡量之金融資產評價損失,進出口業務手續費收入,避險工具之利益－公允價值避險,避險工具之損失－公允價值避險,避險工具之淨損益－公允價值避險,附買回票債券負債利息費用,附賣回票債券投資利息收入,顧問服務收入,顧問服務收入合計
2013-05-14,1,2013,,8988,,,,34,,39750,21261,6548,48194,36377,239108,74845,122351,73251,49100,-246759,190.0,122161,73251,165461,165461,0.0,0.0,165461,50875,250,51125,5368,71404,66036,1405,837,24271,-857,427383,75873,641947,839353,-76563.0,,,,,1547351,6578752,4108099,2470653,2915,132875,-474157,2291842,970,3353,192425,0.32,0.32,169068,394,173698,2071891,,6097,-3222,-10222,14757,-36123,,-474951,1153555,1008784,144771,708,2006,,,,616066,174242,166436,7806,11539698,223989,-699351,72053.0,,2013年01月01日至2013年03月31日,,,2349219,0.0,2349219,2272656,0.0,2769836,,,-10572,10572,5655450,,,3.0,-3.0,,,3305437,-6253,14072,7819,9489,215317,2046679,490,,,,,186423,0.32,0.32,3761,2272656.0,2349219,2824170,,-22229.0,,-474951,-497180,,,,11461,10888,573,88,-88,3,3,35,8715528,5766232,169.0,-169.0,,,29606,34773,245163,1901,335480,1277669,69017,1630688,64438,3448175,3190205,257970,,1548192,224629,1431048,55318,69519,996,785.0,211,9385,11.0,,
2013-08-28,2,2013,,9758,137427.0,,137427.0,36,,37967,-23285,6204,34575,35240,242998,77729,240285,30630,209655,-279983,2747.0,237538,30630,252043,252043,,,252043,12449,36,12485,-3863,209078,212941,1071,15807,1537,-242,497258,86205,686507,887699,-223090.0,0.0,0.0,,,2001837,6789136,4296411,2492725,3148,134294,52360,2353383,6919,3299,60324,0.31,0.31,166581,377,264328,2081661,,3468,-2419,5665,9315,36976,,-460583,1225271,1071307,153964,658,2472,39732.0,,39732.0,614107,168989,161464,7525,11421098,956223,-925563,77734.0,,2013年04月01日至2013年06月30日,,,2375234,,2375234,2152144,,2616158,,,-11622,11622,6298248,,,2.0,-2.0,,,3410071,1193,6874,8067,8479,215317,2100983,1994,,,,,183764,0.31,0.31,3390,2152144.0,2375234,2835817,,-3431.0,,-460583,-464014,,,,11856,11146,710,95,-95,0,0,40,8585281,5894071,42.0,-42.0,,,29371,34211,252400,1922,593914,1379701,-19479,726330,87367,2705285,2449394,255891,,1219488,345196,823995,-3755,72318,-489,0.0,-489,9592,0.0,,
2013-11-12,3,2013,,9592,147989.0,,147989.0,148,,38324,-5943,7354,37818,29259,179227,69373,60740,19831,40909,-350668,49707.0,11033,19831,117948,117948,,,117948,6555,0,6555,13155,223867,210712,1079,714,12464,-175,467618,87479,675358,878878,-405465.0,0.0,0.0,4260.0,4260.0,1641108,6977760,4391610,2586150,3320,134869,-226780,2348642,5671,3327,-65965,0.3,0.3,184345,295,330859,2133397,,4254,-2864,-4912,14696,3909,,-542401,1133071,981973,151098,475,2704,39774.0,11699.0,28075.0,603554,164228,156752,7476,11260945,726384,-959897,84699.0,,2013年07月01日至2013年09月30日,,2867750.0,2325349,,2325349,1919884,,2451117,,,-11777,11777,6032718,,,2.0,-2.0,,,3391748,-1258,10168,8910,7933,255677,2117329,504,,,,,189264,0.3,0.3,2690,1919884.0,2325349,2867750,,11168.0,,-542401,-531233,,,,14322,13631,691,28,-28,502,502,45,8393195,6020173,10.0,-10.0,,,31040,34546,231313,1996,456604,927748,294042,926770,104992,2747559,2457993,289566,0.0,941186,256481,950735,344998,70499,1555,2334.0,-779,9032,0.0,,
2014-03-06,4,2013,,37071,285916.0,,285916.0,315,,158654,-6975,27768,180061,134940,869401,290808,423846,177550,246296,-665256,52644.0,371202,177550,739433,739433,,,739433,40014,594,40608,32443,579448,547005,4611,2981,41186,-12379,1903108,350014,2741502,3553156,-586318.0,0.0,0.0,4260.0,4260.0,6742781,27321411,17080428,10240983,12764,542953,-637773,9491859,16303,13391,282193,1.14,1.14,741525,1247,1275898,8490451,,18433,-11002,-2638,61076,6665,,-1929471,4764120,4145468,618652,2370,11178,159005.0,18648.0,140357.0,2449852,668247,637911,30336,45718181,2263743,-2934806,325704.0,,2013年01月01日至2013年12月31日,,10747720.0,8818249,,8818249,8231931,,10161968,,,-42119,42119,23823209,,,9.0,-9.0,,,13713262,-16512,48937,32425,35117,957009,8619517,5994,,-202689.0,,,753925,1.13,1.13,11316,8231931.0,8818249,10747720,,-566.0,,-1929471,-1930037,0.0,0.0,,51799,49034,2765,255,-255,514,514,172,34970461,23502023,235.0,-235.0,0.0,0.0,120934,138714,872342,7849,2059348,4834027,500774,4176017,369655,11889923,10825344,1064579,0.0,4862413,1188997,4097733,618454,290707,4921,3119.0,1802,36454,11.0,,
2014-05-09,1,2014,,8769,,,,181,,40732,139866,7864,41439,32219,233965,65071,7328,0,7328,88437,0.0,7328,0,459064,459064,,,459064,7785,4269,12054,8641,76128,67487,1170,588,-2111,-2619,466019,93720,653925,858326,170785.0,,,,,1704171,7570714,4516230,3054484,3010,134631,-869272,2406171,1061,3321,81838,0.4,0.4,384229,96,983222,2407175,,3864,-2712,-4007,23744,-55143,,-550555,1212782,1052751,160031,792,3248,,,,569327,174274,150971,23303,13409062,-208838,-737572,106582.0,,2014年01月01日至2014年03月31日,,3650902.0,3100347,,3100347,3271132,,3821177,,,-11062,11062,6220401,,,1.0,-1.0,,,3438771,-4700,12296,7596,9439,249812,2177012,465,,,41957.0,41957.0,193255,0.4,0.4,4119,3271132.0,3100347,3650902,,510.0,,-550555,-550045,,,,14510,13746,764,70,-70,4,4,89,9758160,5985298,2303.0,-2303.0,,,31082,34986,229159,2044,404277,1264691,88705,2422912,99899,4083046,3965505,117541,,1194076,263401,2296089,12457,73227,7,0.0,7,8465,0.0,,
2014-08-14,2,2014,,8860,23185.0,9425.0,13760.0,210,,43168,-3441,9166,41461,32874,247137,68963,17457,16356,1101,143695,2047.0,15410,16356,23255,23255,,,23255,19178,4204,23382,40121,156395,116274,1646,523,4300,-348,637866,110506,688731,906358,-128951.0,,,1111.0,1111.0,1731564,7974976,4749573,3225403,3554,135144,-640764,2566066,6744,3389,-273500,0.36,0.36,430091,65,1130063,2492735,,7000,-3025,-8932,21789,-1498,,-599416,1382770,1204569,178201,687,3502,,,,599494,182185,150325,31860,10867969,291913,-926733,77820.0,,2014年第2季,,3467292.0,2867876,,2867876,2738925,,3337487,,34629.0,11061,23568,6481137,,,2.0,-2.0,,,3654609,-3795,11945,8150,8328,286971,2230132,2098,,,44603.0,44603.0,200247,0.36,0.36,8041,2738925.0,2867876,3467292,,854.0,,-599416,-598562,,,,19634,18506,1128,50,-50,1384,1384,45,7400677,6212773,14.0,-14.0,,,31267,34083,335934,2041,265545,855207,-25858,-154521,58723,1313116,926751,386365,,853639,217974,161067,6050,80690,317,2292.0,-1975,6977,0.0,,
2014-11-12,3,2014,,8926,209136.0,0.0,209136.0,12,,45302,71279,10066,59590,10680,257293,73000,88084,1347,86737,-346082,58036.0,30048,1347,86077,86077,,,86077,100,4409,4509,56853,346684,289831,1182,472,8886,-137,641033,127462,944580,1152976,-6696.0,,,0.0,0.0,2149306,8177133,5048638,3128495,4014,136338,-32968,2445797,5003,3395,340418,0.4,0.4,285859,1497,1161191,2534719,,1868,-2826,-5049,26267,2327,,-307231,1540587,1365633,174954,641,4762,,,,617864,179583,147898,31685,13399895,250294,-359610,201977.0,,2014年第3季,,3452556.0,3145325,,3145325,3138629,,3446892,,48872.0,1056,47816,7197944,,,1.0,-1.0,,,3778356,-4202,11892,7690,7865,296872,2210300,953,,,46110.0,46110.0,194563,0.4,0.4,2044,3138629.0,3145325,3452556,,-1032.0,,-307231,-308263,750.0,746.0,4.0,19214,17751,1463,51,-51,44,44,42,9947339,6360521,0.0,0.0,,,32798,34878,235497,1982,268358,638875,138740,1862976,47685,3161330,2840302,321028,,755432,196056,1951115,140413,73452,10359,37977.0,-27618,7032,0.0,,
2015-03-27,4,2014,,35569,232321.0,14354.0,217967.0,818,47482.0,177012,221496,37810,221146,85142,968623,276687,136709,17956,118753,196830,60083.0,76626,17956,986655,986655,,,986655,28723,17414,46137,90081,635087,545006,5995,1977,13512,-3107,2285732,479871,3396056,4245830,590026.0,,,1111.0,1111.0,7225541,31862471,19337956,12524515,13473,547557,-884084,10062201,17874,13671,700170,1.38,1.38,1352154,3841,4247247,10003856,,16868,-11695,-17691,101831,-57109,,-1526905,5453962,4699639,754323,2865,16109,,,,2410687,715465,596870,118595,52210026,1296473,-2342831,469325.0,,2014年度,,12424085.0,10897180,,10897180,11487206,,13066376,,44880.0,0,44880,26563497,,,6.0,-6.0,,,15023496,-18566,48639,30073,34585,1117005,9115993,4622,,-254709.0,178064.0,178064.0,791875,1.37,1.37,16057,11487206.0,10897180,12424085,,-52265.0,,-1526905,-1579170,750.0,746.0,4.0,69801,65468,4333,206,-206,1449,1449,253,39785941,25058648,2833.0,-2833.0,,,128355,139178,946208,7424,1317035,4048014,133437,7202738,258270,13135142,12259654,875488,,4299382,899680,7127018,101798,300488,29498,2292.0,27206,29625,0.0,1003.0,1003.0
2015-04-30,1,2015,,7907,,,,18,,49954,10825,11391,61720,10841,217748,65378,30676,79,30597,129546,,30676,79,69410,69410,,,69410,15938,4236,20174,41938,130770,88832,913,398,23434,-5551,596510,151462,877455,1090434,,,,,,1752426,8068390,5041717,3026673,2969,111124,-284626,2413618,1093,3229,-253874,0.36,0.36,176739,2714,830562,2560879,-104044.0,4117,-2212,-3594,20658,-7276,,-517303,1371123,1172602,198521,759,2974,,,,634486,175357,143740,31617,14995560,269505,-573874,,129253.0,2015年01月01日至2015年03月31日,-104044.0,3399360.0,2882057,,2882057,2778013,,3275032,2778013.0,10623.0,24672,-14049,6794143,,,,,1.0,-1.0,3679409,-5092,12054,6962,9272,277161,2179989,849,,,45589.0,45589.0,201747,0.36,0.36,1357,,2882057,3399360,,,20284.0,-517303,-497019,418.0,389.0,29.0,14337,13427,910,36,-36,31,31,84,11596200,6570296,0.0,0.0,,,33249,34890,233629,0,602116,1939266,49137,2593075,51628,5325191,4934206,390985,,1791683,351352,2830627,50513,89677,32636,,32636,7425,,,
2015-08-21,2,2015,,9767,32599.0,0.0,32599.0,78,42498.0,51937,10715,11945,57589,11145,242743,68160,34208,0,34208,242252,12194.0,22014,0,78022,78022,,,78022,17617,4268,21885,5891,126486,120595,1164,311,-8052,-5781,706329,156011,933518,1157668,,,,0.0,0.0,1833939,8134911,5115476,3019435,3079,113354,-511665,2457166,7445,3270,-176082,0.36,0.36,176374,2568,627449,2568809,90573.0,9772,-2144,2999,12417,1246,,-615165,1533737,1287742,245995,688,4873,,,,755056,176340,143837,32503,14684927,185950,-706370,,147457.0,2015年第2季,90573.0,3669906.0,3054741,,3054741,3145314,,3736076,3145314.0,0.0,-11917,11917,6949415,,,,,1.0,-1.0,3791174,-5215,12202,6987,8396,261281,2217597,2673,,,44604.0,44604.0,205558,0.36,0.36,2999,,3054741,3669906,,,24403.0,-615165,-590762,240.0,229.0,11.0,16701,15494,1207,43,-43,-1,-1,81,11015021,6726799,76.0,-76.0,,,33262,34052,239569,0,848640,1993330,508958,1491062,43773,4777563,4464191,313372,,1851491,485651,1524701,494148,93518,1821,0.0,1821,7093,,1650.0,1650.0
