date,season,year,不重分類至損益之項目總額,什項支出,佣金收入,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他營業成本,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本,勞務收入,勞務收入合計,勞務收入淨額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入退回及折讓,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銀行存款利息,非以透過損益按公允價值衡量之金融負債所產生之手續費費損,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,2256.0,,,-5934,2063,1428.0,1982.0,3705.0,2328.0,2328.0,,606.0,6334.0,678.0,2953.0,2953.0,2953.0,-0.15,-0.15,,13817,1696.0,-403.0,-403,,2013年01月01日至2013年03月31日,-33156,-33156,-33150,-33156,1982.0,82593.0,96388.0,82593.0,96719.0,331.0,96388.0,-8731,-10608,104812,123537,18725,18725,27456,,,17836.0,17836.0,21868.0,21868.0,29.0,,-33156,-19339,,,6334,606.0,1696.0,-6,
2013-08-12,2,2013,,,,,-6797,7896,,,,,,,,,,,,,2.36,2.36,,30813,,,-275,10074.0,2013年04月01日至2013年06月30日,532138,532138,532143,532138,,,,,,,,564256,-1305,1096877,1709198,612321,612321,48065,,,,,,,,37991.0,532138,562951,,,2129,,,-5,
2013-11-11,3,2013,,,,,-3499,1652,,,,,,,,,,,,,-0.11,-0.11,,688,,,-141,15860.0,2013年07月01日至2013年09月30日,-15238,-15238,-15235,-15238,,,,,,,,-12377,-2173,104826,134693,29867,29867,42244,,,,,,,,26384.0,-15238,-14550,,,185,,,-3,
2014-03-17,4,2013,,,,,-21329,17376,,,,,,348.0,,,,,,,2.69,2.69,,36407,,,-794,72229.0,2013年01月01日至2013年12月31日,620569,620917,620588,620936,,,,,,,,671496,-14520,2084292,2942973,858681,858681,187185,,272.0,,,,,,114956.0,620569,656976,,-76.0,9773,,,-19,-19.0
2014-05-12,1,2014,,892.0,160.0,,-5284,666,308.0,0.0,0.0,0.0,0.0,,329.0,1403.0,1080.0,9799.0,9959.0,9959.0,0.32,0.32,,22882,4392.0,-41.0,-41,,2014年01月01日至2014年03月31日,74057,74057,74061,74057,0.0,344911.0,490139.0,344911.0,490572.0,433.0,490139.0,103001,-6062,366457,526075,159618,159618,56617,,,20466.0,20466.0,25977.0,25977.0,29.0,,74057,96939,,,1403,329.0,4392.0,-4,
2014-08-12,2,2014,,,,,-9104,2423,,,,,,,,,,,,,0.34,0.34,,-13234,,,-55,,2014年第2季,76968,76968,76970,76968,,,,,,,,71061,-7327,395184,555786,160602,160602,89541,,,,,,,,,76968,63734,,,591,,,-2,
2014-11-10,3,2014,,,,,-4155,1445,,,,,,,,,,,,,-0.07,-0.07,,565,,,-269,25560.0,2014年第3季,-18315,-18315,-18312,-18315,,,,,,,,-13943,-3807,289347,321574,32227,32227,46170,,,,,,,,20610.0,-18315,-17750,,,828,,,-3,
2015-03-17,4,2014,,,,,-28201,12544,,,,,,782.0,,,,,,,2.46,2.46,,46174,,,-558,153159.0,2014年度,584128,584910,584131,584913,,,,,,,,652794,-22492,3089233,4042406,953173,953173,300379,,886.0,,,,,,147220.0,584128,630302,,104.0,6277,,,-3,-3.0
2015-05-11,1,2015,,,,,-3479,3512,,,,,,,,,,,,,0.83,0.83,,23871,,,-37,27720.0,2015年01月01日至2015年03月31日,197193,197193,197198,197193,,,,,,,,227132,-6068,877770,1165655,287885,287885,60753,,,,,,,,33033.0,197193,221064,,,6064,,,-5,
2015-08-11,2,2015,,,,,-6204,4717,,,,,,,,,,,,,1.27,1.27,,14568,,,-114,,2015年第2季,302088,302088,302820,302088,,,,,,,,321525,-4869,898945,1270573,371628,371628,50103,,,,,,,,,302088,316656,,,3268,,,-732,
