date,season,year,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建成本,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額
2013-04-29,1,2013,3567,2018,2018.0,0.0,0.0,-0.05,-0.05,0,1136,2013年01月01日至2013年03月31日,-3123,-3123,-3123,-3123,,,,,-8600,5477,392,604,212,212,8812,0.0,392.0,604.0,,7676,-3123,-3123,108
2013-08-12,2,2013,-1620,1560,,0.0,0.0,-0.14,,-27,1499,2013年04月01日至2013年06月30日,-8497,-8497,-8497,-8497,,,,,-8525,1,394,614,220,220,8745,,394.0,614.0,,7246,-8497,-8524,-61
2013-11-08,3,2013,754,1422,,,,-0.08,,0,1319,2013年07月01日至2013年09月30日,-5004,-5004,-5004,-5004,,,,,-7165,2161,392,655,263,263,7428,,392.0,655.0,,6109,-5004,-5004,15
2014-03-19,4,2013,3882,4940,,,,-0.18,,-27,6364,2013年01月01日至2013年12月31日,-11041,-11041,-11041,-11041,75215.0,88648.0,75215.0,88648.0,-19801,8733,76785,93268,16483,16483,36284,,1570.0,4620.0,,29920,-11041,-11068,89
2015-08-06,2,2015,449,8172,,,,-0.37,,11073,865,2015年第2季,-21988,-21988,-21988,-21988,,,,,-9858,-1057,7364,11154,3790,3790,13648,,,,-0.37,12783,-21988,-10915,9678
2015-11-05,3,2015,-411,1608,,,,-0.2,,304,2907,2015年第3季,-13855,-13855,-13855,-13855,,,,,-3262,-10289,27603,39727,12124,12124,15386,,,,-0.2,12479,-13855,-13551,11486
2016-03-24,4,2015,-97,13564,,,,-0.55,,15043,16614,2015年度,-38046,-38046,-38046,-38046,,,,,7314,-30317,189624,268587,78963,78963,71649,,,,-0.55,55035,-38046,-23003,43784
2016-05-09,1,2016,-1488,1452,,,,-0.32,,2833,9448,2016年01月01日至2016年03月31日,-22318,-22318,-22318,-22318,,,,,289,-19774,54672,75959,21287,21287,20998,,,,,11550,-22318,-19485,19738
2016-08-04,2,2016,-503,1438,,,,0.56,,2618,22382,2016年第2季,38809,38809,38809,38809,,,,,60061,-18634,323311,419047,95736,95736,35675,,,,0.56,13293,38809,41427,19569
2016-11-07,3,2016,-124,1353,,,,0.25,,7657,20032,2016年第3季,18916,18916,18916,18916,,,,,45172,-18599,298556,378246,79690,79690,34518,,,,0.25,14486,18916,26573,19828
