date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-23,1,2013,,,5399,-17401,32486,98397,,,98994,0.64,,50557,,,10447.0,3385,,128933,2013年01月01日至2013年03月31日,131885,230282,,134599,230922,174349,8093,1816235,2322584,506349,506349,332000,,82106,,,0.64,120961,131885,182442,,16443.0,,,10377,,-2714,-640
2013-08-08,2,2013,,,40191,-18766,57180,101336,,,71106,0.8,,65133,,,2670.0,6189,,151368,2013年04月01日至2013年06月30日,157470,258806,,166158,265915,187013,35590,2134694,2695954,561260,561260,374247,,91784,,,0.8,131095,157470,222603,,12631.0,,,9013,,-8688,-7109
2013-10-25,3,2013,,,25499,75155,17659,-8254,,,-50185,1.02,,89407,,,7470.0,7792,,178226,2013年07月01日至2013年09月30日,203740,195486,,211298,203065,201102,92045,2283318,2895131,611813,611813,410711,,89321,,,1.02,143164,203740,293147,,-8962.0,,,8561,,-7558,-7579
2014-03-21,4,2013,,,178192,-6441,154837,319823,,,170153,3.2,,258618,,,22183.0,22725,,605388,2013年01月01日至2013年12月31日,608426,928249,,663263,992896,732998,134046,8287168,10555261,2268093,2268093,1535095,,346386,,-20921.0,3.19,583321,608426,867044,,29784.0,,,37075,,-54837,-64647
2014-04-25,1,2014,,,28230,32297,29637,39448,,,-12313,0.97,,78715,,,20832.0,954,,145864,2014年01月01日至2014年03月31日,196328,235776,,200788,239361,220717,54326,2144342,2741173,596831,596831,376114,,86606,,,0.96,143644,196328,275043,,-2699.0,,,8562,,-4460,-3585
2014-07-25,2,2014,,,21329,-9434,45130,-42348,,,-78393,1.06,,99943,,,1817.0,4032,,151988,2014年第2季,214802,172454,,219903,178624,283381,31364,2363791,3019801,656010,656010,372629,,89955,,,1.06,130686,214802,314745,,-12899.0,,,8364,,-5101,-6170
2014-10-31,3,2014,,,-24466,-5832,26800,49303,,,113279,1.09,,65154,,,-20704.0,20274,,162058,2014年第3季,224911,274214,,225333,273904,257650,32415,2340038,2989579,649541,649541,391891,,92862,,,1.07,136971,224911,290065,,18806.0,,,8827,,-422,310
2015-03-13,4,2014,,,15056,-9244,111765,163618,,,169561,3.82,,268575,,,8412.0,30992,,615205,2014年度,774947,938565,,793752,954303,950590,92932,9112319,11642719,2530400,2530400,1579810,,351754,,-1971.0,3.79,612851,774947,1043522,,27440.0,,,40581,,-18805,-15738
2015-04-24,1,2015,0.0,0.0,-16102,19412,41341,-59557,0.0,0.0,-54915,1.15,-59557.0,82794,0.0,0.0,,3277,1938.0,152147,2015年01月01日至2015年03月31日,236981,177424,0.0,238661,179650,265218,54557,2331324,3006333,675009,675009,409791,0.0,97481,0.0,,1.12,160163,236981,319775,0.0,,-9522.0,,9473,0.0,-1680,-2226
2015-07-31,2,2015,,0.0,-10874,638,52048,-53084,,,-54176,1.21,-53084.0,101026,0.0,,,-1288,3080.0,155516,2015年第2季,250081,196997,0.0,252897,200348,308975,42132,2434953,3135637,700684,700684,391709,,101384,0.0,,1.2,134809,250081,351107,,,-8886.0,0.0,9266,0.0,-2816,-3351
2015-09-30,3,2015,,,-53116,81962,34686,122566,,,218932,1.38,122566.0,124742,,,,14194,-7406.0,173271,2015年第3季,295939,418505,,296346,414998,295925,124756,2496878,3228990,732112,732112,436187,,109366,,,1.36,153550,295939,420681,,,35844.0,,6086,,-407,3507
2016-03-11,4,2015,,808.0,-82181,142688,184026,-65277,,,-1767,4.53,-66085.0,415906,,,,14765,17321.0,639391,2015年度,954103,888826,,970195,902169,1066789,303220,9389101,12111258,2722157,2722157,1655368,,384192,973.0,,4.51,631785,954103,1370009,165.0,,-542.0,,38259,,-16092,-13343
