date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,勞務收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,,3513,7282.0,,443.0,20771,,6183,6842,,,6183,0.45,0.45,,8195,,,,91439,2013年01月01日至2013年03月31日,33854,40037,33854,40037,34153,7896,427844,613076,185232,185232,151079,,28913,,,,,30727,33854,42049,,,,,2899,,427401.0,585463,,
2013-08-09,2,2013,,,,,-250,2018.0,,12157.0,10124,,1110,18738,,,1110,0.62,0.62,,19606,,222.0,,91864,2013年04月01日至2013年06月30日,50530,51640,50530,51640,71683,-1547,539518,767609,228091,228091,156408,,33032,,,,,31512,50530,70136,,,,,3537,,527361.0,738747,,
2013-11-13,3,2013,,,,,-13637,-181.0,-181.0,176.0,20777,,-2501,21700,,,-2501,0.96,0.96,,22692,,-4348.0,,82828,2013年07月01日至2013年09月30日,78057,75556,78057,75556,121725,-20976,507466,775875,268409,268409,146684,,32318,,,,,31538,78057,100749,,,,,2810,,507290.0,733398,,
2014-03-14,4,2013,,,,,-15872,10188.0,10188.0,,39220,276.0,6376,66963,,,-198,3.13,3.13,,78383,6814.0,-8383.0,,361163,2013年01月01日至2013年12月31日,249417,255793,249417,255793,353735,-25935,2084703,3067640,982937,982937,629202,,130970,,-516.0,,,137069,249417,327800,,,,,11868,,,2961457,,
2014-04-25,1,2014,,,,,8585,5277,,,921,,1789,9953,,,3209,0.07,0.07,,7731,111,-1254,,83546,2014年01月01日至2014年03月31日,5475,7264,5475,7264,3105,10101,384744,547630,162886,162886,159781,,35946,,,,,40289,5475,13206,,1531,,,2507,,,536756,,
2014-08-08,2,2014,,,,,-4221,6299.0,,,1510,,-2858,9064,,,-3128,0.4,0.4,,11441,-37.0,-860.0,,80939,2014年第2季,32423,29565,32423,29565,45113,-1249,448124,649964,201840,201840,156727,,38256,,,,,37532,32423,43864,,-307.0,,,2467,,,639390,,
2014-10-30,3,2014,,,,,-2528,922.0,,,4358,,2245,40075,,,2128,0.96,0.96,,16536,577.0,-1162.0,,97522,2014年第3季,77859,80104,77859,80104,99768,-5373,397936,680904,282968,282968,183200,,43566,,,0.96,0.96,42112,77859,94395,,460.0,,,2605,,,636471,,
2015-02-26,4,2014,,,,,17670,16714.0,16714.0,,8252,-4065.0,15880,90402,,,16638,3.04,3.04,,70831,,-3287.0,,351014,2014年度,246277,262157,246277,262157,296682,20426,1746634,2716658,970024,970024,673342,,159933,,3307.0,3.03,3.03,162395,246277,317108,,,,,10671,,,2618004,,
2015-04-28,1,2015,,,,,-7730,664.0,,,511,,-3181,17382,,,-3833,0.13,0.13,-3181.0,6723,,0.0,0.0,101343,2015年01月01日至2015年03月31日,10382,7201,10382,7201,11513,5592,469771,670983,201212,201212,189699,,50327,,,0.13,0.13,38029,10382,17105,,,-652.0,,2102,14760.0,,653090,,
2015-08-04,2,2015,,0.0,0.0,0.0,-7616,1886.0,,,1386,,-3656,21222,0.0,0.0,-4404,-0.01,-0.01,-3656.0,21765,,0.0,0.0,98594,2015年第2季,-719,-4375,-719,-4375,29810,-8764,449041,659880,210839,210839,181029,0.0,47390,,,-0.01,-0.01,35045,-719,21046,,,-748.0,0.0,3213,179.0,,637272,0.0,0.0
2015-10-29,3,2015,,,0.0,0.0,13773,892.0,,,781,,13802,31179,,,16628,0.05,0.05,13802.0,7779,,-754.0,0.0,114823,2015年第3季,3863,17665,3863,17665,720,10922,599375,796960,197585,197585,196865,,49207,,,0.05,0.05,32835,3863,11642,,,2826.0,,2989,0.0,,765000,0.0,0.0
2016-02-26,4,2015,-1361.0,,0.0,0.0,-11010,2966.0,,,8634,,2468,101266,,,4613,1.06,1.06,3829.0,32762,,-1806.0,,427897,2015年度,85780,88248,85780,88248,124325,-5783,2039401,2942417,903016,903016,778691,,196077,-1640.0,,1.06,1.06,154717,85780,118542,-279.0,,784.0,,10872,14939.0,,2832517,0.0,0.0
