date,season,year,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他費用,利息收入合計,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估價之利益（損失）,金融資產重分類淨損益,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,0.0,,,12873,442,,,,-3841.0,,,,-4627.0,0.06,0.06,,-993,,,1310.0,2013年01月01日至2013年03月31日,,1899,-1942,,1899,-1942,,-12197,13103,1256,1457,201,201,12398,,,,0.06,0.06,11088.0,1899,906,-786.0,,212,,,,,0.0,0.0
2013-08-12,2,2013,0.0,,,-11,352,0.0,0.0,,174.0,,352.0,,209.0,-0.37,-0.37,,-369,,,740.0,2013年04月01日至2013年06月30日,,-11625,-11451,,-11625,-11451,,-12038,44,1033,1202,169,169,12207,,,,-0.37,-0.37,11467.0,-11625,-11994,35.0,,297,,,,,0.0,0.0
2013-11-08,3,2013,0.0,,,-11123,0,0.0,0.0,,9368.0,,0.0,,11287.0,-0.04,-0.04,,6841,,,12625.0,2013年07月01日至2013年09月30日,,-3147,6221,,-3147,6221,,16464,-12770,306382,349769,43387,43387,26923,,,,-0.04,-0.04,14298.0,-3147,3694,1919.0,,1647,,,,,0.0,0.0
2014-03-24,4,2013,0.0,,,2815,548,0.0,0.0,,5701.0,,548.0,,6869.0,0.11,0.11,,16399,,,53528.0,2013年01月01日至2013年12月31日,,7709,13410,,7709,13410,,27892,-3784,867742,999466,131724,131724,103832,,,,0.11,0.11,50304.0,7709,24108,1168.0,,7147,,,,,0.0,0.0
2014-05-12,1,2014,,,,0,516,,,,0.0,,,,0.0,-0.17,-0.17,0.0,261,,,2265.0,2014年01月01日至2014年03月31日,0.0,-11673,-11673,,-11673,-11673,,-9383,-2029,8678,12019,3341,3341,12724,,,,-0.17,-0.17,10459.0,-11673,-11412,0.0,,2545,,,,,,
2014-08-08,2,2014,,,,295,171,,,,0,,171,,0,-0.24,-0.24,,3156,,,2376,2014年第2季,,-16880,-16880,,-16880,-16880,,-14571,847,9666,10114,448,448,15019,,,,-0.24,-0.24,12643,-16880,-13724,0,,-381,,,,,,
2014-11-07,3,2014,,,,-179,0,,2270.0,,0.0,,0.0,,0.0,-0.21,-0.21,,-132,,,692.0,2014年第3季,,-14917,-14917,,-14917,-14917,,-12765,-2284,0,0,0,0,15035,,,,-0.21,-0.21,14343.0,-14917,-15049,0.0,,2105,,,,,,
2015-03-24,4,2014,0.0,,0.0,1194,298,2270.0,2270.0,0.0,0.0,,298.0,0.0,0.0,-0.83,-0.83,0.0,2562,0.0,0.0,7674.0,2014年度,0.0,-57766,-57766,0.0,-57766,-57766,,-50638,-4566,13096,22143,9047,9047,61955,0.0,,0.0,-0.83,-0.83,54281.0,-57766,-55204,0.0,0.0,6058,0.0,0.0,22143.0,0.0,,
2015-05-12,1,2015,0.0,0.0,,-846,954,,0.0,,,0.0,954.0,,,0.22,0.22,0.0,0,,0.0,18311.0,2015年01月01日至2015年03月31日,0.0,15309,15309,,15309,15309,,18580,-3271,269599,320509,50910,50910,32330,,0.0,,0.22,0.22,14019.0,15309,15309,,,3379,,0.0,320509.0,0.0,,
2015-08-10,2,2015,,,,63,154,,,,,,154.0,,,0.42,0.42,,0,,,,2015年第2季,,29395,29395,,29395,29395,166872.0,30445,-1050,166872,227010,60138,60138,29693,,,,0.42,0.42,,29395,29395,,,1267,,,,,,
2015-11-10,3,2015,,,,-326,0,,0.0,,,,0.0,,,-0.16,-0.16,,381,,0.0,4152.0,2015年第3季,,-10992,-10992,,-10992,-10992,,-6101,-4510,46220,56993,10773,10773,16874,,,,,,12722.0,-10992,-10611,,,4184,,0.0,,0.0,,
2016-03-22,4,2015,,,,4314,345,0.0,0.0,,,,345.0,,,0.63,0.63,,343,,,48218.0,2015年度,,44196,44196,,44196,44196,,57668,-13129,612388,769554,157166,157166,99498,,,,0.63,0.63,51280.0,44196,44539,,,17788,,,,,,
