date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-09,2,2013,,,0,,,0,431,2499,185,,0,49455,2314,49455,-1.40,,1266,,,,1457,39530,2013年01月01日至2013年06月30日,,,-75214,-25759,-75214,-25759,-76687,2930,923892,1122390,198498,198498,275185,1457,165425,,-1.40,,70230,-75214,-73757,,835,0,923892,923892,62,1126051,1126051,1122390,3599,0,0
2014-03-31,4,2013,,,,,,,-40554,6846,,,,36517,,36517,2.10,2.10,,,,,39051,89612,2013年01月01日至2013年12月31日,,,113124,149641,113124,149641,186058,-33883,1825700,2583563,757863,757863,571805,,322201,,2.08,2.08,159992,113124,152175,,,175,1825700,1825700,63,2587242,2587242,2583563,3616,,
2014-05-26,1,2014,,,,,,,-2453,1200,,,,38608,,38608,0.98,0.98,,,,,9111,21898,2014年01月01日至2014年03月31日,,,53098,91706,53098,91706,63580,-1371,634976,839949,204973,204973,141393,,87028,,0.97,0.97,32467,53098,62209,,,118,,,,,,,,,
2014-08-01,2,2014,,,-103,,,,-1210,3109,361,,,-34366,1963,-34366,1.10,,0,1766,,,13201,22075,2014年第2季,,,59564,25198,59564,25198,70930,1835,1107438,1327221,219783,219783,148853,13201,86317,785,1.08,,40461,59564,72765,453,0,64,,1107438,,,,,,0,
2014-10-27,3,2014,,,,,,,768,3971,3971,,,29149,,29149,1.62,,,,,,3493,23996,2014年第3季,,,88629,117778,88629,117778,87903,4219,1057951,1299417,241466,241466,153563,,91877,,1.58,,37690,88629,92122,,,520,,1057951,,,,1299417,,,
2015-04-22,1,2015,-30598,-30598,,,-1292,0,1341,4480,,,,-32099,,-209,-0.88,-0.88,,,,-1501,3256,22244,2015年01月01日至2015年03月31日,,,-55953,-88052,-55953,-88052,-58335,5638,610687,703150,92463,92463,150798,,96176,,0.00,0.00,32378,-55953,-52697,,,183,,,,,,,,,0
2015-07-31,2,2015,-39340,-39340,,,-17711,,3775,13787,,,,-57650,,-599,0.25,0.25,,,,-18310,30209,22623,2015年第2季,,30209,15937,-41713,15937,-41713,29942,16204,686224,874550,188326,188326,158384,,97621,,0.25,0.25,38140,15937,46146,,,1358,,,,,,,,,
2015-11-06,3,2015,169936,169936,,,-41752,,-12857,13966,13966,,,128954,,770,1.51,1.51,,,,-40982,4891,25468,2015年第3季,,,92685,221639,92685,221639,98578,-1002,1050177,1313152,262975,262975,164397,,103590,,1.50,1.50,35339,92685,97576,,,2111,,,,,,,,,
2016-03-04,4,2015,98286,98286,,,-51259,,-13198,46520,,,,46851,,-176,2.07,2.07,,,0,-51435,39300,96673,2015年度,0,,128936,175787,128936,175787,140827,27409,2963244,3785741,822497,822497,681670,,412321,,2.05,2.05,172676,128936,168236,,,5913,,,,,,,,,
2016-05-06,1,2016,-56520,-56520,,0,16304,,-2013,13420,,,,-37116,,3100,0.14,0.14,,,,19404,406,23672,2016年01月01日至2016年03月31日,,406,8763,-28353,8763,-28353,-688,9857,778242,949373,171131,171131,171819,,113019,,0.14,0.14,35128,8763,9169,,,1550,,778242,,,,,,,
2016-07-29,2,2016,11647,11647,,,10177,,-41709,11912,11912,0,,26051,,4227,-3.94,,,,,14404,16309,21688,2016年第2季,,,-242475,-216424,-242475,-216424,-195689,-30477,797164,814171,17007,17007,212696,,107002,,-3.94,,84006,-242475,-226166,,,680,,,,,,,,,
2016-11-11,3,2016,-73707,-73707,,,13977,,-1454,19875,19875,,,-58553,,1177,-0.42,-0.42,,,,15154,3868,19196,2016年第3季,,3868,-25566,-84119,-25566,-84119,-39461,17763,800605,908159,107554,107554,147015,,104661,,-0.42,-0.42,23158,-25566,-21698,,,658,,,,,,,,,
