date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-10,1,2013,,,10756,8573,8573,142060,171156,0.15,0.15,,-7609,64704,,44166,2013年01月01日至2013年03月31日,46464,188524,46464,188524,-36667,75522,1286141,1359386,73245,73245,109912,20294,,,0.14,0.14,45452,46464,38855,,29096,,8511,2472,1362506,1359386,648
2013-08-08,2,2013,,,-7213,8538,,91400,110120,0.16,,,40387,79649,,45246,2013年04月01日至2013年06月30日,50446,141846,50446,141846,18422,72411,1317770,1454295,136525,136525,118103,22780,,,0.16,,50077,50446,90833,,18720.0,,8563,8519,1471040,1454295,8226
2013-11-08,3,2013,,,-4245,13982,,-9090,-10953,0.38,,,20854,72364,,50255,2013年07月01日至2013年09月30日,119848,110758,119848,110758,67001,73701,1430431,1624682,194251,194251,127250,22051,,,0.37,,54944,119848,140702,,-1863.0,,8400,15972,1643635,1624682,2981
2014-03-24,4,2013,,,-2935,46035,,307049,365900,0.87,,,58104,204941,,203788,2013年01月01日至2013年12月31日,274373,581422,274373,581422,118124,214353,5519166,6137422,618256,618256,500132,92003,,4038,0.86,,204341,274373,332477,,62889,,33688,49122,6205042,6137422,18498
2014-05-08,1,2014,,,18728,16187,16187.0,-20663,-24895,0.27,0.27,,14011,27867,,52261,2014年01月01日至2014年03月31日,84093,63430,84093,63430,43538,54566,1343099,1519520,176421,176421,132883,23107,,,0.27,0.27,57515,84093,98104,,-4232.0,,8216,16978,1537912,1519520,1414
2014-08-08,2,2014,,,-12229,17614,,-85758,-103323,0.3,,,11484,2592,,64865,2014年第2季,94366,8608,94366,8608,107236,-1386,1529468,1790793,261325,261325,154089,24633,,,0.3,,64591,94366,105850,,-17565.0,,9363,24439,1817235,1790793,2003
2014-11-07,3,2014,,,11178,17103,,138491,166857,0.2,,,10961,-44075,,60527,2014年第3季,62024,200515,62024,200515,98242,-25257,1666166,1906099,239933,239933,141691,19254,,,0.2,,61910,62024,72985,,28366.0,,9463,9671,1938524,1906099,22754
2015-03-26,4,2014,,,61299,68576,,179701,209144,1.15,,,55198,-9670,,242334,2014年度,364110,543811,364110,543811,335914,83394,6424686,7330236,905550,905550,569636,92466,,7364.0,1.15,,234836,364110,419308,,36807.0,,36811,60807,7417510,7330236,26467
2015-05-12,1,2015,,,358234,19289,19289.0,-47809,-57601,1.08,1.08,-47809.0,52480,-40429,,49220,2015年01月01日至2015年03月31日,343151,295342,343151,295342,68927,326704,1554856,1749805,194949,194949,126022,23279,,,1.08,1.08,53523,343151,395631,,,-9792.0,10390,19251,1769352,1749805,296
2015-08-06,2,2015,,,5144199,33181,,-120965,-145742,13.49,,-120965.0,949237,-11732,,43369,2015年第2季,4279739,4158774,4279739,4158774,72727,5156249,1343905,1540177,196272,196272,123545,23241,,,13.49,,56935,4279739,5228976,,,-24777.0,9399,4552,1544812,1540177,83
2015-11-06,3,2015,,,285630,45137,,148124,178463,1.06,,148124,31207,10888,,47731,2015年第3季,336390,484514,336390,484514,35099,332498,1337269,1493046,155777,155777,120678,17627,,,1.06,,55320,336390,367597,,,30339,9157,2615,1498793,1493046,3132
2016-03-24,4,2015,-17939.0,6216.0,5723152,195132,,-115397,-125854,15.03,,-97458.0,1336548,-18927,785.0,199592,2015年度,4727902,4612505,4727902,4612505,202408,5862042,5467390,6161592,694202,694202,491794,80562,-21613.0,,15.01,,211640,4727902,6064450,-3674.0,,-21395.0,37315,46317,6230290,6161592,22381
2016-05-10,1,2016,,686.0,-78761,34609,,-52842,-64492,-0.14,-0.14,-52842.0,-11634,12154,,40805,2016年01月01日至2016年03月31日,-42113,-94955,-42113,-94955,-14353,-39394,1023073,1112325,89252,89252,103605,16231,,,-0.14,-0.14,46569,-42113,-53747,,,-10964.0,7396,10774,1131799,1112325,8700
2016-08-10,2,2016,,647.0,-54086,39411,,-104076,-127933,0.0,,-104076.0,-3141,5274,1461.0,34578,2016年第2季,269,-103807,269,-103807,14118,-16990,1076712,1189679,112967,112967,98849,14986,,,0.0,,49285,269,-2872,,,-21749.0,7589,6590,1191748,1189679,-4521
2016-11-08,3,2016,,3035.0,-130216,23158,,-114138,-142183,-0.31,,-114138.0,-24887,16039,838.0,47070,2016年第3季,-85641,-199779,-85641,-199779,-12209,-98319,1101244,1196029,94785,94785,106994,14095,,,-0.31,,45829,-85641,-110528,,,-24172.0,7300,9082,1210393,1196029,5282
