date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益,其他收益及費損淨額,其他營業成本,其他營業收入,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,其他費損,分期付款銷貨收入,利息收入,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,地產出售收入（開發投資公司適用）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,36698,120250,39101,35559.0,33683,150206,807953,807953,-49927.0,681201,1876.0,,3777713,39101,1002369,,-76718.0,,769213,,1.53,1.53,,569643,1002369,3777713,45,,2013年01月01日至2013年03月31日,1464875,2146076,1386267,1937826,1875122,159396,2764530,6488830,3724300,3724300,1882861,1935.0,,,,509713.0,509713,664879,664879,1882861.0,1464875,2034518,,,,,1102242,1102242,1238285,1238285,1238285,78608,208250
2013-08-13,2,2013,,,-84168,56616,35917,,48406,159835,1084134,1084134,-86113,19836,,,3903117,35917,1001287,,66035,,120154,,1.64,1.64,,625841,1001287,3903117,-3133,,2013年04月01日至2013年06月30日,1567398,1587234,1482419,1590307,2103839,89400,2857528,6998967,4141439,4141439,2086006,3928,,,,459002,459002,628043,628043,2086006,1567398,2193239,,,,,1237404,1237404,1383673,1383673,1383673,84979,-3073
2013-11-12,3,2013,,,401664,2500,60391,,24440,168408,1030457,1030457,26144.0,109658,,,4159144,27557,985456,,828.0,,-323083,,1.41,1.41,,566358,985456,4159144,1790,,2013年07月01日至2013年09月30日,1489917,1599575,1408542,1564771,1991594,64681,3157678,7432371,4274693,4274693,2307539,4105.0,,,,441873.0,441873,509624,509624,2307539.0,1489917,2056275,32834.0,,,,1561941,1561941,1733146,1733146,1733146,81375,34804
2014-03-27,4,2013,,,533829,374692,161718,,152225,1184117,4986959,4986959,-124614.0,1211552,,,15981592,127842,3985775,,-27080.0,,866066,,5.91,5.91,,2368593,3985775,15981592,-2459,,2013年01月01日至2013年12月31日,6207988,7419540,5883044,7166836,8042630,533951,13367286,30411680,17044394,17044394,9153989,-28523.0,,,36743.0,1766902.0,1766902,2270196,2270196,9153989.0,6207988,8576581,33876.0,,44869.0,,6430492,6430492,7172933,7172933,7172933,324944,252704
2014-05-12,1,2014,,,-106606,-6709,24068,,35467,722856,1887973,1887973,-41762.0,30459,,,4246055,24068,1015436,,-53015.0,,180407,,1.57,1.57,,570981,1015436,4246055,-1543,,2014年01月01日至2014年03月31日,1637803,1668262,1561821,1531282,2192968,15816,3716498,8446924,4730426,4730426,2572925,61408.0,,,,332445.0,332445,451368,451368,2572925.0,1637803,2208784,,,9973.0,,1645761,1645761,1861528,1861528,1861528,75982,136980
2014-08-13,2,2014,,,-57860,363592,23295,,35571,186340,1286247,1286247,58329.0,-400216,,,4352469,20442,1035605,,45865.0,,-480344,,1.51,1.51,,704510,1035605,4352469,-2828,,2014年第2季,1739482,1339266,1656976,1252673,2059933,384059,3594684,8415107,4820423,4820423,2796061,6797.0,,,,352909.0,352909,456067,456067,2796061.0,1739482,2443992,2853.0,,-26997.0,,2019830,2019830,2320324,2320324,2320324,82506,86593
2014-11-12,3,2014,,,31670,373363,46713,,30344,202332,1413347,1413347,-20979.0,529029,,,4637709,18240,1107274,,-45198.0,,596589,,1.74,1.74,,685135,1107274,4637709,-4474,,2014年第3季,1989212,2518241,1905870,2436512,2258745,415602,3747875,9029376,5281501,5281501,3053100,-7682.0,,,,279485.0,279485,486172,486172,,1989212,2674347,28473.0,,25371.0,,2158784,2158784,2492148,2492148,2492148,83342,81729
2015-05-13,1,2015,,,11691,33120,20834,,65191,189381,1288994,1288994,,-196315,,,5010426,20834,1203844,0.0,,24801.0,-246316,,1.56,1.56,-196315.0,592734,1203844,5010426,-8272,,2015年01月01日至2015年03月31日,1795176,1598861,1709446,1514540,2342228,45682,3224883,8503049,5278166,5278166,3001129,,-917.0,,,388796.0,388796,567646,567646,,1795176,2387910,,,,-14426.0,1442862,1442862,1635983,1635983,1635983,85730,84321
2015-08-12,2,2015,,0.0,-12611,419055,26356,,-490,206042,1246363,1246363,,-478522,,,5003478,16471,1183857,0.0,,31907.0,-525755,,1.5,1.5,-478522.0,653679,1183857,5003478,83,,2015年第2季,1790061,1311539,1706985,1330963,1998246,445494,3824457,9092260,5267803,5267803,3269067,,-2833.0,,,,436579,585106,585106,,1790061,2443740,9885.0,,,-30770.0,1997979,1997979,2257313,2257313,2257313,83076,-19424
2015-11-12,3,2015,,,-38786,95897,80779,,11620,207486,1308074,1308074,,915209,,0.0,5241532,23246,1198685,0.0,,-135165.0,1107207,0.0,1.52,1.52,915209.0,613322,1198685,5241532,-1917,,2015年第3季,1816211,2731420,1731694,2665862,2254774,174759,3732827,9313672,5580845,5580845,3337691,,55322.0,,,461796.0,461796,638188,638188,,1816211,2429533,57533.0,,,73369.0,1864860,1864860,2125878,2125878,2125878,84517,65558
2016-03-17,4,2015,6337.0,,-32055,573701,153397,,115758,826628,4936211,4936211,,-304665,,,20901527,84281,4777085,0.0,,-77281.0,-302151,0.0,6.02,6.02,-311002.0,2440877,4777085,20901527,28309,,2015年度,7193933,6889268,6863272,6615550,8879403,755407,14882595,36827980,21945385,21945385,13181740,,128477.0,7635.0,,1752057.0,1752057,2454131,2454131,,7193933,9634810,69116.0,1298.0,,27992.0,7526825,7526825,8536111,8536111,8536111,330661,273718
2016-05-12,1,2016,-497.0,,35517,84231,17327,,29275,222641,1175550,1175550,,-151355,,,5422624,17327,1220137,,,51248.0,-222052,,1.42,1.42,-150858.0,595317,1220137,5422624,-2484,1793.0,2016年01月01日至2016年03月31日,1703617,1552262,1621126,1458676,2199860,99074,3247374,8771600,5524226,5524226,3353641,,-45957.0,-620.0,,475835.0,475835,688067,688067,,1703617,2298934,,-123.0,,-28593.0,1328761,1328761,1485359,1485359,1485359,82491,93586
2016-08-09,2,2016,0.0,,11320,717012,37868,,37560,231593,1313047,1313047,,-851728,,,5459263,19444,1137125,,,13808.0,-760751,,1.68,1.68,-851728.0,735895,1137125,5459263,-2605,-400.0,2016年第2季,1994082,1142354,1907232,1048284,1977702,752275,3712322,9558912,5846590,5846590,3906448,,-117459.0,0.0,,489167.0,489167,687306,687306,,1994082,2729977,18424.0,0.0,,-1754.0,1854437,1854437,2099296,2099296,2099296,86850,94070
2016-11-10,3,2016,0.0,,-2260,205799,86618,,30217,238106,1405298,1405298,,-989196,,,5513773,14929,1135820,,,131391.0,-1167688,,1.68,1.68,-989196.0,572626,1135820,5513773,2330,1932.0,2016年第3季,2012352,1023156,1922433,999291,2290231,294747,3667910,9642687,5974777,5974777,3714763,,0.0,0.0,,536202.0,536202,745339,745339,,2012352,2584978,71689.0,0.0,,-47429.0,1757782,1757782,1978277,1978277,1978277,89919,23865
