date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,,-8586,,172568,66437,-7887,66437.0,699,0.02,,,4012,,-245863,150270,2013年01月01日至2013年03月31日,,505449,497562,526050,518163,902047,-392586,7501095,9245772,1744677,1744677,842630,353819,,,,338541,505449,509461,,0.0,,385728,,,-20601,-20601
2013-08-07,2,2013,,,,17589,,-67670,65057,17530,,-59,0.07,,,2768,,597278,157783,2013年04月01日至2013年06月30日,,1691763,1709293,1675941,1693471,1474654,219877,11541709,13834981,2293272,2293272,818618,405043,,,,255792,1691763,1694531,,0.0,,374788,,,15822,15822
2013-11-12,3,2013,,,,-2909,,-77389,63824,-5337,,-2428,0.08,,,4240,,1824849,161647,2013年07月01日至2013年09月30日,,1976890,1971553,1978690,1973353,546198,1434932,10011008,11456780,1445772,1445772,899574,418541,,,,319386,1976890,1981130,,0.0,,376352,,,-1800,-1800
2014-03-14,4,2013,,,,3878,,228252,260458,578,,-3300,0.34,,,39333,,5045424,646652,2013年01月01日至2013年12月31日,,8110463,8111041,8137820,8138398,4099947,4049849,39465255,46975291,7510036,7510036,3410089,1518207,,,,1245230,8110463,8149796,,0.0,,1484285,,,-27357,-27357
2014-05-09,1,2014,,-743958.0,-0.02,-2354,,144281,65724,4996,,7350,0.26,0.28,,1929,,2972136,144057,2014年01月01日至2014年03月31日,,6069930,6074926,6127705,6132701,3956048,2859769,7030841,11691512,4660671,4660671,704623,275289,,,,285277,6813888,6815817,,0.0,,322372,,,-57775,-57775
2014-08-08,2,2014,,-333905.0,-0.14,47226,,-296535,70170,41528,,-5698,2.54,2.68,,1910,,2716803,139580,2014年第2季,,6085007,6126535,6083333,6124861,4242808,2178014,6696401,11916423,5220022,5220022,977214,333881,,,,503753,6418912,6420822,,0.0,,312424,6696401.0,6696401.0,1674,1674
2014-11-10,3,2014,,4439.0,0.0,-12603,,251419,64485,-20023,,-7420,3.11,3.11,,873567,,2858841,146894,2014年第3季,,7465601,7445578,7462491,7442468,5451922,2882807,6828309,13090573,6262264,6262264,810342,357721,,,,305727,7461162,8334729,,0.0,,291938,,,3110,3110
2015-03-12,4,2014,,-1056131.0,-0.42,12050,,571459,261829,8273,,-3777,11.77,12.19,,2481199,,13294580,588624,2014年度,,28194576,28202849,28241527,28249800,18803856,12928050,26939061,49107622,22168561,22168561,3364705,1377610,,,,1398471,29250707,31731906,,0.0,,1199818,,,-46951,-46951
2015-05-11,1,2015,,0.0,,26729,0.0,-52681,59523,15391,,-11338,2.61,2.61,15391.0,4677,,1772544,161911,2015年01月01日至2015年03月31日,,6299243,6314634,6290339,6305730,4767500,1536420,6354719,12027943,5673224,5673224,905724,428760,,2.57,2.57,315053,6299243,6303920,,,0.0,242966,,,8904,8904
2015-08-10,2,2015,,0.0,,-29499,,-127068,61949,-35393,,-5894,1.75,1.75,-35393.0,490001,,1117954,167116,2015年第2季,490001.0,4264873,4229480,4254402,4219009,3907974,846900,6467849,11155776,4687927,4687927,779953,354474,,1.74,1.74,258363,4264873,4754874,,,0.0,205935,,,10471,10471
2015-11-10,3,2015,,0.0,,-23406,,539649,52950,7290,,30696,1.94,1.94,7290.0,2485,,1405683,155813,2015年第3季,2485.0,4731494,4738784,4726612,4733902,2952080,1781899,6479733,10337320,3857587,3857587,905507,484210,,0.0,0.0,265484,4731494,4733979,,,0.0,216383,,,4882,4882
2016-03-15,4,2015,-112606.0,0.0,,-22437,0.0,419496,226050,-123115,,11928,7.07,7.07,-10509.0,506028,-2835.0,4404923,660729,2015年度,,17171400,17048285,17141167,17018052,13487386,4190042,26567909,43875905,17307996,17307996,3820610,1953662,-132255.0,7.02,7.02,1206219,17171400,17677428,-22484.0,,0.0,860427,,,30233,30233
2016-05-10,1,2016,,0.0,,4075,,-288367,53761,6675,,2600,0.68,,6675.0,219,,-379260,156168,2016年01月01日至2016年03月31日,219.0,1844798,1851473,1848942,1855617,2632815,-787798,6998729,10397555,3398826,3398826,766011,378127,,0.0,,231716,1844798,1845017,,,0.0,173932,,,-4144,-4144
2016-08-11,2,2016,,,,-10688,,-23046,67291,-3550,,7138,0.14,,-3550.0,646750,,-457342,169201,2016年第2季,646750.0,404972,401422,396620,393070,1650657,-598935,6396376,8933094,2536718,2536718,886061,490924,,0.0,,225936,404972,1051722,,,0.0,185838,,,8352,8352
2016-11-09,3,2016,,,,-15407,,-390304,67038,-21971,,-6564,0.51,,-21971.0,1890,,214579,169797,2016年第3季,1890.0,1401314,1379343,1401674,1379703,1699211,-296007,7032718,10203896,3171178,3171178,1471967,1030140,,0.0,,272030,1401314,1403204,,,0.0,187320,,,-360,-360
