date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
1923-05-09,1,2013,,52145,48904,7041,23487,4533,0.06,,-246,-33191.0,-4370,,43449,2013年01月01日至2013年03月31日,20976,44463,22849,46336,-30344,51074,1003987,1026152,22165,22165,52509,,,0.06,9060,20976,20730,,,501,1003987,1003987,7156,1034029,1034029,1026152,721,-1873,-1873
1923-08-08,2,2013,,-14783,2321,7595,-49486,952,-0.05,,-2385,-35655.0,14087,,46311,2013年04月01日至2013年06月30日,-15718,-65204,-14609,-64095,-41612,23509,992961,1001608,8647,8647,50259,,,-0.05,3948,-15718,-18103,,,494,992961,992961,3256,1005118,1005118,1001608,254,-1109,-1109
2013-11-07,3,2013,,24122,7422,28548,4860,-2436,0.09,,247,-16826.0,11383,,45521,2013年07月01日至2013年09月30日,26994,31854,28660,33520,-19513,46754,1056182,1092994,36812,36812,56325,,,0.09,10804,26994,27241,,,599,1056182,1056182,2606,1095895,1095895,1092994,295,-1666,-1666
2014-03-27,4,2013,,77090,155750,55763,-20296,4265,0.16,,-7781,-87508.0,-56738,,173891,2013年01月01日至2013年12月31日,43119,22823,51365,30342,-117303,152641,4169076,4283836,114760,114760,232063,,-18356.0,0.16,58172,43119,35338,,-4213.0,2134,4169076,4169076,16130,4301523,4301523,4283836,1557,-8246,-7519
2014-05-08,1,2014,,-35786,71345,6449,-29488,3019,0.28,,9611,3279.0,1377,,47133,2014年01月01日至2014年03月31日,91766,62278,92296,62808,22682,78695,1083808,1157110,73302,73302,50620,,,0.28,3487,91766,101377,,,476,1083808,1083808,1701,1158864,1158864,1157110,53,-530,-530
2014-08-07,2,2014,,6503,102868,5425,-2624,-2721,0.22,,10957,-6406.0,-215,,47342,2014年第2季,79662,77038,72134,69510,-16988,107607,870700,910139,39439,39439,56427,,,0.22,9085,79662,90619,,,471,870700,870700,2376,914370,914370,910139,1855,7528,7528
2014-11-06,3,2014,,32436,14121,31736,15868,2742,0.14,,8101,-19310.0,5733,,30999,2014年第3季,46568,62436,45020,60884,3269,51400,906023,947550,41527,41527,38258,,,0.14,7259,46568,54669,,,190,906023,906023,2716,950942,950942,947550,676,1548,1552
2015-03-26,4,2014,,10417,205687,54728,-7651,9408,0.77,,13567,-20498.0,39512,,189016,2014年度,260521,252870,251155,244656,-24538,298626,3634355,3805714,171359,171359,195897,,-6314.0,0.77,6881,260521,274088,,664.0,1301,3634355,3634355,9383,3818420,3818420,3805714,3323,9366,8214
2015-04-30,1,2015,,19597,36624,5988,-9538,-27360,0.07,-9538.0,-497,,4279,-1775.0,43009,2015年01月01日至2015年03月31日,24126,14588,24285,14746,-23156,46785,789879,811506,21627,21627,44783,,,0.07,1774,24126,23629,,,106,789879,789879,2167,813970,813970,811506,297,-159,-158
2015-07-30,2,2015,,-68362,26352,11640,-76518,23297,0.06,-76518.0,-11193,,2377,-31453.0,41342,2015年第2季,20339,-56179,20430,-56087,-31050,40196,759030,769351,10321,10321,41371,,,0.06,29,20339,9146,,,173,759030,759030,2513,772403,772403,769351,539,-91,-92
2015-08-11,2,2016,,9459,545,4550,11723,463,0.04,11723.0,2204,,-4946,1801.0,41478,2016年第2季,13613,25336,13628,25353,15836,-19,752300,810221,57921,57921,42085,,,0.04,607,13613,15817,,,168,752300,752300,2710,813251,813251,810221,320,-15,-17
2015-10-29,3,2015,,-113567,4632,26108,-130461,10418,-0.03,-130461.0,6147,,-4088,-27312.0,46131,2015年第3季,-10267,-140728,-9281,-139736,-30612,26492,791255,807886,16631,16631,47243,,,-0.03,1112,-10267,-4120,,,160,791255,791255,2321,810273,810273,807886,66,-986,-992
2016-03-24,4,2015,-6815.0,-110804,81040,54201,-213784,6132,0.13,-206969.0,6552,,720,-102297.0,170308,2015年度,39597,-174187,40515,-173268,-89239,135388,3072299,3157366,85067,85067,174306,-8211.0,,0.13,3998,39597,46149,-1396.0,,573,3072299,3072299,10027,3168843,3168843,3157366,1450,-918,-919
2016-05-05,1,2016,,-44217,-5985,4160,-38614,-3152,0.01,-38614.0,5532,,2207,8755.0,39561,2016年01月01日至2016年03月31日,3524,-35090,3631,-34979,8825,231,680505,729961,49456,49456,40631,,,0.01,1070,3524,9056,,,151,680505,680505,1991,731977,731977,729961,25,-107,-111
2016-10-27,3,2016,,13530,26294,26503,20031,-4528,0.17,20031.0,669,,-612,11029.0,46887,2016年第3季,52235,72266,52315,72346,913,51991,794442,842840,48398,48398,47485,,,0.17,598,52235,52904,,,194,794442,794442,1906,844903,844903,842840,157,-80,-80
