date,season,year,什項支出,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,1405,221,2250,2710,-0.04,-0.04,,,,,-200,,906,2013年01月01日至2013年03月31日,-1192,1058,-1192,1058,,-2618,1426,14224,19085,4861,4861,7479,2292,-0.04,-0.04,4281,-1192,-1192,460.0,,,,14224.0,19085.0,,
2013-08-12,2,2013,,728,48,1360,1592,0.99,0.99,,,0.0,,-1363,,1114,2013年04月01日至2013年06月30日,29613,30973,29613,30973,,30200,-587,67880,105292,37412,37412,7212,2603,0.99,0.99,3495,29613,29613,232.0,,,0.0,67880.0,105292.0,,
2013-11-11,3,2013,,2652,437,742,877,0.0,0.0,,,0.0,788.0,-788,,1212,2013年07月01日至2013年09月30日,-90,652,-90,652,,-2391,2301,22478,27859,5381,5381,7772,2566,0.0,0.0,3994,-90,-90,135.0,,,0.0,22478.0,27859.0,,
2014-03-10,4,2013,,10398,1110,6230,7102,7.08,7.08,,,0.0,1293.0,-1293,,4221,2013年01月01日至2013年12月31日,212250,218480,212250,218480,,202035,10215,223449,455366,231917,231917,29882,9983,7.08,7.08,15678,212250,212250,872.0,,,0.0,223449.0,455366.0,0.0,0.0
2014-05-12,1,2014,2.0,6015,640,-377,-455,-0.45,-0.45,946.0,,17795.0,,-647,,1244,2014年01月01日至2014年03月31日,-13585,-13962,-13585,-13962,5071.0,-1798,6008,5827,11137,5310,5310,7108,2168,-0.45,-0.45,3696,-13585,4210,-78.0,,,,5827.0,11137.0,,
2014-08-11,2,2014,-165.0,-3534,915,-1720,-2072,0.03,0.03,-3699.0,,62.0,,-606,,1259,2014年第2季,1134,-586,1134,-586,0.0,4421,-3225,22576,33963,11387,11387,6966,2269,0.03,0.03,3438,1134,1196,-352.0,,0.0,0.0,22576.0,33963.0,,
2014-11-11,3,2014,,6089,1276,2437,2936,0.12,0.12,,,357.0,1241.0,-1241,,1106,2014年第3季,3567,6004,3567,6004,,-2200,6124,141,4228,4087,4087,6287,2067,0.12,0.12,3114,3567,3924,499.0,,,0.0,141.0,4228.0,,
2015-03-19,4,2014,,22465,3960,3310,3988,-0.21,-0.21,,,18473.0,7549.0,-7549,,4871,2014年度,-6293,-2983,-6293,-2983,,-6696,18876,30815,51407,20592,20592,27288,9068,-0.21,-0.21,13349,-6293,12180,678.0,,,,30815.0,51407.0,0.0,0.0
2015-05-11,1,2015,,-3305,999,-826,-50,-0.33,-0.33,,-826.0,0.0,,-1586,-945.0,1275,2015年01月01日至2015年03月31日,-9817,-10643,-9817,-10643,,-5925,-3892,1057,1506,449,449,6374,2089,,,3010,-9817,-9817,,-169.0,,,,,,
2015-08-11,2,2015,,-4967,1177,-1396,-91,-0.4,-0.4,,-1396.0,0.0,,-1496,-1591.0,1420,2015年第2季,-12034,-13430,-12034,-13430,,-6748,-5286,299,423,124,124,6872,2327,,,3125,-12034,-12034,,-286.0,,,,,,
2015-11-11,3,2015,,22065,1214,3569,203,0.49,0.49,,3569.0,0.0,,-2615,4097.0,1033,2015年第3季,14704,18273,14704,18273,,-5960,20664,362,547,185,185,6145,2082,,,3030,14704,14704,,731.0,,,,,,
2016-03-24,4,2015,,9120,5584,1846,-47,-0.89,-0.89,,1846.0,925.0,,-11469,-819.0,4741,2015年度,-26831,-24985,-26831,-24985,,-29141,3235,8148,4468,-3680,-3680,25461,8631,,,12089,-26831,-25906,,-2712.0,,,,,,
2016-05-05,1,2016,,-7062,863,-1512,-20,-0.42,-0.42,,-1512.0,-925.0,,-1887,-1492.0,1080,2016年01月01日至2016年03月31日,-12628,-14140,-12628,-14140,,-5467,-8086,1271,1543,272,272,5739,2048,,,2611,-12628,-13553,,0.0,,,,,,
2016-08-11,2,2016,,1003,913,-2268,-22,-0.27,-0.27,,-2268.0,0.0,,-1833,-2246.0,1133,2016年第2季,-8069,-10337,-8069,-10337,,-8152,83,2754,700,-2054,-2054,6098,2145,,,2820,-8069,-8069,,0.0,,,,,,
2016-11-09,3,2016,,-10316,851,-2587,-27,-0.58,-0.58,,-2587.0,0.0,,-1921,-2560.0,1044,2016年第3季,-17517,-20104,-17517,-20104,,-6131,-11386,206,53,-153,-153,5978,1953,,,2981,-17517,-17517,,0.0,,,,,,
