date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額
2013-08-12,2,2013,,,-5333,6290,40600,40600,-0.61,-0.61,,6530,62607,2013年01月01日至2013年06月30日,-29098,11502,-29098,11502,-15766,-6802,742690,848083,105393,105393,121159,10713,-0.61,-0.61,47839,-29098,-22568,7759
2014-04-28,4,2013,,,-608,19825,47420,47420,0.34,0.34,,22727,122030,2013年01月01日至2013年12月31日,17589,65009,17589,65009,36882,3434,1448911,1799487,350576,350576,313694,86197,0.34,0.34,105467,17589,40316,15783
2014-08-12,2,2014,,,3740,7857,-23974,-23974,0.58,0.58,,19623,53152,2014年上半年度,30312,6338,30312,6338,49282,653,690415,909116,218701,218701,169419,61722,0.58,0.58,54545,30312,49935,10944
2015-04-14,4,2014,,,10311,26071,31677,31677,1.72,1.72,,52767,106278,2014年度,102507,134184,102507,134184,138769,16505,1635959,2149191,513232,513232,374463,144081,1.71,1.71,124104,102507,155274,19877
2015-08-12,2,2015,,,10681,6184,-25803,-25803,1.04,1.04,-25803,42390,45466,2015年上半年度,70571,44768,70571,44768,106724,6237,843093,1129828,286735,286735,180011,70514,1.04,1.04,64031,70571,112961,10628
2016-03-11,4,2015,45857,45857,4571,19143,-32681,-78538,2.22,2.22,-78538,81877,106867,2015年度,165292,132611,165292,132611,245402,1767,1813988,2422162,608174,608174,362772,113884,2.21,2.21,142021,165292,247169,21947
2016-05-03,1,2016,-31021,-31021,-3941,6776,-7104,23917,0.31,0.31,23917,10760,21391,2016年01月01日至2016年03月31日,23586,16482,23586,16482,37898,-3552,266972,390273,123301,123301,85403,20566,0.31,0.31,43446,23586,34346,6387
2016-08-12,2,2016,4978,4978,-12968,12550,-37376,-42354,0.17,0.17,-42354,5890,26988,2016年第2季,13798,-23578,13798,-23578,26231,-6543,308491,415390,106899,106899,80668,16377,0.16,0.16,37303,13798,19688,6125
2016-11-12,3,2016,-41306,-41306,-4429,2854,-41897,-591,0.51,0.51,-591,19951,28308,2016年第3季,40843,-1054,40843,-1054,70299,-9505,627061,798153,171092,171092,100793,19598,0.50,0.50,52887,40843,60794,7930
