date,season,year,不動產重估增值,不重分類至損益之項目總額(稅後),代理手續費收入,代理費用,以成本衡量之金融資產利益,以成本衡量之金融資產損失,以成本衡量之金融資產淨損益,保管手續費,保證手續費收入,保證責任準備提存,信用卡循環利息收入,信用卡手續費收入,信託手續費,信託業務收入,信託附屬業務手續費收入,備供出售金融資產之已實現利益合計,備供出售金融資產之已實現損失合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,備供出售金融資產減損損失,備供出售金融資產減損迴轉利益,備供出售金融資產股利收入,備供出售金融資產處分利益,備供出售金融資產處分損失,兌換利益,兌換利益合計,兌換損失,兌換損失合計,兌換損益,其他不重分類至損益之項目,其他什項損益,其他什項支出,其他什項收入,其他利息以外損失,其他利息以外收益,其他利息以外淨損益,其他利息收入,其他利息費用,其他應收款呆帳費用,其他應收款呆帳費用調整,其他手續費收入,其他手續費費用,其他業務及管理費用,其他業務及管理費用合計,其他綜合損益（稅後）淨額,其他綜合損益－其他,其他資產減損損失,出售不良債權收入,出售不良債權淨損益,出售承受擔保品利益,出售承受擔保品損失,出售承受擔保品淨損益,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,匯費支出,匯費收入,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,員工訓練費用,國內信用狀手續費收入,國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,央行及同業存款利息費用,央行及同業融資利息費用,存放及拆放同業利息收入（銀行存款利息收入）,存款利息費用,後續可能重分類至損益之項目總額(稅後),所得稅（費用）利益,手續費收入合計,手續費淨收益,手續費費用合計,承兌手續費收入,承受擔保品減損損失,承受擔保品減損迴轉利益,投資型保險商品佣金(分潤)收入,投資有價證券利息收入（持有票債券利息收入）,折舊及攤銷費用合計,折舊費用,拆放銀行及同業利息收入,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,提存呆帳,提存呆帳調整,攤銷費用,收益,放款呆帳費用,放款呆帳費用調整,放款手續費收入,放款手續費收入(企金),放款手續費收入(消金),會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於母公司業主,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,淨收益,無活絡市場之債務商品投資利益,無活絡市場之債務商品投資損失,無活絡市場之債務商品淨投資損益,無活絡市場之債務工具投資利益,無活絡市場之債務工具投資損失,無活絡市場之債務工具淨投資損益合計,營業費用合計,營業資產出租淨損益,營業資產出租費用,營業資產租金收入,現金流量避險中屬有效避險部分之避險工具利益（損失）,發行債券利息費用,短期員工福利,確定福利計畫之再衡量數,確定福利計畫精算損益,租金,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,簽證手續費收入,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,財產交易利益,財產交易損失,財產交易淨損益,財產保險佣金(分潤)收入,費損,貼現及放款利息收入,資產報廢損失,資產報廢損失合計,資產減損損失合計,資產減損迴轉利益合計,資產減損（損失）迴轉利益淨額,跨行手續費,跨行手續費收入,退職後福利,透過損益按公允價值衡量之金融負債處分利益,透過損益按公允價值衡量之金融負債處分損失,透過損益按公允價值衡量之金融負債評價利益,透過損益按公允價值衡量之金融負債評價損失,透過損益按公允價值衡量之金融資產及負債利益合計,透過損益按公允價值衡量之金融資產及負債損失合計,透過損益按公允價值衡量之金融資產及負債損益,透過損益按公允價值衡量之金融資產股利收入,透過損益按公允價值衡量之金融資產處分利益,透過損益按公允價值衡量之金融資產處分損失,透過損益按公允價值衡量之金融資產評價利益,透過損益按公允價值衡量之金融資產評價損失,進出口業務手續費收入,附買回票債券負債利息費用,附賣回票債券投資利息收入,離職福利,非投資型保險佣金(分潤)收入
2013-04-29,1,2013,,,509,38,,,,,11540,,-11,733,1304,34603,,182654,,182654,-112637,,,,182654,,48888,48888,31729,31729,17159,,-2390,3241,851,3244,185995,182751,11021,0.0,1853,,80666,6716,139157,139522,-67379.0,0.0,,,,,,,820743,1300150,1006852,293298,187,18248,285760,212661,365,16,0.0,54528,0.98,0.98,,17215,89243,247237,,-107728,310246,299661,10585,0,,,,452781,9523,9523,90,,0.0,,0.0,,283907.0,,0,2182023,,,161815.0,,,2013年01月01日至2013年03月31日,,,1072401,1072401,1005022,1122020,,1827595,181805.0,,181805.0,,,,361706,2913,,2913,0.0,3759.0,212661,,0.0,,0.9,0.9,131,1005022.0,1072401,1180129,,-9270.0,,-107728,-116998,426,,426,,1001894,747026,3,-3,,,,2340,1825,,10172.0,13318,,2254,154090,15572,138518,,140507,0,3411,0.0,160,25087,,,
2013-07-29,2,2013,,,67569,47,305.0,,305.0,,17014,-184.0,-31,739,1107,36743,0.0,32137,,32137,-378350,,,14838.0,17299,,175812,175812,-28336,-28336,204148,,15526,1348,16874,1731,68753,67022,14741,0.0,0,0.0,20344,5046,113188,130830,-386244.0,,,,,0.0,,0.0,405082,1360213,1064475,295738,177,17017,156588,156914,423,14,,-9511,0.68,0.68,,18191,119666,252006,,-191163,365508,356724,8784,0,,,,462651,9711,9711,478,,,,,,355120.0,-198348.0,0,2073585,,,204265.0,,,2013年04月01日至2013年06月30日,,,824351,824351,438107,627653,,1469557,10806.0,383.0,10423.0,,,,297455,2948,,2948,,0.0,144517,,,17219.0,0.68,0.68,44,438107.0,824351,1015514,,1617.0,,-191163,-189546,37820,,37820,,604028,755012,0,0,,,,2407,1635,9896.0,8.0,157818,,144561,71162,326111,-254949,,114922,10679,-43768,13053.0,124,25541,7696.0,2501.0,
2013-10-21,3,2013,,,91130,40,20715.0,,20715.0,,10084,0.0,-11,732,815,18437,0.0,46196,,46196,633415,,,46196.0,0,,56706,56706,5895,5895,50811,,-22122,22835,713,22849,41537,18688,4916,0.0,0,0.0,16809,5066,123071,140132,616172.0,,,,,0.0,,0.0,628484,1442380,1126784,315596,180,15314,83967,251631,222,18,,-20774,0.92,0.92,,25542,166617,263863,,-165216,290489,281948,8541,0,,,,493217,9817,9817,9,,,,,,124806.0,-40839.0,0,2134392,,,135967.0,,,2013年07月01日至2013年09月30日,,1269721.0,1104505,1104505,1720677,1882362,,1755268,16600.0,0.0,16600.0,,,,401580,3084,,3084,,0.0,239176,,,16839.0,0.92,0.92,66,1720677.0,1104505,1269721,,3531.0,,-165216,-161685,425,,425,,379124,775482,14,-14,,,,2440,1611,9816.0,0.0,157232,,-117937,257084,26243,230841,5250.0,261784,2,-9950,-13054.0,321,26191,2150.0,2639.0,
2014-02-24,4,2013,,,318902,146,21020.0,,21020.0,,52121,750.0,-84,2922,4470,114566,0.0,388452,395.0,388057,484699,161453.0,,61034.0,327418,395.0,496454,496454,12104,12104,484350,,3228,33123,36351,33522,421042,387520,33838,1.0,4022,-10.0,60412,23448,482387,554568,459773.0,,,,,0.0,,0.0,2430890,5563599,4341162,1222437,735,66757,567374,848471,1856,60,,42043,3.53,3.53,,88786,547812,1023987,,-620528,1243571,1205016,38555,0,,,,1896029,39098,39098,884,,,,,,893302.0,-330690.0,0,8817022,,,620098.0,,,2013年01月01日至2013年12月31日,,4762541.0,4142013,4142013,4601786,5217211,,6772052,312490.0,383.0,312107.0,,,,1442137,12084,,12084,,3759.0,802244,,-72072.0,70325.0,3.45,3.45,271,4601786.0,4142013,4762541,,5103.0,,-620528,-615425,39097,,39097,,2044970,3074636,16,-16,161453.0,,-161453.0,9756,6708,39496.0,10194.0,480951,,84854,703905,576505,127400,5250.0,698098,10700,-9637,0.0,754,105904,10484.0,6731.0,
2014-04-28,1,2014,,,105155,24,,,,,14790,,52,701,1072,22133,,43638,,43638,419617,,,,43638,,221872,221872,222683,222683,-811,,-12,341,329,341,213891,213550,21953,,0,,12000,6387,120364,138582,439488.0,0.0,,174503.0,174503.0,,,,581661,1505099,1176767,328332,183,15438,-41435,202286,581,17,0.0,23969,1.05,1.05,,31991,188601,262522,,-185240,422547,412267,10280,0,,,,493992,8818,8818,37,,0.0,,0.0,,-41435.0,,0,2576500,,,250414.0,,,2014年01月01日至2014年03月31日,,1450177.0,1264937,1264937,1704425,1893763,,1758428,35079.0,,35079.0,,,,349686,3554,,3554,0.0,0.0,192029,,0.0,17637.0,1.05,1.05,7,1704425.0,1264937,1450177,,-4098.0,,-185240,-189338,426,,426,,818072,800203,0,0,,,,2614,1734,9997.0,0.0,302154,,-51986,169453,256436,-86983,,92911,6268,76542,,158,33819,261.0,260.0,
2014-08-11,2,2014,,,103823,23,57.0,43.0,14.0,-1.0,23100,111.0,16,705,698,26032,0.0,134134,570.0,133564,769238,,,15590.0,118544,570.0,-98118,-98118,-11214,-11214,-86904,,25986,2260,28246,28609,490257,461648,4729,0.0,0,0.0,23315,5651,123097,140961,733245.0,,14500.0,379815.0,379815.0,,,,1215360,1575022,1233983,341039,170,15322,114058,223468,656,45,,-43371,1.35,1.35,,34546,196037,270708,,-341119,543532,534388,9144,0,,,,516503,8568,8568,7,,,,,,,,0,2825694,113947.0,0.0,349270.0,,,2014年第2季,,1962288.0,1621169,1621169,2354414,2688155,,2449343,257.0,0.0,257.0,,,,372997,3347,,3347,,0.0,213027,,,17208.0,1.35,1.35,40,2354414.0,1621169,1962288,,7378.0,,-341119,-333741,78535,26306.0,52229,,376351,857413,0,0,14500.0,,-14500.0,2603,1652,10036.0,0.0,29355,,-36847,180867,-6297,187164,,163836,1195,17031,0.0,228,35785,317.0,405.0,
2014-10-27,3,2014,,,76397,26,22130.0,0.0,22130.0,0.0,7409,0.0,-3,661,742,24735,0.0,27431,0.0,27431,-397753,,,27234.0,197,0.0,78411,78411,-113325,-113325,191736,,1938,173,2111,173,33483,33310,3882,0.0,0,0.0,15059,4634,156193,175047,-362696.0,,0.0,0.0,0.0,5285.0,0.0,5285.0,349248,1625335,1274224,351111,199,16364,-25315,144250,1244,16,,42237,0.96,0.96,,27271,204810,284191,,-167955,269413,261202,8211,0,,4730.0,,525414,9231,9231,94,,,,,,,,0,2205859,-25315.0,0.0,126808.0,,,2014年第3季,,1320259.0,1152304,1152304,789608,964743,,1623472,182.0,0.0,182.0,,,,328528,3349,0.0,3349,,0.0,134132,,,17610.0,0.96,0.96,21,789608.0,1152304,1320259,,-7180.0,,-167955,-175135,426,0.0,426,,582387,890876,0,0,0.0,4730.0,4730.0,2610,1638,10118.0,0.0,76526,,143938,167056,336217,-169161,77295.0,282854,0,-193093,115753.0,305,39649,262.0,0.0,
2015-02-16,4,2014,,,358276,110,22187.0,43.0,22144.0,-2.0,58415,-248.0,117,2761,3243,92217,0.0,915003,1425.0,913578,-604680,0.0,10784.0,42824.0,872179,1425.0,191385,191385,106823,106823,84562,,41372,4250,45622,41247,808100,766853,36731,0.0,37000,0.0,81633,24490,590973,665001,-555624.0,,,554318.0,554318.0,5285.0,,5285.0,2811208,6331857,4953599,1378258,752,62446,114470,914879,4427,216,,82291,4.33,4.33,,118285,741258,1109490,,-837034,1553469,1514275,39194,0,14500.0,6138.0,,2081395,37069,37069,0,,,,,,77718.0,0.0,0,10689961,,,889787.0,,,2014年度,,6033388.0,5196354,5196354,4640730,5487809,,7764807,68754.0,62.0,68692.0,,,,1616949,13779,,13779,,0.0,872506,,-23190.0,69601.0,4.33,4.33,102,4640730.0,5196354,6033388,,-10045.0,,-837034,-847079,98155,35207.0,62948,,2925154,3470696,1685,-1685,14500.0,16922.0,2422.0,10601,6718,40907.0,0.0,635757,,500857,873225,1343707,-470482,77296.0,795929,31269,0,175824.0,898,150483,1660.0,1466.0,
2015-04-27,1,2015,0.0,0.0,100125,59,,,,,13716,,-38,676,893,21401,,14550,140420.0,-125870,666186,,53582.0,,14550,140420.0,54619,54619,84071,84071,-29452,0.0,381,162,543,162,4341,4179,5483,,0,,12483,4528,168990,189068,,,,0.0,0.0,,,,482873,1675043,1312398,362645,192,17330,-10640,281189,1330,200,,-29948,0.95,0.95,0.0,28531,183126,296370,641329.0,-179289,445867,437274,8593,0,,,,545687,10075,10075,0,0.0,,0.0,,0.0,-10640.0,,0,2726706,,,,277726.0,,2015年01月01日至2015年03月31日,641329.0,1325579.0,1146290,1146290,1787619,1961817,1787619.0,1795271,,,,149.0,,149.0,480332,3649,,3649,,0.0,271322,0.0,,18748.0,0.95,0.95,70,,1146290,1325579,0.0,,5091.0,-179289,-174198,0,,0,,931435,938565,0,0,,53582.0,53582.0,2921,1815,9851.0,0.0,292410,289764.0,0,478704,335544,143160,,188940,22122,0,21012.0,325,37744,2220.0,16.0,
2015-08-03,2,2015,,,130970,68,41.0,0.0,41.0,0.0,18859,22217.0,25,675,757,24834,0.0,214970,209728.0,5242,13623,27430.0,0.0,211404.0,3566,209728.0,34596,34596,35672,35672,-1076,,10945,317,11262,317,15252,14935,3207,24.0,0,0.0,17721,5691,154626,173253,,,0.0,0.0,0.0,,,,918500,1614800,1257867,356933,196,16326,129700,263355,1012,990,,-25700,1.03,1.03,,21587,132397,302677,-7708.0,-356755,408267,398605,9662,0,,,,534717,11137,11137,0,,,,,,,,0,2848367,107483.0,0.0,,196002.0,,2015年第2季,-7708.0,1598922.0,1242167,1242167,1234459,1586845,1234459.0,2176367,,,,186.0,0.0,186.0,447745,3588,,3588,,0.0,252446,,,17615.0,1.03,1.03,58,,1242167,1598922,,,4369.0,-356755,-352386,175,0.0,175,,672000,941231,0,0,27430.0,0.0,-27430.0,2950,1692,10189.0,0.0,52584,45474.0,0,560482,32258,528224,2700.0,303293,686,209015,-21012.0,140,32645,3223.0,720.0,
