date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位稅後損益,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,523,-1425,8532,8532.0,,56754,68983,0.66,,,,30471,28136,2013年01月01日至2013年03月31日,,80547,137301,83924,139275,106468,4550,690990,891802,200812,200812,94344,13618,,0.65,,52590,80547,111018,,12752.0,,2557,,-3377,-1974
2013-08-12,2,2013,,,,1431,6367,5701,,,39609,45997,0.94,,,,54538,31395,2013年04月01日至2013年06月30日,,112385,151994,118886,157487,156078,10845,859043,1124387,265344,265344,109266,15409,,0.92,,62462,112385,166923,,7819.0,,1223,,-6501,-5493
2013-11-11,3,2013,,,,1133,-6572,12494,,-9537.0,-16049,-20701,1.16,1.16,0.0,,44046,36222,2013年07月01日至2013年09月30日,0.0,130479,114430,146963,131059,169875,4650,832190,1124743,292553,292553,113141,10662,,1.14,1.14,66257,130479,174525,,-3519.0,,1272,,-16484,-16629
2014-03-24,4,2013,,-41706.0,-41706.0,3909,17238,36370,,,124878,146983,4.01,4.18,0.0,,178878,134038,2013年01月01日至2013年12月31日,0.0,483689,608567,509155,631056,656468,47805,3180989,4270222,1089233,1089233,432765,54153,,3.95,4.12,244574,525395,704273,,26014.0,,5803,,-25466,-22489
2014-05-08,1,2014,,607.0,607.0,394,16593,17772,,,21415,25324,1.2,1.2,,,45632,32524,2014年01月01日至2014年03月31日,,153633,175048,151975,173048,166050,32608,725444,1005005,279561,279561,113511,19294,,1.17,1.17,61693,153026,198658,,4303.0,,1757,,1658,2000
2014-08-11,2,2014,,-210.0,-210.0,654,-8568,13351,,,-45779,-55944,0.84,0.84,,,55382,40142,2014年第2季,,110443,64664,106413,61368,162484,3551,841882,1133381,291499,291499,129015,21214,,0.83,0.83,67659,110653,166035,,-9511.0,,1232,,4030,3296
2014-11-11,3,2014,,-11.0,-11.0,-173,31176,9035,,0.0,32019,38787,1.42,1.42,,,46844,37888,2014年第3季,,190948,222967,180676,219320,198130,39673,903285,1230908,327623,327623,129493,22407,,1.41,1.41,69198,190959,237803,,6595.0,,538,1230908.0,10272,3647
2015-03-23,4,2014,,386.0,386.0,2570,67159,57672,,,123367,145538,4.87,4.87,,,198422,162726,2014年度,,635545,758912,618721,749105,713616,119965,3322809,4555972,1233163,1233163,519547,88398,,4.8,4.8,268423,635159,833581,,24741.0,,4866,,16824,9807
2015-05-11,1,2015,,0.0,0.0,1727,-10704,15969,,,-40487,-50860,1.09,1.09,,-40487.0,40000,38898,2015年第1季,,136699,96212,138854,98367,172091,4608,797430,1102413,304983,304983,132892,20204,,1.08,1.08,73790,136699,176699,,,-8646.0,657,,-2155,-2155
2015-08-10,2,2015,,0.0,0.0,1155,583,12280,,,-15894,-20541,1.05,1.05,,-15894.0,87586,39335,2015年第2季,,131984,116090,134198,118304,208359,11211,956929,1297383,340454,340454,132095,18789,,1.04,1.04,73971,131984,219570,,,-3492.0,1652,,-2214,-2214
2015-11-09,3,2015,,0.0,0.0,-2194,74641,16654,,,76606,94940,2.11,2.11,,76606.0,75898,57420,2015年第3季,,269744,346350,269020,345626,255290,90352,990537,1396948,406411,406411,151121,20582,,2.09,2.09,73119,269744,345642,,,16140.0,943,,724,724
2016-03-28,4,2015,-3001.0,0.0,0.0,42,69807,59680,,,-68074,-78452,5.4,5.4,,-65073.0,295966,197928,2015年度,,684893,616819,688143,620662,855540,125319,3662850,5116152,1453302,1453302,597762,80585,-3616.0,5.35,5.35,319249,684893,980859,-615.0,,-13337.0,4168,,-3250,-3843
2016-05-10,1,2016,,,,-660,-7537,10094,,,-30373,-35799,0.97,0.97,,-30373.0,52603,60664,2016年01月01日至2016年03月31日,,123617,93244,124893,94520,173977,2243,826426,1162353,335927,335927,161950,19943,,0.97,0.97,81343,123617,176220,,,-6086.0,314,,-1276,-1276
2016-08-09,2,2016,,,,502,10609,25418,,,-91035,-110285,1.73,1.73,,-91035.0,107566,45527,2016年第2季,,218184,127149,221379,130344,290151,35599,942955,1380231,437276,437276,147125,19987,,1.73,1.73,81611,218184,325750,,,-18748.0,428,,-3195,-3195
2016-11-07,3,2016,,,,-774,-30040,127361,,,-109588,-131101,2.45,2.45,,-109588.0,60926,55907,2016年第3季,,312092,202504,313980,204392,276244,96774,968110,1407807,439697,439697,163453,19265,,2.45,2.45,88281,312092,373018,,,-22287.0,547,,-1888,-1888
