date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資性不動產損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨折讓,銷貨收入合計,銷貨收入淨額
2013-05-09,1,2013,,2548,8023,18876,20361,2993.0,85080,10711,,77057,-0.03,-0.03,10423.0,,,7291,,-1167,,-1167,,173223,2013年01月01日至2013年03月31日,-9910,75170,-9910,75170,-38311,35692,620878,830911,210033,210033,248344,,,6657,-0.03,-0.03,75121,-9910,-2619,,,,5093,,,2378,5908,,3167,834078,830911
2013-08-08,2,2013,,27582,20093,-46862,36683,1512.0,64625,11287,2553.0,43136,-0.15,-0.15,-15064.0,,,6909,1396.0,-2896,,-2896,,186239,2013年04月01日至2013年06月30日,-57022,7603,-57022,7603,-34485,-15628,613342,832807,219465,219465,253950,,,6631,-0.15,-0.15,67711,-57022,-50113,17253.0,,,77,,,2553,-4293,,339,833146,832807
2013-11-14,3,2013,,17203,-18113,-11985,52311,1289.0,-45929,10518,2434.0,-28148,-0.07,-0.07,-3212.0,,,482,332.0,-5174,,-5174,,175455,2013年07月01日至2013年09月30日,-29676,-75605,-29676,-75605,-61912,32718,550760,726980,176220,176220,238132,,,7884,-0.07,-0.07,62677,-29676,-29194,32620.0,,,242,,,2434,8188,,53,727033,726980
2014-03-27,4,2013,,58864,-27433,36297,143776,18838.0,101260,39892,9848.0,130574,0.04,0.04,-10739.0,,,15594,3345.0,-18959,,-18959,,743773,2013年01月01日至2013年12月31日,16629,117889,16629,117889,-119043,151266,2426368,3315949,889581,889581,1008624,,-5226.0,34976,0.04,0.04,264851,16629,32223,50070.0,,,87592,,,9848,18308,,3602,3319551,3315949
2014-05-14,1,2014,,3488,33083,14873,92496,81989.0,32163,6977,2272.0,2119,0.23,0.23,-1164.0,,,7121,-3039.0,15869,,15869,,188588,2014年01月01日至2014年03月31日,85839,118002,85839,118002,-28006,120966,646973,880087,233114,233114,261120,,,3530,0.23,0.23,72532,85839,92960,,,,7390,4226.0,,2272,7909,,40,880127,880087
2014-08-08,2,2014,,4634,40848,2100,39376,12050.0,-6164,6985,2080.0,-47362,-0.04,-0.04,-1229.0,,,1573,350.0,-4216,,-4216,,202336,2014年第2季,-15060,-21224,-15060,-21224,-48667,35180,507394,739872,232478,232478,281145,,,3413,-0.04,-0.04,78809,-15060,-13487,16928.0,-2.0,,3787,26.0,,2080,4152,,10,739882,739872
2014-11-12,3,2014,,2777,353242,13063,38553,236.0,413288,4878,2524.0,59321,-0.17,-0.17,-1817.0,,,-10060,725.0,-6168,,-6168,,209833,2014年第3季,-65510,347778,-65510,347778,-118494,42924,606435,772566,166131,166131,284625,,,4225,-0.17,-0.17,74792,-65510,-75570,29214.0,10.0,,22179,,,2524,-4532,,192,772758,772566
2015-03-25,4,2014,,25657,411725,18866,199711,104244.0,495881,22825,9510.0,90482,0.08,0.08,-462.0,,,-9178,-2879.0,341,,341,,759610,2014年度,29101,524982,29101,524982,-189485,209408,2357695,3286766,929071,929071,1118556,,-3447.0,26175,0.08,0.08,358946,29101,19923,46467.0,1420.0,,33102,,,9510,10463,,285,3287051,3286766
2015-05-13,1,2015,,3896,4556,-7560,8710,0.0,-15505,3065,2930.0,-20224,-0.25,-0.25,-8441.0,,-15505.0,505,,-1005,,-1005,163.0,220478,2015年01月01日至2015年03月31日,-93089,-108594,-93089,-108594,-89799,-2785,718894,938842,219948,219948,309747,,,5645,,,89269,-93089,-92584,,152.0,,5434,,,2930,-809,,616,939458,938842
2015-08-12,2,2015,,2591,-46984,-5580,28592,1729.0,-75712,3181,2721.0,-28714,-0.24,-0.24,-1236.0,,-75712.0,50,,-3714,,-3714,-14.0,227402,2015年第2季,-90047,-165759,-90047,-165759,-106574,16577,587254,807158,219904,219904,326478,,,4781,,,99076,-90047,-89997,18901.0,0.0,,0,,,2721,-1753,,900,808058,807158
