date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,9128,5812,34333,27027,0.56,0.56,,32832,,14337.0,20152,,228715,2013年01月01日至2013年03月31日,142827,177160,141631,172042,144776,30883,590859,1138007,547148,547148,402372,,88235,,,0.56,0.56,85422,142827,175659,,7031.0,,4209,1196,5118
2013-08-12,2,2013,,,1065,24313,297,12817,0.54,0.54,,34588,,-12459.0,17127,,245587,2013年04月01日至2013年06月30日,135579,135876,136206,135054,132260,37907,635799,1213298,577499,577499,445239,,110254,,,0.54,0.54,89398,135579,170167,,61.0,,4598,-627,822
2013-11-11,3,2013,,1274.0,39897,14524,-44433,-16112,0.55,0.55,,36321,,-38956.0,12353,,226652,2013年07月01日至2013年09月30日,137036,92603,138374,95893,112345,61012,752075,1300137,548062,548062,435717,,91731,,,0.55,0.55,117334,137036,173357,,-9361.0,,5762,-1338,-3290
2014-03-31,4,2013,,5837.0,27831,75716,-105020,-23068,2.44,2.44,,136180,,-377.0,62376,,1011260,2013年01月01日至2013年12月31日,618821,513801,618969,507689,609357,145644,2759575,5061661,2302086,2302086,1692729,,348414,,-107365.0,2.44,2.44,333055,618821,755001,,-19953.0,,20279,-148,6112
2014-05-13,1,2014,,-547.0,8996,28834,44570,32777,0.71,0.71,,52400,,21193.0,21370,,264331,2014年01月01日至2014年03月31日,182123,226693,180544,223220,180425,54098,731346,1343811,612465,612465,432040,,81044,,,0.71,0.71,86665,182123,234523,,8853.0,,5102,1579,3473
2014-08-08,2,2014,,-371,-9620,24115,-32647,-34362,0.73,0.73,,53493,,-3822,9481,,242057,2014年第2季,185903,153256,185709,156494,220500,18896,808169,1500420,692251,692251,471751,,87756,,0,0.73,0.73,141938,185903,239396,,-5908,,5080,194,-3238
2014-11-07,3,2014,,478.0,6940,24297,19275,21424,0.77,0.77,,51168,,453.0,27040,,251375,2014年第3季,196070,215345,194185,209700,193859,53379,798761,1451420,652659,652659,458800,,77924,,0.0,0.77,0.77,129501,196070,247238,,3080.0,,4898,1885,5645
2015-03-27,4,2014,,166.0,-56742,115837,32402,33062,2.84,2.84,,204034,,-227.0,73515,,1028392,2014年度,728267,760669,720058,743556,818784,113517,3161056,5826555,2665499,2665499,1846715,,378869,,3072.0,2.84,2.84,439454,728267,932301,,3671.0,,19093,8209,17113
2015-05-08,1,2015,,246,-6508,40017,-57554,-14083,0.78,0.78,-57554,48968,,,41083,-54911,272091,2015年01月01日至2015年03月31日,197547,139993,196908,142501,176991,69524,809874,1443608,633734,633734,456743,,95533,,,0.78,0.78,89119,197547,246515,,,-11194,5068,639,-2508
2015-08-07,2,2015,,38.0,-10521,10585,-67712,-50272,0.63,0.63,-67712.0,47822,,,17771,-30919.0,288526,2015年第2季,169976,102264,168111,102527,204783,13015,881579,1541786,660207,660207,455424,,64823,,,0.63,0.63,102075,169976,217798,,,-13441.0,4820,1865,-263
2015-11-06,3,2015,,-195.0,27430,9025,20526,93963,0.83,0.83,20526.0,50616,,,43040,-71195.0,298061,2015年第3季,218443,238969,220560,230361,195696,73363,783821,1464381,680560,680560,484864,,83083,,,0.83,0.83,103720,218443,269059,,,2047.0,6132,-2117,8608
2016-03-25,4,2015,-33422.0,1737.0,66648,101245,-143720,-116986,3.35,3.35,-110298.0,215594,-1923.0,,124877,,1164572,2015年度,895399,751679,893254,747013,841203,269790,3328529,6034169,2705640,2705640,1864437,,300527,-37951.0,,3.35,3.35,399338,895399,1110993,-6452.0,,-4951.0,22980,2145,4666
2016-05-06,1,2016,,-1692,-14721,14572,58305,8358,0.53,0.53,58305,30910,,,21813,64411,295765,2016年01月01日至2016年03月31日,139913,198218,142203,200929,157125,13698,772047,1440871,668824,668824,511699,-475,96149,,,0.53,0.53,119785,139913,170823,,,12297,7966,-2290,-2711
2016-08-05,2,2016,,985.0,4738,186833,-20393,7709,1.17,1.17,-20393.0,53130,,,28168,-21506.0,304783,2016年第2季,302933,282540,312538,294468,145902,210161,914460,1585935,671475,671475,525573,,94256,,,1.17,1.17,126534,302933,356063,,,7581.0,9578,-9605,-11928
2016-11-04,3,2016,,-1070.0,-14633,14731,-57036,-33693,0.37,0.37,-57036.0,24794,,,16820,-44845.0,308089,2016年第3季,86068,29032,99828,41007,105807,5055,943943,1562896,618953,618953,513146,,81959,,,0.37,0.37,123098,86068,110862,,,-22572.0,11863,-13760,-11975
