date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額
2013-05-10,1,2013,,-157800,47664,19554,,0.0,,-135338,11,23755,0.28,,,11727,,,25731,,25579,2013年01月01日至2013年03月31日,130712,-4626,130712,-4626,49501,92938,1128105,1227231,99126,99126,49625,1823,,,0.28,,22223,130712,142439,,1293.0,,11,,1128105.0,,1227231.0
2013-08-07,2,2013,,-197966,8756,114959,114959.0,,-559.0,-190114,37,8411,0.34,0.34,,16764,,,17789,,29858,2013年04月01日至2013年06月30日,158057,-32057,158057,-32057,33354,141467,1264712,1349596,84884,84884,51530,1904,,,0.34,0.34,19768,158057,174821,,,,37,,1264712.0,,1349596.0
2013-11-11,3,2013,,-18982,-5858,65266,65266.0,,,-30420,76,-13303,0.27,0.27,,14603,,,8944,,32721,2013年07月01日至2013年09月30日,126644,96224,126644,96224,72971,68276,1420402,1548361,127959,127959,54988,1865,,,0.27,0.27,20402,126644,141247,,-1865.0,,76,1420402.0,1420402.0,1548361.0,1548361.0
2014-03-13,4,2013,,-389177,39295,221093,,,,-340879,238,15519,1.14,1.14,,69102,,37671.0,66550,,119256,2013年01月01日至2013年12月31日,536855,195976,536855,195976,279257,326700,5312870,5804229,491359,491359,212102,7724,,-4568.0,1.14,1.14,85122,536855,605957,,324.0,,238,,5312870.0,,5804229.0
2014-05-09,1,2014,,-116499,-11989,19042,,0.0,,-116704,12,11090,0.22,,,22110,,-9570.0,9420,,21510,2014年01月01日至2014年03月31日,105176,-11528,105176,-11528,110825,16461,1189248,1344360,155112,155112,44287,2042,,,0.22,,20735,105176,127286,,1725.0,,12,,1189248.0,,1344360.0
2014-08-07,2,2014,,46957,-9857,77777,77777.0,,,34049,11,-9819,0.35,0.35,,24359,,-4754.0,-17,,22745,2014年第2季,162505,196554,162505,196554,118972,67892,1401050,1567774,166724,166724,47752,1995,,,0.35,0.35,23012,162505,186864,,-1665.0,,11,,1401050.0,,1567774.0
2014-11-07,3,2014,,-368824,19447,50460,,,-1855.0,-368271,11,8802,0.32,,,19155,,-6394.0,8758,,22904,2014年第3季,150781,-217490,150781,-217490,91282,78654,1332531,1471854,139323,139323,48041,2089,,,0.32,,23048,150781,169936,,,,11,,,,
2015-03-11,4,2014,,-172436,-2770,168353,,,,-155795,101,31728,1.06,1.06,,83980,,-15593.0,10664,,87608,2014年度,499933,344138,499933,344138,407767,176146,4978473,5566285,587812,587812,180045,7996,,5743.0,1.06,1.06,84441,499933,583913,,5237.0,,101,,4978473.0,,5566285.0
2015-05-11,1,2015,,-118227,16403,38056,,,,-142133,61,-12409,0.26,,-142133.0,19944,,,7014,-13112.0,23916,2015年01月01日至2015年03月31日,121311,-20822,121311,-20822,79843,61412,1104824,1230665,125841,125841,45998,1908,,,0.26,,20174,121311,141255,,,-1615.0,61,,1104824.0,,1230665.0
2015-08-07,2,2015,,-401610,12074,61413,,,,-427011,337,-9902,0.36,,-427011.0,41113,,,19315,-16967.0,24572,2015年第2季,179888,-247123,179888,-247123,128536,92465,1078411,1256818,178407,178407,49871,1665,,,0.36,,23634,179888,221001,,,-1468.0,337,,1078411.0,,1256818.0
2015-11-11,3,2015,,-101360,-15229,57787,57787.0,,,-86374,1313,23643,0.21,,-86374.0,11957,,,-7340,-6251.0,21878,2015年第3季,104246,17872,104246,17872,82298,33905,1106383,1234632,128249,128249,45951,1555,,,0.21,,22518,104246,116203,,,2406.0,1313,,,,
2016-03-11,4,2015,-1346.0,-731450,16929,177481,,,,-748875,2029,-4060,1.08,1.08,-747529.0,95461,-537.0,,29711,-13218.0,93942,2015年度,531557,-217318,531557,-217318,404926,222092,4452518,5045856,593338,593338,188412,6504,-971.0,,1.08,1.08,87966,531557,627018,-162.0,,-1199.0,2029,,4452518.0,,5045856.0
2016-05-12,1,2016,,83796,-28136,16301,,,,76454,563,-3275,0.19,,76454.0,19703,,,15210,-5036.0,23281,2016年01月01日至2016年03月31日,96014,172468,96014,172468,112905,2812,1170026,1333909,163883,163883,50978,1687,,,0.19,,26010,96014,115717,,,-969.0,563,,1170026.0,,1333909.0
2016-08-10,2,2016,,-9798,-4906,69557,,,,-27523,1535,-4714,0.41,,-27523.0,44003,,,30923,-14106.0,21845,2016年第2季,199845,172322,199845,172322,149809,94039,1083314,1284548,201234,201234,51425,1720,,,0.4,,27860,199845,243848,,,-1095.0,1535,,1083314.0,,1284548.0
2016-11-09,3,2016,,191089,-7783,67211,67211.0,,,169358,9579,-21790,0.3,,169358.0,17119,,,22694,-3434.0,23341,2016年第3季,148878,318236,148878,318236,93454,72543,1262134,1404126,141992,141992,48538,1585,,,0.3,,23612,148878,165997,,,-3493.0,9579,,,,
