date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估價之利益（損失）,重估增值,銀行存款利息,銷貨成本合計,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,,-9215,39153,,,935913,39153.0,291554.0,,935913,0.05,,,,141769,,,,55670,2013年01月01日至2013年03月31日,,,94807,1030720,,77999,984932,920584.0,1560867.0,498192,-261616,920584,1560867,640283,640283,142091,,,,0.05,,86421,94807,236576,,,,291554,,,39153.0,0.0,16808,45788
2013-08-13,2,2013,,,,,-4278,42240,,,602819,42240.0,300629.0,,602819,0.1,0.1,,,68856,,,,60150,2013年04月01日至2013年06月30日,,,186047,788866,,166217,754929,1037571.0,1703580.0,517570,-262667,1037571,1703580,666009,666009,148439,,,,0.1,0.1,88289,186047,254903,,,,300629,,,42240.0,,19830,33937
2013-10-30,3,2013,,,,,-4672,45525,,,-348780,45525.0,287045.0,,-348780,0.19,0.19,,,240300,,,,90951,2013年07月01日至2013年09月30日,,,344072,-4708,,330322,-28947,2178565.0,3188920.0,830564,-246192,2178565,3188920,1010355,1010355,179791,,,,0.19,0.19,88840,344072,584372,,,,287045,,,45525.0,,13750,24239
2014-03-17,4,2013,,,,,-14600,166002,,,1913131,166002.0,1136782.0,,1913131,0.75,0.75,,,921849,,,,367813,2013年01月01日至2013年12月31日,,,1380508,3293639,,1307046,3147208,6718936.0,10767050.0,3287737,-985380,6718936,10767050,4048114,4048114,760377,,,,0.75,0.75,392564,1380508,2302357,,,,1136782,,,166002.0,,73462,146431
2014-05-08,1,2014,,,,,-8091,18066,,,-167436,18066.0,231832.0,,-167436,0.14,,,,154475,,,,47929,2014年第1季,,,273115,105679,,249333,84656,599360.0,1375389.0,649447,-221857,599360,1375389,776029,776029,126582,,,,0.14,,78653,273115,427590,,,,231832,,,18066.0,0.0,23782,21023
2014-08-08,2,2014,,,0.0,0.0,57186,21937,,0.0,-937260,,,0.0,-937260,0.12,0.12,0.0,,257223,,,0.0,52444,2014年第2季,0.0,,235186,-702074,0.0,211587,-671710,,,662685,-170276,665570,1496474,830904,830904,168219,0.0,,0.0,0.12,0.12,115775,235186,492409,,0.0,0.0,249399,0.0,,,,23599,-30364
2014-11-10,3,2014,,,0.0,,28627,22334,2319403.0,0.0,1318628,22334.0,,,1318628,0.86,0.86,0.0,,1293501,,,,56642,2014年第3季,0.0,,1512047,2830675,,1491039,2739501,,,3000795,-195247,650170,1472336,822166,822166,140774,,,,0.86,0.86,84132,1512047,2805548,,,,246208,0.0,,,,21008,91174
2015-03-06,4,2014,,,0.0,,73341,86606,4572518.0,0.0,2040338,,,,2040338,1.67,1.67,0.0,,3966699,,,,256350,2014年度,0.0,,3121242,5161580,,2898663,4838699,,,7905088,-817147,3711091,7687342,3976251,3976251,643681,,,,1.66,1.66,387331,3121242,7087941,,,,977094,0.0,,,,222579,322881
2015-05-11,1,2015,-508473.0,-508473.0,0.0,,7103,32598,,,-593219,,,,-84746,0.33,0.33,0.0,-84746.0,486224,,,,78860,2015年01月01日至2015年03月31日,0.0,,592312,-907,,570410,3595,,,1267404,-188868,1913538,3367135,1453597,1453597,186193,,,,0.33,0.33,107333,592312,1078536,,,,228569,,,,,21902,-4502
2015-08-06,2,2015,-377919.0,-377919.0,,,-11754,27525,1353044.0,,-730042,,,,-352123,0.46,0.46,0.0,-352123.0,1110638,,,,84070,2015年第2季,0.0,1110638.0,872333,142291,,795527,105187,,,2181298,-198327,1052986,2068777,1015791,1015791,187537,,,,0.46,0.46,103467,872333,1982971,,,,214098,,,,,76806,37104
