date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,0.0,,,32611,35763,408216,491827,1.05,,198287,,,472777,2013年01月01日至2013年03月31日,769089,1177305,,769089,1177305,923675,43701,5099316,6776218,1676902,1676902,753227,106812,,,,1.05,173638,769089,967376,,83611.0,,,24673,,5099316.0,,0.0,0.0
2013-08-13,2,2013,,,,,,8823,45247,235035,283174,1.21,,293957,,,571922,2013年04月01日至2013年06月30日,888482,1123517,,888482,1123517,1145042,37397,5833675,7892911,2059236,2059236,914194,126945,,,,1.21,215327,888482,1182439,,48139.0,,,16673,,,7892911.0,,
2013-11-10,3,2013,,,,,,-42450,84617,-174391,-210109,1.06,,193155,,,584326,2013年07月01日至2013年09月30日,810768,636377,,810768,636377,976579,27344,5510558,7377090,1866532,1866532,889953,132613,,,,1.06,173014,810768,1003923,,-35718.0,,,14823,,5510558.0,,,
2014-03-26,4,2013,,,,129218.0,135294.0,18307,195813,695071,839064,4.41,,971448,,,2338960,2013年01月01日至2013年12月31日,3366962,4062033,,3237744,3926739,4221758,116652,24362996,32450584,8087588,8087588,3865830,513014,,-2873.0,,4.41,1013856,3366962,4338410,,141120.0,,,97468,,,,,
2014-05-12,1,2014,,,0.0,0.0,0.0,69314,44848,268602,323616,1.12,,222234,,,666217,2014年01月01日至2014年03月31日,856104,1124706,,856104,1124706,997259,81079,5877781,7901890,2024109,2024109,1026850,129790,,,,1.12,230843,856104,1078338,,55014.0,,,33083,,5877781.0,,0.0,0.0
2014-08-12,2,2014,,,,0.0,0.0,-62115,61186,-353261,-425615,1.19,,281373,,,749213,2014年第2季,910491,557230,,910491,557230,1226032,-34168,6712457,9101326,2388869,2388869,1162837,146157,,,0.0,1.19,267467,910491,1191864,,-72354.0,,,33239,,,9101326.0,,
2014-11-12,3,2014,,,,0.0,0.0,22955,64394,338607,407960,1.15,,308186,,,730100,2014年第3季,935762,1274369,,935762,1274369,1192685,51263,6157156,8413978,2256822,2256822,1064137,142014,,,,1.15,192023,935762,1243948,,69353.0,,,36086,,,8413978.0,,
2015-03-25,4,2014,,,,0.0,0.0,139573,284640,1056172,1320197,4.5,,900149,,,2859256,2014年度,3677419,4733591,,3677419,4733591,4297930,279638,24486803,33292513,8805710,8805710,4507780,701856,,-47701.0,,4.5,946668,3677419,4577568,,216324.0,,,144575,,,,,
2015-05-11,1,2015,,,0.0,0.0,0.0,-74354,89717,-308973,-372256,0.7,-308973.0,125077,,,664031,2015年01月01日至2015年03月31日,567893,258920,,567893,258922,720327,-27357,5569101,7433072,1863971,1863971,1143644,244262,,,,0.7,235351,567893,692970,,,-63283.0,,42720,,5569101.0,,0.0,-2.0
2015-08-11,2,2015,0.0,0.0,,0.0,0.0,-12561,70819,-235300,-283494,1.03,-235300.0,342923,0.0,0.0,698526,2015年第2季,844017,608717,0.0,844017,608717,1176428,10512,6062728,8447797,2385069,2385069,1208641,261531,0.0,,,1.03,248584,844017,1186940,0.0,,-48194.0,0.0,47746,0.0,,8447797.0,,0.0
2015-11-12,3,2015,,,,0.0,0.0,291173,230517,760385,916127,1.48,760385.0,221187,,,687053,2015年第3季,1271448,2031833,,1271447,2031833,1010037,482598,5924598,8111536,2186938,2186938,1176901,264349,,,,1.48,225499,1271448,1492635,,,155742.0,,39092,,,8111536.0,1.0,0.0
2016-03-22,4,2015,,-33065.0,,,,261062,474736,-116415,-100421,4.04,-83350.0,824047,,,2781130,2015年度,3466977,3350562,,3466978,3350564,3729789,561235,22651694,31239954,8588260,8588260,4858471,1051598,-39837.0,,,4.04,1025743,3466977,4291024,-6772.0,,-17071.0,,174563,,,,-1.0,-2.0
2016-05-03,1,2016,,,0.0,0.0,0.0,-104743,54930,-348553,-419943,0.75,-348553.0,106007,,,622206,2016年01月01日至2016年03月31日,638810,290257,,638810,290257,838177,-93360,5205810,7192238,1986428,1986428,1148251,274697,,,,0.74,251348,638810,744817,,,-71390.0,,43547,,5205810.0,,0.0,0.0
2016-08-10,2,2016,,,,0.0,0.0,130488,59140,-299524,-360873,1.01,-299524.0,311833,,,689478,2016年第2季,866003,566479,,866003,566479,1029548,148288,5668127,7945424,2277297,2277297,1247749,297929,,,,1.01,260342,866003,1177836,,,-61349.0,,41340,,,7945424.0,,0.0
2016-11-10,3,2016,,,,0.0,0.0,-33799,105854,-760312,-916038,0.85,-760312.0,105030,,,619778,2016年第3季,746296,-14016,,746297,-14016,817782,33544,5211503,7163822,1952319,1952319,1134537,284844,,,,0.85,229915,746296,851326,,,-155726.0,,38511,,,7163822.0,-1.0,0.0
