date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,1072.0,,62024,,,2408,12934,5410.0,0.0,343071,5587.0,12544.0,42031,0.27,0.27,1937.0,3480.0,0.0,,2564,,239016.0,191374.0,191374,,48743,2013年01月01日至2013年03月31日,229649,572720,233515,573814,38041,194172,1121907,1254001,132094,132094,94053,2564.0,5373,,,24529.0,24529,63207.0,63207,0.27,0.27,39937,229649,232213,,,0.0,0.0,12544,0.0,1097378.0,1097378,1190794.0,1190794,-3866,-1094
2013-08-13,2,2013,,,,-304521,0.0,0.0,8337,3587,,,-1341674,,,19521,0.39,0.39,,,,,61115,,-1056674.0,350245.0,350245,,47777,2013年04月01日至2013年06月30日,328651,-1013023,331903,-1011198,39971,349795,1200058,1328638,128580,128580,88609,61115.0,5581,,,23272.0,23272,74429.0,74429,0.39,0.39,35251,328651,389766,,,,,12374,,1176786.0,1176786,1254209.0,1254209,-3252,-1825
2013-11-12,3,2013,,,,339451,,,2530,79997,,,870189,,,-17720,0.49,0.49,,,,,5082,,548458.0,,290383,,48988,2013年07月01日至2013年09月30日,409823,1280012,414941,1286098,55851,359054,1195326,1343924,148598,148598,92747,5082.0,5987,,,24232.0,24232,70255.0,70255,0.49,0.49,37772,409823,414905,,,,,13856,,1171094.0,1171094,1273669.0,1273669,-5118,-6086
2014-03-28,4,2013,,,,367741,,,33018,97742,,,627151,,,90135,1.57,1.57,,,,,53760,,181555.0,,1055205,,201477,2013年01月01日至2013年12月31日,1322356,1949507,1334288,1960641,241573,1134543,4754103,5364070,609967,609967,368394,,23168,,117.0,,95507,,279619,1.56,1.56,143749,1322356,1376116,12397.0,,,,51422,,,4658596,,5084451,-11932,-11134
2014-05-13,1,2014,,,,86849,,,6927,1998,,,242319,,,5847,0.78,0.78,,,,,16266,,149623.0,,628395,,51215,2014年01月01日至2014年03月31日,660832,903151,666867,909474,51803,625295,1090896,1245028,154132,154132,102329,,6843,,,,24164,,68277,0.78,0.78,44271,660832,677098,,,,,12025,,,1066732,,1176751,-6035,-6323
2014-08-13,2,2014,,,,56448,,,7061,2907,,,13917,,,-28425,0.54,0.54,,,,,50737,,-14106.0,,459741,,54745,2014年第2季,457100,471017,462665,477955,49836,458001,1180628,1332916,152288,152288,102452,,6721,,,,22973,,75090,0.54,0.54,40986,457100,507837,,,,,11708,,,1157655,,1257826,-5565,-6938
2014-11-12,3,2014,,,,-225052,,,5869,121772,,,-899248,,,33220,0.5,0.5,,,,,10486,,-707416.0,,270829,,51741,2014年第3季,417568,-481680,429926,-471011,41652,386402,1168562,1335809,167247,167247,125595,,5851,,,,23792,,72144,0.5,0.5,68003,417568,428054,,,,,12068,,,1144770,,1263665,-12358,-10669
2015-03-31,4,2014,,,,-138435,,,16702,134615,,,-57109,,,61645,2.01,2.01,,,,,79740,,20162.0,,1409172,,213776,2014年度,1688479,1631370,1718864,1659861,254584,1513635,4631248,5302422,671174,671174,416590,,25478,,-481.0,,94243,,288325,2.01,2.01,177336,1688479,1768219,0.0,,,,46854,,,4537005,,5014097,-30385,-28491
2015-05-13,1,2015,,,,-104833,,,-2297,2415,,,-460166,,,-14986,0.33,,,,,-460166.0,6352,,,,246433,-340347.0,57669,2015年01月01日至2015年03月31日,282478,-177688,281506,-178127,52351,236479,1097685,1253789,156104,156104,103753,,6835,,,,28005,,79069,0.33,,39249,282478,288830,,,,,10072,,,1069680,,1174720,972,439
2015-08-07,2,2015,,,,397417,,,-4220,3119,,,942125,,,-20845,0.84,0.84,,,,942125.0,17403,,,,700154,565553.0,72168,2015年第2季,715225,1657350,714942,1657881,44119,688509,1147402,1308460,161058,161058,116939,,6360,,,,27140,,84606,0.84,0.84,38411,715225,732628,,,,,10544,,,1120262,,1223854,283,-531
