date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,115795,40234,11052,273849,134072,0.21,0.21,,99962,,21526.0,47034,,167770,2013年01月01日至2013年03月31日,332155,606004,334735,608584,338444,93673,4450313,5107408,657095,657095,318651,13060,,,0.21,0.21,137821,332155,432117,,-2456.0,,4647,-2580,-2580
2013-08-09,2,2013,,-103605,21356,47461,-106968,-10188,0.25,0.25,,143103,,11661.0,44569,,175209,2013年04月01日至2013年06月30日,394276,287308,397300,290332,428872,108507,4783164,5527926,744762,744762,315890,10105,,,0.25,0.25,130576,394276,537379,,4836.0,,4879,-3024,-3024
2013-11-08,3,2013,,397096,14768,80963,327074,-63098,0.2,0.2,,104985,,-6906.0,14685,,196669,2013年07月01日至2013年09月30日,312464,639538,315702,642776,311361,106088,5036155,5728143,691988,691988,380627,10618,,,0.2,0.2,173340,312464,417449,,18.0,,4328,-3238,-3238
2014-03-20,4,2013,,480058,99509,150613,643704,97923,0.76,0.76,,396772,,50404.0,126612,,711520,2013年01月01日至2013年12月31日,1196961,1840665,1212397,1856101,1235087,358646,18972240,21549291,2577051,2577051,1341964,46160,,26161.0,0.76,0.76,584284,1196961,1593733,,10842.0,,18088,-15436,-15436
2014-05-09,1,2014,,-145429,20088,9222,-45194,106417,0.08,0.08,,39155,,-2002.0,17118,,160251,2014年01月01日至2014年03月31日,106415,61221,119488,74294,104119,41451,4135954,4561889,425935,425935,321816,9663,,,0.07,0.07,151902,106415,145570,,4180.0,,4977,-13073,-13073
2014-08-07,2,2014,,-249297,11821,55066,-408071,-146528,0.08,0.08,,64380,,-13265.0,-2419,,192303,2014年第2季,118457,-289614,132459,-275602,134330,48507,4730841,5213569,482728,482728,348398,8241,,,0.08,0.08,147854,118457,182837,,-1019.0,,15961,-14002,-14012
2014-11-10,3,2014,,-261808,30616,81482,-156275,93977,0.08,0.08,,21804,,13264.0,35632,,205684,2014年第3季,118968,-37307,133817,-22452,-5191,145963,5123446,5506991,383545,383545,388736,9096,,,0.08,0.08,173956,118968,140772,,1708.0,,1767,-14849,-14855
2015-03-19,4,2014,,-781646,103684,162970,-489919,263108,0.29,0.29,,153063,,34240.0,81129,,819894,2014年度,378889,-111030,474995,-14911,214879,317073,19018173,20764981,1746808,1746808,1531929,35041,,-3355.0,0.29,0.29,676994,378889,531952,,2266.0,,30710,-96106,-96119
2015-05-08,1,2015,,-91250,-9211,104387,-217165,-114824,0.12,0.12,-217165.0,46391,,,90071,-7289.0,377421,2015年01月01日至2015年03月31日,190808,-26357,203513,-13652,76841,160358,4636230,5279253,643023,643023,566182,7938,,,0.12,0.12,180823,190808,237199,,,3802.0,24889,-12705,-12705
2015-08-10,2,2015,,-396810,16510,105906,-540868,-132393,0.26,0.26,-540868.0,109060,,,86601,-10373.0,328277,2015年第2季,404360,-136508,426378,-114483,329144,184276,5124164,5965110,840946,840946,511802,7610,,,0.26,0.26,175915,404360,513420,,,1292.0,24741,-22018,-22025
