date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,279000.0,,,244775,-256047,75750,,25108.0,816553,71755,646128,0.09,,,,122238,,35492.0,15518,,339997,2013年01月01日至2013年03月31日,199753,1016306,193807,1008349,304108.0,541630,-219639,4753836,5935354,1181518,1181518,639888,86795,,,3995,0.09,213096,199753,321991,,,109842.0,,,,54860,86280,38219,,5935354,5946,7957
2013-08-06,2,2013,170000.0,,,-189890,-309380,84057,,-21650.0,261331,80560,483629,0.17,,,,188547,,49808.0,47837,,370121,2013年04月01日至2013年06月30日,368219,629550,371400,631539,212899.0,796024,-239258,4908672,6458878,1550206,1550206,754182,92862,,,3497,0.17,291199,368219,556766,,,82216.0,,,,61772,79715,176196,64549.0,6458878,-3181,-1989
2013-11-08,3,2013,496762.0,,,206139,-529424,194912,91357.0,,48540,97860,-161189,0.25,,,,154578,,-23811.0,36767,,356807,2013年07月01日至2013年09月30日,469343,517883,459515,509131,496762.0,987167,-363246,4827926,6520216,1692290,1692290,705123,93623,,,5695,0.15,254693,469343,623921,,,-27401.0,,,,65501,37245,69907,0.0,6520216,9828,8752
2014-03-25,4,2013,1244949,,,291308,-1111227,376332,,-130991,1443281,354552,1161979,0.75,,,,676116,,98060,225029,,1437742,2013年01月01日至2013年12月31日,1470944,2914225,1449623,2889214,1178507,2917838,-770778,18936054,24735047,5798993,5798993,2881155,366037,,-4521,21780,0.68,1077376,1470944,2147060,,,103545,,,,260912,295624,228344,64549,24735047,21321,25011
2014-04-24,1,2014,0.0,,,251432,110065,142728,,-130079.0,650746,137304,469106,0.44,,,,172632,,11201.0,29559,,362977,2014年01月01日至2014年03月31日,957269,1608015,950212,1603236,-130079.0,884589,245312,4923534,6545093,1621559,1621559,736970,89845,,,5424,0.44,284148,957269,1129901,,,80993.0,,,,37040,63264,83278,,6545093,7057,4779
2014-08-12,2,2014,0.0,,,-79241,15624,137103,-7542.0,0.0,-549980,139431,-524472,0.43,,,,407147,,-41671.0,51120,,362016,2014年第2季,953134,403154,943473,395069,0.0,1200592,159689,5153190,7096328,1943138,1943138,742546,86754,,,5214,0.43,293776,953134,1360281,,,-95404.0,,,,44158,33815,18191,0.0,7096328,9661,8085
2014-10-31,3,2014,0.0,,,5987,-2774,247613,99593.0,,128747,142582,102454,0.69,,,,226950,,46060.0,56544,,377651,2014年第3季,1188791,1317538,1179457,1305976,0.0,1166405,249336,5238545,7166217,1927672,1927672,761267,89725,,,5438,0.69,293891,1188791,1415741,,,25754.0,,,,52047,31283,34057,0.0,7166217,9334,11562
2015-03-13,4,2014,0,,,53359,86306,738931,160809,,714240,556377,705556,2.30,,,,938121,,98264,181985,,1485346,2014年度,3892563,4606803,3863046,4575287,0,4027052,803632,19979522,27026984,7047462,7047462,3020410,352957,,-7755,21745,2.30,1182107,3892563,4830684,,,135184,,,,203590,256943,170637,0,27026984,29517,31516
2015-04-17,1,2015,0.0,,,56831,-56784,169571,49469.0,0.0,-597235,115071,-766597,1.4,,,-597235.0,171014,,,50226,-20204.0,346489,2015年01月01日至2015年03月31日,944007,346772,932722,339985,0.0,1009884,105137,5175887,6931271,1755384,1755384,745500,84455,,,5031,1.39,314556,944007,1115021,,,,-132735.0,,,57876,57596,114380,,6931271,11285,6787
2015-08-12,2,2015,0,,0,21178,-11622,135453,-2762,0,-116059,116365,-134546,1.07,38865,0,-116059,344509,,,59795,-31599,348281,2015年第2季,734435,618376,723900,608876,0,948389,130555,5277794,6932693,1654899,1654899,706510,92167,,,4762,1.07,266062,734435,1078944,17088,,,-28908,-29,0,53071,80482,130940,0,6932693,10535,9500
2015-11-04,3,2015,0.0,,,-319628,261917,357599,242866.0,,889859,109498,1366584,1.86,,,889859.0,233871,,,60327,89135.0,373166,2015年第3季,1239760,2129619,1227952,2111259,0.0,850310,623321,5487225,7113651,1626426,1626426,776116,93426,,,5235,1.85,309524,1239760,1473631,,,,246232.0,,,56522,265124,3207,0.0,7113651,11808,18360
2016-03-11,4,2015,69498.0,-2812.0,,-267906,356540,660013,197930.0,,-381298,441599,-153408,5.48,,,-378486.0,891310,-2090.0,,217219,15885.0,1439076,2015年度,3672065,3290767,3630267,3249847,69498.0,3545987,1017388,20973877,27512865,6538988,6538988,2993001,366312,250.0,,20484,5.45,1187613,3672065,4563375,,972.0,,-26943.0,,,216384,946256,520218,0.0,27512865,41798,40920
2016-04-19,1,2016,,,,-134057,-166218,75642,-4656.0,,-633170,71282,-551488,1.25,-24085.0,,-633170.0,132156,,,40052,-45213.0,365707,2016年01月01日至2016年03月31日,821649,188479,809835,178800,,1047402,-93597,5510561,7312432,1801871,1801871,754469,93518,,,4959,1.24,295244,821649,953805,4057.0,,,-97588.0,-2250.0,,43073,63569,203452,,7312432,11814,9679
2016-08-08,2,2016,0.0,,0.0,-64033,179888,103978,2743.0,0.0,-702786,73628,-727310,1.44,166703.0,0.0,-702786.0,413732,,,53574,-41718.0,390225,2016年第2季,932690,229904,918844,218254,0.0,1049301,297121,5674825,7487996,1813171,1813171,763870,100616,,,4952,1.42,273029,932690,1346422,22655.0,,,-130275.0,1356.0,0.0,40319,71472,59643,0.0,7487996,13846,11650
2016-11-01,3,2016,0.0,,,271286,-220775,178842,63058.0,,-511895,84923,-874484,1.73,31608.0,,-511895.0,129233,,,72306,-69328.0,387968,2016年第3季,907658,395763,890795,377128,0.0,1060368,-23477,5813221,7627528,1814307,1814307,753939,92683,,,5060,1.72,273288,907658,1036891,25801.0,,,-160631.0,158.0,,53850,17272,269813,0.0,7627528,16863,18635
