date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失
2013-04-25,1,2013,,1183.0,,-606,6257,1653,31807,4604,0.0,31807,0.32,0.32,13712,0.0,,29500,1048.0,50551,2013年01月01日至2013年03月31日,65625,97432,65625,97432,,88426,6699,972458,1638644,666186,666186,577760,443837,,,0.32,0.32,83372,65625,95125,,0.0,1787.0,,0.0,0.0,11348.0
2013-08-01,2,2013,,,,-1666,31063,1024,11026,4439,,11026,0.55,0.55,6419,,,99419,8300.0,59846,2013年04月01日至2013年06月30日,114666,125692,114666,125692,783.0,176388,37697,1097707,1900549,802842,802842,626454,477486,,,0.55,0.55,89122,114666,214085,25600.0,-507.0,,-2053.0,,-4742.0,
2013-10-23,3,2013,,,,242,5290,1196,-4934,4068,,-4934,0.26,0.26,-5655,,,94102,3648.0,53737,2013年07月01日至2013年09月30日,54629,49695,54629,49695,0.0,139551,9180,1044190,1744452,700262,700262,560711,413672,,,0.26,0.26,93302,54629,148731,26.0,23.0,,-4.0,,5878.0,
2014-01-23,4,2013,,,,3535,46810,4274,54757,16910,,53743,1.25,1.25,19695,,,239070,16094.0,228566,2013年01月01日至2013年12月31日,259215,313972,259215,313972,783.0,431846,66439,4023208,6809449,2786241,2786241,2354395,1782576,,1014.0,1.24,1.24,343253,259215,498285,25626.0,-1846.0,,-2250.0,,-11281.0,
2014-04-22,1,2014,,,,-263,4943,1163,17580,3780,,17580,0.21,0.21,8581,,,15997,4670.0,61429,2014年01月01日至2014年03月31日,44241,61821,44241,61821,,50888,9350,925261,1617630,692369,692369,641481,495286,,,0.21,0.21,84766,44241,60238,,14.0,,,,,8858.0
2014-07-31,2,2014,,,,2048,45920,2225,-15022,4095,,-15022,0.87,0.87,-4463,,,27677,5648.0,64512,2014年第2季,180479,165457,180479,165457,0.0,154540,53616,1064777,1893628,828851,828851,674311,510990,,,0.86,0.86,98809,180479,208156,39600.0,-174.0,,1.0,,6684.0,
2014-10-23,3,2014,,,,-2233,5377,1170,-4825,4197,,-4825,0.42,0.42,7123,,,21211,3528.0,62440,2014年第3季,87904,83079,87904,83079,0.0,102443,6672,1054312,1792067,737755,737755,635312,489607,,,0.42,0.42,83265,87904,109115,10.0,-1066.0,,0.0,,-8290.0,
2015-01-30,4,2014,,,,14531,61479,5706,13738,16163,,19872,1.65,1.65,24278,,,77469,14564,249126,2014年度,343090,356828,343090,356828,0,329985,90574,3925873,6821877,2896004,2896004,2566019,1972682,,-6134,1.64,1.64,344211,343090,420559,39610,,1032,13183,,,21898
2015-04-28,1,2015,,,,2257,5252,1493,-18393,3759,,-18393,0.46,0.46,-1909,,-18393.0,20985,0.0,57844,2015年01月01日至2015年03月31日,95766,77373,95766,77373,,109242,7509,911804,1632293,720489,720489,611247,469311,,,0.46,0.46,84092,95766,116751,,347.0,,,,,-3819.0
2015-07-30,2,2015,,,,-964,47698,1533,1635,4453,1344.0,1635,0.77,0.77,-2093,,1635.0,38124,0.0,62196,2015年第2季,160399,162034,160399,162034,,153133,45390,1130144,1924091,793947,793947,640814,488158,,,0.76,0.76,90460,160399,198523,41712.0,413.0,,0.0,1344.0,716.0,
2015-10-26,3,2015,,,,9770,16388,1839,45025,3977,0.0,45025,0.71,0.71,24735,,45025.0,30065,0.0,66177,2015年第3季,148286,193311,148286,193311,,152193,26158,1170627,1986624,815997,815997,663804,509399,,,0.71,0.71,88228,148286,178351,10572.0,26.0,,0.0,0.0,-14991.0,
2016-01-28,4,2015,-29644.0,,,11567,75508,6568,-12225,16656,1344.0,17419,2.26,2.26,21852,,17419.0,102963,0.0,246434,2015年度,469022,456797,469022,456797,,486254,85731,4263860,7313387,3049527,3049527,2563273,1970357,-29644.0,,2.24,2.24,346482,469022,571985,52284.0,891.0,,0.0,1344.0,-11176.0,
2016-04-22,1,2016,,,,-807,5884,1681,-5880,4203,,-5880,0.38,0.38,4825,,-5880.0,33357,,52708,2016年01月01日至2016年03月31日,78851,72971,78851,72971,,107131,5077,1083141,1852235,769094,769094,661963,526048,,,0.38,0.38,83207,78851,112208,,335.0,,,,,5967.0
2016-07-27,2,2016,,,81778.0,17131,58891,5192,69986,4419,0.0,-11792,1.25,1.25,-2500,,69986.0,37517,,58199,2016年第2季,260041,330027,260041,330027,,221536,76022,1279957,2222630,942673,942673,721137,569549,,,1.25,1.25,93389,260041,297558,49280.0,-414.0,,18874.0,0.0,1171.0,
2016-10-21,3,2016,,,15476.0,3981,13488,1426,-8028,3988,0.0,-23504,0.69,0.69,-770,,-8028.0,19072,,59091,2016年第3季,143923,135895,143923,135895,,145526,17469,1299085,2149636,850551,850551,705025,557556,,,0.69,0.69,88378,143923,162995,8074.0,-14.0,,0.0,0.0,4765.0,
