date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-08-12,2,2014,,0,0,0,0,0.00,0.00,,0,0,2014年第2季,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0.00,0,0,0,0,,0,0,0
2014-11-11,3,2014,,5146,2269,5290,6374,0.87,0.87,,15800,10484,2014年第3季,87017,92307,87017,92307,103258,-441,133558,297819,164261,164261,61003,,,0.86,0.86,50519,87017,102817,1084,,7856,0,0
2015-03-19,4,2014,,10967,10159,3283,11158,3.04,3.04,,69979,39939,2014年度,304204,307487,304204,307487,375684,-1501,620959,1246237,625278,625278,249594,,-7875,2.97,2.97,209655,304204,374183,0,,22627,0,0
2015-05-12,1,2015,,-1124,2649,-3190,-3190,0.91,0.91,-3190,24095,10429,2015年01月01日至2015年03月31日,91924,88734,91924,88734,119536,-3517,182553,369319,186766,186766,67230,,,0.90,0.90,56801,91924,116019,,,5042,0,0
2015-08-11,2,2015,,-3686,2200,-4898,-4898,1.17,1.17,-4898,27032,9612,2015年第2季,130958,126060,130958,126060,161073,-3083,154989,389895,234906,234906,73833,,,1.17,1.17,64221,130958,157990,,0,1597,0,0
2015-11-12,3,2015,,8821,2137,14741,14741,1.20,1.20,14741,27785,11504,2015年第3季,133601,148342,133601,148342,151810,9576,181387,407725,226338,226338,74528,,,1.20,1.20,63024,133601,161386,,0,1382,0,0
2016-02-26,4,2015,13730,-3207,10727,6860,-6870,4.71,4.71,-6870,110322,45936,2015年度,513544,520404,513544,520404,625569,-1703,708392,1624504,916112,916112,290543,13730,,4.69,4.69,244607,513544,623866,,,9223,,
2016-05-06,1,2016,,-3956,2686,-2270,-2270,1.28,1.28,-2270,42151,12036,2016年01月01日至2016年03月31日,142430,140160,142430,140160,186774,-2193,196175,455419,259244,259244,72470,,,1.28,1.28,60434,142430,184581,,,923,,
2016-08-12,2,2016,,-2578,2966,-10706,-10706,1.29,1.29,-10706,28313,10952,2016年第2季,143335,132629,143335,132629,172037,-389,173796,416588,242792,242792,70755,,,1.28,1.28,59803,143335,171648,,,777,0,0
2016-11-11,3,2016,,-7559,4609,-12854,-12854,1.28,1.28,-12854,28679,11359,2016年第3季,143008,130154,143008,130154,175444,-3757,179157,427098,247941,247941,72497,,,1.28,1.28,61138,143008,171687,,,807,,
