date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,4233,,10052,25753,11115,34194.0,,-9980,597,9591,2.29,2.29,14638.0,,88578,,-23804.0,13431,,28825,2013年01月01日至2013年03月31日,530189,520209,526517,516860,570128,48639,1419989,2077489,657500,657500,87372,23930,,,2.28,2.28,34617,530189,618767,,597,2043295.0,3672,3349
2013-08-05,2,2013,,2299,,1773,13646,13646,,,-36732,729,2161,2.47,2.47,0.0,,95462,,-41192.0,21816,,36645,2013年04月01日至2013年06月30日,568536,531804,569515,533156,627492,36506,1680037,2400891,720854,720854,93362,21324,,,2.46,2.46,35393,568536,663998,,729,,-979,-1352
2013-11-08,3,2013,,40866,,1252,14146,14146,,,86629,563,-5368,2.7,2.7,0.0,,106149,,51131.0,28595,,56665,2013年07月01日至2013年09月30日,628011,714640,621501,707718,690730,43430,1510282,2315456,805174,805174,114444,19967,,,2.7,2.7,37812,628011,734160,,563,,6510,6922
2014-03-20,4,2013,,76175,,24254,70779,56141,,-729.0,118868,2624,9378,9.6,9.6,14638.0,,374452,,29757.0,80682,,152008,2013年01月01日至2013年12月31日,2220982,2339850,2209911,2328799,2422343,173091,6009957,8819953,2809996,2809996,387653,79278,,4287.0,9.56,9.56,156367,2220982,2595434,,2624,,11071,11051
2014-05-08,1,2014,,-16936,,10862,10973,10973,51489.0,,-54036,488,8483,2.74,2.74,0.0,,111031,,-45583.0,17783,,39801,2014年01月01日至2014年03月31日,630926,576890,631567,577870,702827,39130,1579538,2390796,811258,811258,108431,37494,,,2.73,2.73,31136,630926,741957,,488,2339307.0,-641,-980
2014-08-11,2,2014,,69044,,13945,11952,11952,,,62116,686,-7466,2.57,2.57,0.0,,105363,,538.0,21084,,41285,2014年第2季,591328,653444,590387,652641,650396,46295,1636133,2401366,765233,765233,114837,31374,,,2.56,2.56,42178,591328,696691,,686,,941,803
2014-11-10,3,2014,,58346,,606,12565,12565,,,93610,799,6889,2.64,2.64,0.0,,100158,,28375.0,37906,,35963,2014年第3季,609784,703394,607696,700949,659664,50278,1535387,2301688,766301,766301,106637,22525,,,2.63,2.63,48149,609784,709942,,799,,2088,2445
2015-03-20,4,2014,,138948,,40708,49759,49759,,1677.0,149996,2797,23173,9.5,9.5,0.0,,379273,,-3935.0,99222,,153236,2014年度,2188574,2338570,2187189,2337229,2380955,186892,6077761,8904302,2826541,2826541,445586,115861,,-9867.0,9.46,9.46,176489,2188574,2567847,,2797,,1385,1341
2015-05-07,1,2015,,-29660,,67793,9037,9037,28544.0,,-53178,781,-4368,1.7,1.7,,-53178.0,56849,,,17589,-19150.0,30339,2015年01月01日至2015年03月31日,392349,339171,392414,338905,355560,93638,1154570,1586706,432136,432136,76576,35771,,,1.7,1.7,10466,392349,449198,,781,1558162.0,-65,266
2015-08-11,2,2015,,-45179,,-5096,11272,11272,17400.0,,-98196,380,-5516,1.53,1.53,,-98196.0,59179,,,15159,-47501.0,30403,2015年第2季,352831,254635,352713,254517,391055,20955,1114378,1591789,477411,477411,86356,17340,,,1.52,1.52,38613,352831,412010,,380,1574389.0,118,118
