date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-02-11,4,2013,,-185,9620,7891,3512,1793,5.29,5.29,,65505,172637,2013年01月01日至2013年12月31日,687384,690896,687384,690896,735624,17265,5296044,6558767,1262723,1262723,527099,160545,,2294,5.06,5.06,193917,687384,752889,,390,246,0,0
2014-05-14,1,2014,,594,1390,4629,355,-239,1.09,1.09,,25407,53770,2014年01月01日至2014年03月31日,141843,142198,141843,142198,161271,5979,1359333,1676472,317139,317139,155868,39739,,,1.05,1.05,62359,141843,167250,,,40,,
2014-11-12,3,2014,,0,6480,5916,1290,1290,0.43,0.43,,13114,59670,2014年第3季,61356,62646,61356,62646,62228,12242,1567607,1790042,222435,222435,160207,40150,,,0.41,0.41,60387,61356,74470,,,154,,
2015-03-27,4,2014,,-272,14354,21768,3936,1778,3.07,3.07,,143394,247047,2014年度,422013,425949,422013,425949,529823,35584,5926145,7114256,1188111,1188111,658288,163757,,2928,2.99,2.99,247484,422013,565407,,498,538,,
2015-08-07,2,2015,,-331,-167,7699,-1158,-827,0.29,0.29,-1158,-7713,66514,2015年第2季,42831,41673,42831,41673,28373,6745,1210752,1397594,186842,186842,158469,38698,,,0.29,0.29,53257,42831,35118,,,787,,
2016-03-29,4,2015,343,294,1873,23252,-429,-1066,2.38,2.38,-772,69074,244697,2015年度,342783,342354,342783,342354,387651,24206,5124868,6170439,1045571,1045571,657920,174263,413,,2.32,2.32,238960,342783,411857,70,,919,,
2016-05-10,1,2016,,38,-3311,4529,-116,-154,0.21,0.21,-116,10427,56315,2016年01月01日至2016年03月31日,29739,29623,29739,29623,38948,1218,1103275,1293705,190430,190430,151482,36423,,,0.20,0.20,58744,29739,40166,,,0,,
2016-11-10,3,2016,0,0,-8718,3145,-1259,-1259,0.26,0.26,-1259,9283,80968,2016年第3季,36877,35618,36877,35618,51740,-5580,1496725,1727484,230759,230759,179019,37587,0,,0.26,0.26,60464,36877,46160,0,,7,,
