date,season,year,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,-1510,4727,4727.0,29990,29990,-0.43,-0.43,,,,-4954,19573,2013年01月01日至2013年03月31日,-28077,1913,-28077,1913,,,-34638,1607,251750,282891,31141,31141,65779,8482,,,,37724,-28077,-33031,1610,,,,
2013-08-13,2,2013,,,-3593,1931,1931.0,17790,17790,-0.42,-0.42,,,,-4584,29267,2013年04月01日至2013年06月30日,-27744,-9954,-27744,-9954,,,-29187,-3141,270743,315215,44472,44472,73659,9005,,,,35387,-27744,-32328,1479,,,,
2013-11-12,3,2013,,,4495,3334,3334.0,-10476,-10476,-0.08,-0.08,3671.0,3671.0,,-237,21423,2013年07月01日至2013年09月30日,-5145,-15621,-5145,-15621,3671.0,3671.0,-11977,6595,254676,314112,59436,59436,71413,8072,,,,41918,-5145,-5382,1234,251005.0,310441.0,,
2014-03-18,4,2013,,,-4423,14588,14588,52263,52234,-0.84,-0.84,,,,-9788,105302,2013年01月01日至2013年12月31日,-55088,-2825,-55088,-2825,13226,13226,-69708,4832,1035784,1252374,216590,216590,286298,30883,29,,,150113,-55088,-64876,5333,1022558,1239148,,
2014-05-12,1,2014,,,311,2058,2058.0,15683,15683,-0.18,-0.18,,,,-1677,27065,2014年01月01日至2014年03月31日,-11767,3916,-11767,3916,,,-14503,1059,210484,269576,59092,59092,73595,7147,,,,39383,-11767,-13444,1310,,,,
2014-08-14,2,2014,,,-4255,2734,2734.0,-20900,-20900,0.15,0.15,,,,3643,24667,2014年第2季,9645,-11255,9645,-11255,,,16176,-2888,258208,339666,81458,81458,65282,5932,,,,34683,9645,13288,1367,,,,
2014-11-11,3,2014,,,3711,3108,3108,19299,19299,0.32,0.32,,,,5507,25577,2014年第3季,20856,40155,20856,40155,,,21339,5024,256808,348192,91384,91384,70045,5469,,0.31,0.31,38999,20856,26363,1795,,,,
2015-03-30,4,2014,,,-969,11714,11714.0,61408,61408,0.63,0.63,,,,6648,98972,2014年度,41245,102653,41245,102653,12041.0,20439.0,42369,5524,1004854,1330070,325216,325216,282847,26182,0.0,0.62,0.62,157693,41245,47893,5221,992813.0,1309631.0,,
2015-05-12,1,2015,,,-180,4401,4401.0,-15340,-15340,-0.02,-0.02,,,-15340.0,579,18608,2015年01月01日至2015年03月31日,-1533,-16873,-1533,-16873,105.0,2475.0,-3757,2803,167349,225157,57808,57808,61565,4810,,,,38147,-1533,-954,1418,167244.0,222682.0,,
2015-08-11,2,2015,0.0,0.0,111,7187,,-11346,-11346,-0.18,,,,-11346.0,-1425,15547,2015年第2季,-11901,-23247,-11901,-23247,1149.0,1398.0,-18842,5516,136023,177189,41166,41166,60008,6128,,,,38333,-11901,-13326,1782,134874.0,175791.0,0.0,0.0
2015-11-12,3,2015,0.0,0.0,23179,3769,,35537,35537,0.33,,,,35537.0,5826,15490,2015年第3季,21939,57476,21939,57476,178.0,165.0,1684,26081,125923,178474,52551,52551,50867,5293,,0.33,,30084,21939,27765,867,125745.0,178309.0,0.0,0.0
2016-03-23,4,2015,0.0,0.0,35514,17949,,-9235,-9235,0.17,,,,-9235.0,6409,71914,2015年度,11102,1867,11102,1867,1455.0,4046.0,-30445,47956,523488,724754,201266,201266,231711,22848,,0.16,,136949,11102,17511,5507,522033.0,720708.0,0.0,0.0
2016-05-13,1,2016,,,1808,7442,,-17095,-17095,-0.01,,,,-17095.0,-116,12245,2016年01月01日至2016年03月31日,-890,-17985,-890,-17985,6.0,3006.0,-8597,7591,79776,119830,40054,40054,48651,4046,,,,32360,-890,-1006,1659,79770.0,116824.0,,
2016-08-09,2,2016,,,16635,1482,,-16921,-16921,0.0,,,,-16921.0,-2054,9404,2016年第2季,163,-16758,163,-16758,7.0,1.0,-18572,16681,82097,111337,29240,29240,47812,5091,,,,33317,163,-1891,1436,82090.0,111336.0,,
2016-11-09,3,2016,0.0,0.0,-3183,2207,2207.0,-34270,-34270,-0.07,,,,-34270.0,-648,9889,2016年第3季,-4519,-38789,-4519,-38789,493.0,137.0,-2743,-2424,67689,107594,39905,39905,42648,3331,,-0.07,,29428,-4519,-5167,1448,67196.0,107457.0,0.0,0.0
