date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,270,16797,2852,,1263.0,281.0,45155,53291,-0.14,-0.14,,8669,53231,2013年01月01日至2013年03月31日,-24206,20949,-25683,17358,-15645,108,685032,795859,110827,110827,126472,1173,,,-0.14,-0.14,72068,-24206,-15537,,8406.0,,19541,683769.0,795578.0,1477,3591
2013-08-07,2,2013,,-371,12674,7829,7829.0,2525.0,533.0,27733,34566,-0.4,-0.4,,17358,50882,2013年04月01日至2013年06月30日,-72031,-44298,-73177,-46127,-55168,495,721692,806933,85241,85241,140409,3648,,,-0.4,-0.4,85879,-72031,-54673,,6462.0,,20008,719167.0,806400.0,1146,1829
2013-11-06,3,2013,,274,-11287,7300,7300.0,2040.0,467.0,-13048,-16048,-0.38,-0.38,,1484,64315,2013年07月01日至2013年09月30日,-66167,-79215,-68723,-81291,-40488,-24195,607645,707675,100030,100030,140518,1508,,,-0.38,-0.38,74695,-66167,-64683,,-2726.0,,20208,605605.0,707208.0,2556,2076
2014-03-21,4,2013,,198,44890,28246,28246.0,19713.0,12878.0,71121,99880,-0.68,-0.68,,67504,229794,2013年01月01日至2013年12月31日,-115419,-44298,-123114,-55214,-41169,-6746,3209689,3717543,507854,507854,549023,8024,,-14507.0,-0.68,-0.68,311205,-115419,-47915,,14450.0,,79882,3189976.0,3704665.0,7695,10916
2014-05-08,1,2014,,60,5751,2580,,1487.0,296.0,17852,21436,-0.43,-0.43,,14748,83627,2014年01月01日至2014年03月31日,-76864,-59012,-79012,-61868,-49888,-12228,748276,856399,108123,108123,158011,1194,,,-0.43,-0.43,73190,-76864,-62116,,3644.0,,20559,746789.0,856103.0,2148,2856
2014-08-07,2,2014,,95,-21596,4238,4238.0,,491.0,-27651,-33429,-0.37,-0.37,,2922,68874,2014年第2季,-65877,-93528,-66328,-92851,-25438,-37517,863767,983657,119890,119890,145328,789,,,,,75665,-65877,-62955,,-5683.0,,20159,863767.0,983166.0,451,-677
2014-11-07,3,2014,,-70,21647,10693,10693.0,,1794.0,26161,31604,-0.33,-0.33,,25941,54752,2014年第3季,-59291,-33130,-60574,-35483,-41998,8648,820828,906957,86129,86129,128127,860,,,,,72515,-59291,-33350,,5373.0,,23692,820828.0,905163.0,1283,2353
2015-03-20,4,2014,,127,50845,25129,25129.0,,3120.0,58038,98644,-1.3,-1.3,,54297,280516,2014年度,-229492,-171454,-237172,-182294,-162672,-12523,3521852,3936329,414477,414477,577149,3780,,-28872.0,-1.3,-1.3,292853,-229492,-175195,,11861.0,,88497,3521852.0,3933209.0,7680,10840
2015-05-08,1,2015,,11,-19823,3328,,,359.0,-21949,-26457,-0.33,-0.33,-21949.0,16848,54304,2015年01月01日至2015年03月31日,-59156,-81105,-61403,-82393,-3781,-38527,833433,959896,126463,126463,130244,841,,,-0.33,-0.33,75099,-59156,-42308,,,-4497.0,22032,833433.0,959537.0,2247,1288
2015-08-07,2,2015,,-109,-11197,4993,4993.0,,44.0,-8891,-15620,-0.56,-0.56,-8891.0,5561,63798,2015年第2季,-109849,-118740,-100175,-106977,-78270,-26018,757365,820622,63257,63257,141527,703,,,-0.56,-0.56,77026,-109849,-104288,,,-6838.0,19814,757365.0,820578.0,-9674,-11763
