date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,0.0,24339,1876,,,-4518,-4518,0.5,0.0,,12786,46248,2013年01月01日至2013年03月31日,0.0,57040,52522,57040,52522,43665,26161,330744,479433,148689,148689,105024,33460,,,0.49,25316,57040,69826,,54.0,0.0,0.0
2013-08-12,2,2013,,0.0,9804,3492,,,-3840,-3840,0.61,,,14832,47153,2013年04月01日至2013年06月30日,,70428,66588,70428,66588,72036,13224,436895,618232,181337,181337,109301,33998,,,0.61,28150,70428,85260,,72.0,0.0,0.0
2013-11-12,3,2013,,0.0,-8200,3525,,,-2513,-2513,0.58,,,13300,45202,2013年07月01日至2013年09月30日,,66942,64429,66942,64429,84971,-4729,479074,676127,197053,197053,112082,34567,,,0.58,32313,66942,80242,,54.0,0.0,0.0
2014-03-27,4,2013,,0.0,37593,15305,,694.0,-18741,-15350,2.21,,,57479,189500,2013年01月01日至2013年12月31日,,253347,234606,253347,234606,258185,52641,1602847,2311728,708881,708881,450696,140816,,-4085.0,2.19,120380,253347,310826,,257.0,,
2014-05-13,1,2014,,,7976,2949,,,7554,7554,0.66,,,15165,56356,2014年01月01日至2014年03月31日,,76008,83562,76008,83562,80330,10843,449807,652077,202270,202270,121940,35772,,,0.66,29812,76008,91173,,82.0,0.0,0.0
2014-08-12,2,2014,,,-8186,3588,,,-5346,-5346,0.65,0.0,,15878,59423,2014年第2季,0.0,74237,68891,74237,68891,94785,-4670,431268,653522,222254,222254,127469,40579,,,0.64,27467,74237,90115,,72.0,0.0,0.0
2014-11-11,3,2014,,,19505,3491,0.0,,-5110,-5110,0.75,,,26041,52692,2014年第3季,,85506,80396,85506,80396,88614,22933,436113,645643,209530,209530,120916,41351,,,0.74,26873,85506,111547,,63.0,0.0,0.0
2015-03-24,4,2014,,,49610,12910,,1018.0,-6833,-1862,2.95,,,82910,229406,2014年度,,337291,330458,337291,330458,357965,62236,1766119,2627071,860952,860952,502987,160205,,-5989.0,2.91,113376,337291,420201,,284.0,0.0,0.0
2015-05-12,1,2015,,,-8438,2708,,,-7794,-7794,0.64,,-7794.0,19882,56442,2015年01月01日至2015年03月31日,,72897,65103,72897,65103,98509,-5730,470868,703815,232947,232947,134438,46962,,,0.63,31034,72897,92779,,0.0,0.0,0.0
2015-08-12,2,2015,,,-1751,5880,,,-7036,-7036,0.79,,-7036.0,24951,60100,2015年第2季,,90497,83461,90497,83461,111319,4129,620951,870126,249175,249175,137856,47462,,,0.78,30294,90497,115448,,0.0,0.0,0.0
2015-11-10,3,2015,,,40708,3846,,,29414,29414,1.05,,29414.0,26447,59198,2015年第3季,,120183,149597,120183,149597,102076,44554,524329,774510,250181,250181,148105,50182,,,1.04,38725,120183,146630,,0.0,0.0,0.0
2016-03-24,4,2015,-5798.0,,31693,16483,,,98,5896,3.13,,5896.0,86390,244573,2015年度,,358987,359085,358987,359085,397201,48176,2133151,3108637,975486,975486,578285,195836,-6986.0,,3.1,137876,358987,445377,-1188.0,0.0,0.0,0.0
2016-05-03,1,2016,,9351.0,-20735,3227,,,13883,4532,1.3,,13883.0,40306,59802,2016年01月01日至2016年03月31日,,148701,162584,148701,162584,206515,-17508,603681,964051,360370,360370,153855,50127,,,1.28,43926,148701,189007,,,0.0,0.0
2016-08-08,2,2016,,3222.0,-4357,5319,,,16731,13509,1.19,,16731.0,31201,68609,2016年第2季,,136327,153058,136327,153058,166566,962,699485,1017943,318458,318458,151892,48834,,,1.18,34449,136327,167528,,,0.0,0.0
