date,season,year,不動產、廠房及設備減損迴轉利益,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,1164.0,1094,-1465,3754,3261.0,19442,265.0,4348,18348,0.01,45.0,1539.0,,,0,,,,11184,48886,2013年01月01日至2013年03月31日,,1384,20826,,1384,20826,,,-7741,9125,1147523,1228602,81079,81079,88820,,2447,,,183.0,37487,1384,1384,,,0.0,,,,,,,4348,,-1840.0,,,,,,265.0,1147523,1147523,3755,1232357,1232357,1228602,0,,0.0,0.0
2013-08-09,2,2013,,,,1109.0,25124,2879,16652,14418.0,35418,331.0,4497,10294,0.03,1756.0,9771.0,,,23,,,,17866,68497,2013年04月01日至2013年06月30日,,7430,42848,,7430,42848,0.0,,-25447,32900,1540700,1621867,81167,81167,106614,,2206,,,147.0,35911,7430,7453,0.0,,0.0,,,,2726.0,392.0,,4497,,-3449.0,,,0.0,,,,1540700,1540700,3861,1626298,1626298,1621867,570,,,
2013-11-11,3,2013,,,,108.0,-7948,-1114,9477,5236.0,-18089,266.0,4390,-6352,0.14,-159.0,3241.0,5062.0,,0,,,,7253,62224,2013年07月01日至2013年09月30日,,31955,13866,,31955,13866,0.0,,20729,11226,1402108,1523004,120896,120896,100167,,2111,,,183.0,35832,31955,31955,3951.0,,3789.0,,,,0.0,19.0,,4390,,3007.0,2211.0,,0.0,,,266.0,1402108,1402108,5215,1529072,1529072,1523004,853,,,
2014-03-21,4,2013,0.0,,,3093.0,19993,-9196,46763,35187.0,55684,1227.0,17142,32694,0.06,5747.0,28137.0,13923.0,,26802,,,,38847,245197,2013年01月01日至2013年12月31日,,13209,68893,,13209,68893,8003.0,0.0,-19261,59272,5517526,5889757,372231,372231,391492,,9206,,8555.0,651.0,137089,13209,40011,3951.0,,5558.0,,,,9461.0,411.0,,17142,,7296.0,10560.0,,8003.0,,,1227.0,5517526,5517526,18970,5910632,5910632,5889757,1905,,,
2014-05-12,1,2014,,,,272.0,-715,7083,3936,3480.0,-2846,270.0,5992,-2131,0.01,0.0,10006.0,3255.0,,0,,,,15396,53077,2014年01月01日至2014年03月31日,,1446,-1400,,1446,-1400,,,-18977,20423,1216439,1291037,74598,74598,93575,,2437,,,186.0,38061,1446,1446,,,0.0,,,,,11.0,,5992,,593.0,0.0,,,,,270.0,1216439,1216439,4136,1295766,1295766,1291037,593,,,
2014-08-12,2,2014,,,,,2322,-3484,6894,6229.0,-8495,332.0,3116,-10817,-0.13,0.0,0.0,1071.0,,0,,,,11436,63753,2014年第2季,,-27748,-36243,,-27748,-36243,,0.0,-39478,11730,1471860,1535527,63667,63667,103145,,2514,,,333.0,36878,-27748,-27748,,,0.0,,,,2322.0,0.0,,3116,,0.0,91.0,,,0.0,,332.0,1471860,1471860,5846,1543257,1543257,1535527,1884,,,
2014-11-11,3,2014,,,,369.0,-2167,-22270,12277,4649.0,12075,244.0,4318,14242,-0.29,0.0,16594.0,11433.0,,0,,,,269,64504,2014年第3季,,-64780,-52705,,-64780,-52705,26946.0,,-50738,-14042,1336532,1387029,50497,50497,101235,,2404,,,195.0,34327,-64780,-64780,7189.0,,0.0,,,,0.0,0.0,,4318,,91.0,207.0,,26946.0,,,244.0,1336532,1336532,5475,1394245,1394245,1387029,1741,,,
2015-03-19,4,2014,,,,,4879,7878,9273,,11284,,17981,19019,-0.66,,,,,243,,,,30617,227445,2014年度,,-145025,-133741,,-145025,-133741,,,-174569,29787,5159262,5365933,206671,206671,381240,243.0,9936,,-9381.0,,143859,-145025,-144782,,,3233.0,,,,,,,17981,,,,,,,,,5159262,5159262,21223,5393620,5393620,5365933,6464,,,
2015-04-30,1,2015,,,,10516.0,5898,13571,3113,2675.0,372,269.0,3943,-5526,0.02,,0.0,2780.0,372.0,-1,,,,2906,57208,2015年01月01日至2015年03月31日,,4225,4597,,4225,4597,,,-11423,15647,1195252,1278856,83604,83604,95027,,2375,,,169.0,35444,4225,4224,,,,0.0,,6.0,258.0,27554.0,,3943,,67.0,502.0,,,,,269.0,1195252,1195252,5412,1285005,1285005,1278856,737,,,
2015-08-07,2,2015,,,,-1040.0,-3609,111,4613,3984.0,-13875,386.0,4237,-10266,0.11,0.0,0.0,386.0,-13875.0,0,,,,3923,52661,2015年第2季,,23382,9507,,23382,9507,,0.0,18972,4410,1064842,1175611,110769,110769,91797,,2259,,,243.0,36877,23382,23382,,,,0.0,,-1.0,0.0,0.0,,4237,,0.0,542.0,,,0.0,,386.0,1064842,1064842,4497,1180957,1180957,1175611,849,,,
