date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,5,-26667,31755,,,,53851,,,110423,-0.52,-0.52,,,,,13146,,,,2013年01月01日至2013年03月31日,,,-118375,-64524,-117439,-73391,,25254,-130483,10100860,10271586,170726,170726,145472,-56577.0,,,,,,,-118375,-105229,,,,,135571,,,10100860.0,10100860.0,128,10415992.0,10415992,10271586,144278,-936,8867
2013-08-13,2,2013,,10,9581,31993,31993.0,,,-11606,,,78908,-0.25,-0.25,,,,,22412,,,52483.0,2013年04月01日至2013年06月30日,,,-59971,-71577,-57581,-74114,,47166,-84725,11348829,11540121,191292,191292,144126,-90524.0,,,,,,91643.0,-59971,-37559,,,,,126299,,,11348829.0,11348829.0,183,11612715.0,11612715,11540121,72411,-2390,2537
2013-11-12,3,2013,,-41,119288,36562,,,,39812,,,-101441,-0.11,,,,,,15021,,,55833.0,2013年07月01日至2013年09月30日,,,10599,50411,-25070,50375,,-3969,29589,11046727,11191844,145117,145117,149086,141294.0,,15021.0,,,,93253.0,10599,25620,,,,,126261,,,11046727.0,11046727.0,206,11259935.0,11259935,11191844,67885,35669,36
2014-03-31,4,2013,,-8,161188,142734,142734.0,,,161448,,,144914,-0.83,-0.83,,,,,89703,2156.0,2156.0,190466.0,2013年01月01日至2013年12月31日,,,-153640,7808,-189175,-9758,,130948,-194885,43409053,44085551,676498,676498,545550,14367.0,,89703.0,,,2175.0,355084.0,-153640,-63937,,,,,500963,,,,,841,44410717.0,44410717,44085551,324325,35535,17566
2014-05-13,1,2014,,-2,-67626,31929,,,,-26213,,,45180,-0.43,-0.43,,,,,-18392,,-1347.0,53374.0,2014年01月01日至2014年03月31日,,,-97375,-123588,-97983,-124078,,47995,-163762,10112242,10311508,199266,199266,151271,-72860.0,,-18392.0,4985.0,,,92912.0,-97375,-115767,,-1469.0,,,126718,,,10112242.0,10112242.0,324,10339682.0,10339682,10311508,27850,608,490
2014-08-12,2,2014,,-15,34887,26630,,,,41559,26166.0,113128.0,-75818,-0.17,,,,,,22053,,3384.0,59535.0,2014年第2季,,,-37574,3985,-37855,3413,,32706,-48227,12116659,12313614,196955,196955,164249,121707.0,,22053.0,20146.0,,,84568.0,-37574,-15521,464.0,4315.0,,,113128,,26166.0,12116659.0,12116659.0,429,12339438.0,12339438,12313614,25395,281,572
2014-11-13,3,2014,,-3,-37106,20414,,,,-30361,,,66733,-0.28,-0.28,,,,,-126,,8216.0,62801.0,2014年第3季,,,-62510,-92871,-62627,-93383,,59063,-121699,11183938,11417385,233447,233447,174384,-100879.0,,,26916.0,,,84667.0,-62510,-62636,,-3788.0,,,113223,,,11183938.0,11183938.0,159,11477531.0,11477531,11417385,59987,117,512
2015-03-30,4,2014,,-46,-85775,104436,2993.0,,,20384,98999.0,,121250,-1.03,-1.03,0.0,63856.0,,,1874,,10538.0,224012.0,2014年度,,,-233141,-212757,-233461,-220500,5000.0,116445,-347712,45174747,45880345,705598,705598,589153,-106555.0,,,73283.0,,5021.0,291858.0,-233141,-231267,2444.0,-714.0,,16919.0,376911,0.0,98999.0,45174747.0,45174747.0,0,46044046.0,46044046,45880345,163701,320,7743
2015-05-13,1,2015,,16,-34134,14403,,,,13255,,,-42964,-0.92,-0.92,,,,13255.0,-4663,,100.0,55312.0,2015年01月01日至2015年03月31日,,-4663.0,-214815,-201560,-209485,-195153,,-69268,-150210,7813183,7890405,77222,77222,146490,,58759.0,,2899.0,,,88279.0,-214815,-219478,,,2556.0,,130579,,,7813183.0,7813183.0,0,7926955.0,7926955,7890405,36550,-5330,-6407
2015-08-14,2,2015,,-41,-23560,23050,,,,-36583,,,-10400,-0.15,-0.15,,,,-36583.0,13368,,3432.0,67935.0,2015年第2季,,13368.0,-35270,-71853,-34215,-67797,,87097,-108999,9474428,9712072,237644,237644,150547,,-30456.0,,4464.0,,,78148.0,-35270,-21902,,,-4314.0,,111921,,,9474428.0,9474428.0,100,9747097.0,9747097,9712072,34925,-1055,-4056
2015-11-12,3,2015,,-15,-61829,29303,,,,-91802,,,-36262,-0.73,-0.73,,,0.0,-91802.0,42023,,-4740.0,62816.0,2015年第3季,0.0,42023.0,-168682,-260484,-166377,-260103,,56702,-183361,8959213,9161623,202410,202410,145708,,-60912.0,,4827.0,,,78065.0,-168682,-126659,,,-5387.0,,146095,,,8959213.0,8959213.0,400,9222447.0,9222447,9161623,60424,-2305,-381
2016-03-29,4,2015,-13094.0,-32,-147065,91774,,,-32825.0,-192906,,,-191901,-3.48,-3.48,,,,-179812.0,39099,,-8708.0,236550.0,2015年度,,39099.0,-814849,-1007755,-792836,-980164,,-263166,-512584,33503844,34026321,522477,522477,752818,,10390.0,,13843.0,-13094.0,,502425.0,-814849,-775750,,,-1731.0,,448585,,,33503844.0,33503844.0,554,34175675.0,34175675,34026321,148800,-22013,-27591
2016-05-12,1,2016,,-7,-4248,11376,,-11109.0,-11109.0,37046,,,-5637,-0.16,-0.16,,,,37046.0,16893,,4428.0,53032.0,2016年01月01日至2016年03月31日,,,-37982,-936,-36624,1572,,48634,-69723,5733796,5934786,200990,200990,141247,,43325.0,,2745.0,,,85470.0,-37982,-21089,,,635.0,,81279,,,5733796.0,5733796.0,36,5970201.0,5970201,5934786,35379,-1358,-2508
2016-08-11,2,2016,,-1,-20817,18023,,,-13548.0,-111709,,,-124336,0.07,0.07,,,,-111709.0,19879,,4616.0,63183.0,2016年第2季,,19879.0,13753,-97956,15425,-91482,,114334,-80702,6675742,6948676,272934,272934,145052,,13591.0,,2782.0,,,79087.0,13753,33632,,,963.0,,82524,,,6675742.0,6675742.0,197,6977284.0,6977284,6948676,28411,-1672,-6474
2016-11-11,3,2016,,2,-10462,14407,,,-7509.0,-67795,,,-74658,-0.1,-0.1,,,,-67795.0,16197,,3309.0,52251.0,2016年第3季,,16197.0,-25116,-92911,-23889,-86257,,51793,-60712,5676568,5868336,191768,191768,132466,,6779.0,,2271.0,,,77944.0,-25116,-8919,,,-82.0,,67966,,,5676568.0,5676568.0,14,,5902676,5868336,34326,-1227,-6654
