date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他費用,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估價之利益（損失）,重估增值,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,,262,,,15073,892,,,1679,,,,,1548,0.54,,,8291,,,132.0,6158,,38951,2013年01月01日至2013年03月31日,,40241,41920,,38558,40185,26409,22123,455687,567991,112304,112304,85895,,,7582,,,0.53,39362,40241,48532,,263.0,,,,,,,,1683,1735
2013-08-09,2,2013,,,0.0,21312,,,16137,1133,,,22843,,,,,1430,0.56,0.0,,11121,,,344.0,1626,,42572,2013年04月01日至2013年06月30日,0.0,40597,63440,,40577,63355,32827,18891,477829,601162,123333,123333,90506,,,7580,,,0.56,40354,40597,51718,,243.0,,,5.0,,,,,20,85
2013-11-08,3,2013,,,0.0,3507,,,-7191,3245,,,3466,,,,,-501,0.53,0.0,,11758,,,375.0,3634,,44366,2013年07月01日至2013年09月30日,0.0,37173,40639,,38210,41737,49269,-338,474877,616602,141725,141725,92456,,,7354,,,0.53,40736,37173,48931,,-85.0,,,26.0,,,,,-1037,-1098
2014-03-21,4,2013,,,,23520,,,32627,6722,,,30389,,,,,4517,2.08,0.0,,38093,,,835.0,16548,,168159,2013年01月01日至2013年12月31日,0.0,140380,170769,,149218,179393,122650,55823,1846550,2329095,482545,482545,359895,,,30521,,2492.0,2.05,161215,140380,178473,,975.0,,,74.0,,,,,-8838,-8624
2014-05-09,1,2014,,,,21936,,,22467,997,,,22036,,,,,-813,0.85,,,15010,,,789.0,4199,,35558,2014年01月01日至2014年03月31日,,62456,84492,,61004,83034,49845,27621,424416,564077,139661,139661,89816,,,9896,,,0.84,44362,62456,77466,,-124.0,,,42.0,,,,,1452,1458
2014-08-08,2,2014,,,,75378,,,-7676,975,0.0,0.0,73325,,,0.0,,-2619,0.81,,,19633,,,105.0,3902,,42954,2014年第2季,,49948,123273,0.0,58202,131570,72408,-2827,525160,691900,166740,166740,94332,0.0,,8887,,0.0,0.8,42491,49948,69581,,-461.0,,0.0,28.0,0.0,,0.0,0.0,-8254,-8297
2014-11-07,3,2014,,,,-78525,,,51514,2698,,,-74926,,,,,4696,1.18,,,14790,,,-311.0,6025,,47879,2014年第3季,,87333,12407,,84659,9624,42051,60072,473962,625575,151613,151613,109562,,,10620,,,1.17,51063,87333,102123,,786.0,,,165.0,,,,,2674,2783
2015-03-20,4,2014,,,,18083,,,91170,9722,,,25966,,,,,7812,3.67,0.0,,69858,,,1228.0,19591,,174430,2014年度,0.0,259039,285005,,263800,289222,209090,119807,1914874,2531570,616696,616696,407606,,,44826,,225.0,3.62,188350,259039,328897,,1382.0,,,676.0,,,,,-4761,-4217
2015-05-08,1,2015,,,,10807,,,-6636,430,,,8684,,,,,-2318,0.64,,8684.0,11346,,,,3021,-237.0,41427,2015年01月01日至2015年03月31日,,46844,55528,,45780,54670,61375,-3185,425948,581136,155188,155188,93813,,,9703,,,0.63,42683,46844,58190,,,-432.0,,0.0,,,,,1064,858
2015-08-07,2,2015,,,,31518,,,15222,1381,0.0,,26635,,,,,-5061,0.69,,26635.0,11810,,,,5966,-722.0,42736,2015年第2季,,37951,64586,,49531,76510,27192,22569,408435,533126,124691,124691,97499,,,9201,,,0.67,45562,37951,49761,,,-900.0,0.0,0.0,,,0.0,0.0,-11580,-11924
