date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,9381,-739,84178,11855,11855.0,,-7415,,-6676,0.81,0.81,93559.0,,,47860,,178687,2013年01月01日至2013年03月31日,176407,168992,199013,191598,,165155,59112,1544052,2373555,829503,829503,664348,104598,,,,0.81,0.81,381063,176407,224267,,,,36921,,,,,,,,,-22606,-22606
2013-08-07,2,2013,,,1316,7993,47827,26726,26726.0,,23405,,15412,1.77,1.77,49143.0,,,215385,,226663,2013年04月01日至2013年06月30日,408348,431753,435247,458652,,586600,37133,1742166,2803323,1061157,1061157,474557,152282,,,,1.76,1.76,95612,408348,623733,,,,37420,,,,,,,,,-26899,-26899
2013-11-13,3,2013,,,1455,-2715,10399,23215,23215.0,,9588,,12303,2.52,2.52,11854.0,,,125632,,212100,2013年07月01日至2013年09月30日,612101,621689,638520,648108,,743056,-5323,2117986,3384382,1266396,1266396,523340,129542,,,,2.51,2.51,181698,612101,737733,,,,38937,,,,,,,,,-26419,-26419
2014-03-28,4,2013,,,3878,4539,198250,75151,64238.0,,52406,,47555,7.96,7.96,200032.0,0.0,,591486,11069.0,847168,2013年01月01日至2013年12月31日,1912824,1965230,2021585,2073991,0.0,2368870,135440,7834804,12442866,4608062,4608062,2239192,557488,,312.0,10913.0,7.93,7.93,834536,1912824,2504310,,,9770.0,149030,0.0,7674.0,0.0,7834804.0,7834804.0,12442866.0,12442866.0,12442866.0,-108761,-108761
2014-04-30,1,2014,,,5876,2,83189,16173,16173.0,,30594,,37299,2.1,2.1,89065.0,,,142169,,228025,2014年01月01日至2014年03月31日,498494,529088,534238,564832,,582803,57860,1813094,3011970,1198876,1198876,616073,161810,,,,2.1,2.1,226238,498494,640663,6707.0,,,41502,,,,,,,,,-35744,-35744
2014-08-11,2,2014,,,1950,-1,-80481,18094,18094.0,,-29918,,-36045,1.29,1.29,-78531.0,,,213778,,298472,2014年第2季,290191,260273,328387,298469,,610607,-106638,2149884,3538429,1388545,1388545,777938,207267,,,,1.29,1.29,272199,290191,503969,-6128.0,,,44251,,,,,,,,,-38196,-38196
2014-11-06,3,2014,,,8837,-1,24126,21976,21976.0,,-44619,,-53757,2.91,2.91,32963.0,,,176240,,265060,2014年第3季,726710,682091,760417,715798,,900591,2359,2624933,4239888,1614955,1614955,714364,209929,,,,2.9,2.9,239375,726710,902950,-9139.0,,,43743,,,,,,,,,-33707,-33707
2015-03-23,4,2014,12454.0,,8210,0,158489,66675,,2983.0,-22356,,-19698,9.2,9.2,211439.0,,,643592,10055.0,1126186,2014年度,2267350,2244994,2404906,2382550,21654.0,2847835,63107,9296584,15087336,5790752,5790752,2942917,807452,,-5641.0,,9.16,9.16,1009279,2267350,2910942,,,0.0,172112,,23086.0,9200.0,,,,,,-137556,-137556
2015-05-11,1,2015,,,104,1,-111025,20052,20052.0,,-143373,,-172740,1.97,1.97,,132621.0,-143373.0,96061,3675.0,273989,2015年01月01日至2015年03月31日,459342,315969,515490,372117,,686590,-131187,2212918,3637671,1424753,1424753,738163,190403,,,,1.96,1.96,273771,459342,555403,,-29366.0,,43889,21700.0,,,,,,,,-56148,-56148
2015-08-11,2,2015,,,122,0,-62086,14336,14336.0,,5950,,7281,1.64,1.64,,50667.0,5950.0,208512,4316.0,350900,2015年第2季,362816,368766,428065,434306,9508.0,656886,-85558,2771603,4322123,1550520,1550520,893634,246931,,,,1.63,1.63,295803,362816,571328,,1331.0,,42124,-1789.0,,9508.0,,,,,,-65249,-65540
2015-11-10,3,2015,,,16,-1,258447,19084,19084.0,,120875,,145590,2.21,2.21,,-304511.0,120875.0,117622,9694.0,297738,2015年第3季,528366,649241,596043,716805,4500.0,401526,244462,2487520,3759238,1271718,1271718,870192,225784,,,,2.21,2.21,346670,528366,645988,,24714.0,,42763,-41548.0,,4500.0,,,,,,-67677,-67564
2016-03-26,4,2015,18684.0,-14723.0,4114,-3,-87034,166309,,,-91926,,-92958,6.1,6.1,-45065.0,,-77203.0,439627,23087.0,1303754,2015年度,1394559,1302633,1642238,1551550,32692.0,1902617,-68431,9547429,14881048,5333619,5333619,3431002,898993,-14723.0,,,6.07,6.07,1228255,1394559,1834186,,-15758.0,,170793,,5163.0,14008.0,,,,,,-247679,-248917
2016-05-10,1,2016,,,275,0,-22766,16456,11808.0,,2767,4648.0,3316,0.53,0.53,,20507.0,2767.0,32290,1909.0,331935,2016年01月01日至2016年03月31日,71347,74114,143751,146473,,149169,-45532,1969518,2984407,1014889,1014889,865720,211426,,,,0.53,0.53,322359,71347,103637,,549.0,,41131,,1984.0,,,,,,,-72404,-72359
2016-08-10,2,2016,,,220,0,-93092,43487,38693.0,,-52154,4794.0,-62958,1.47,1.47,,102186.0,-52154.0,124886,828.0,408389,2016年第2季,317924,265770,396818,344347,0.0,532919,-90109,2864383,4352385,1488002,1488002,955083,237728,,,,1.47,1.47,308966,317924,442810,,-10804.0,,41332,9314.0,,0.0,,,,,,-78894,-78577
2016-11-08,3,2016,,,3221,0,-138694,46902,42191.0,,-74619,4711.0,-89922,1.18,1.18,,150096.0,-74619.0,64439,2099.0,385615,2016年第3季,233080,158461,324586,249916,0.0,427641,-130122,2845392,4218665,1373273,1373273,945632,217936,,,,1.18,1.18,342081,233080,297519,,-15303.0,,40429,14623.0,,0.0,,,,,,-91506,-91455
